project,table,variable
BiB_GrowingUp,adult_survey_MeDALL_sample,BiBPersonID
BiB_GrowingUp,adult_survey_MeDALL_sample,Date
BiB_GrowingUp,adult_survey_MeDALL_sample,AgeMonths
BiB_GrowingUp,adult_survey_MeDALL_sample,AgeYears
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtWheezingInChest
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtWheeze12Months
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtAttacksWheezing
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtSleepDisturb
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtWheezingSpeech
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtEverHadAsthma
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtWheezyExercise
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtDryCoughAtNight
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtSneezeNotCold
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtSneeze12months
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtItchyWateryEyes
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseMonth_1
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseMonth_10
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseMonth_11
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseMonth_12
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseMonth_2
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseMonth_3
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseMonth_4
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseMonth_5
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseMonth_6
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseMonth_7
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseMonth_8
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseMonth_9
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseDailyActiv
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtHayfeverEver
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtItchyRashEver
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtRash12Months
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtItchyRashWhere
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtAgeItchyRash
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtItchyRashClear
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtRashKeptAwake
BiB_GrowingUp,adult_survey_MeDALL_sample,guadtEczemaEver
