project,table,variable
BiB_GrowingUp,adult_survey,BiBPersonID
BiB_GrowingUp,adult_survey,Date
BiB_GrowingUp,adult_survey,ParticipantType
BiB_GrowingUp,adult_survey,AgeMonths
BiB_GrowingUp,adult_survey,AgeYears
BiB_GrowingUp,adult_survey,SurveyYear
BiB_GrowingUp,adult_survey,SurveyMonth
BiB_GrowingUp,adult_survey,lsid
BiB_GrowingUp,adult_survey,survey_version
BiB_GrowingUp,adult_survey,survey_mode
BiB_GrowingUp,adult_survey,survey_language
BiB_GrowingUp,adult_survey,guadtDateQuestionnaire
BiB_GrowingUp,adult_survey,guadtMainCarer
BiB_GrowingUp,adult_survey,guadtLiveSameHouse
BiB_GrowingUp,adult_survey,guadtSameHouseholdNo
BiB_GrowingUp,adult_survey,guadtRelationStatus
BiB_GrowingUp,adult_survey,guadtPregnant
BiB_GrowingUp,adult_survey,guadtPregnantWeeks
BiB_GrowingUp,adult_survey,guadtBabyLast12month
BiB_GrowingUp,adult_survey,guadtHouseholdOccupy
BiB_GrowingUp,adult_survey,guadtNoBedrooms
BiB_GrowingUp,adult_survey,guadtSatisfiedParks
BiB_GrowingUp,adult_survey,guadtOftenVisitParks_1
BiB_GrowingUp,adult_survey,guadtOftenVisitParks_2
BiB_GrowingUp,adult_survey,guadtWhereEducation
BiB_GrowingUp,adult_survey,guadtEducEngland
BiB_GrowingUp,adult_survey,guadtEducEngland_other
BiB_GrowingUp,adult_survey,guadtEducPakistan
BiB_GrowingUp,adult_survey,guadtEducPakistan_other
BiB_GrowingUp,adult_survey,guadtEducIndia
BiB_GrowingUp,adult_survey,guadtEducIndia_other
BiB_GrowingUp,adult_survey,guadtEducBangladesh
BiB_GrowingUp,adult_survey,guadtEducBangladesh_other
BiB_GrowingUp,adult_survey,guadtEducPoland
BiB_GrowingUp,adult_survey,guadtEducPoland_other
BiB_GrowingUp,adult_survey,guadtEducSlovakia
BiB_GrowingUp,adult_survey,guadtEducHungary
BiB_GrowingUp,adult_survey,gaudtEducOtherCountry
BiB_GrowingUp,adult_survey,guadtEducElseOtherPlace
BiB_GrowingUp,adult_survey,guadtEducElseOtherLevel
BiB_GrowingUp,adult_survey,guadtEducElseOtherCourse
BiB_GrowingUp,adult_survey,guadtEducMotherHighest
BiB_GrowingUp,adult_survey,guadtPartnerWherEduc
BiB_GrowingUp,adult_survey,guadtPartEducEngland
BiB_GrowingUp,adult_survey,guadtPartEducEngland_other
BiB_GrowingUp,adult_survey,guadtPartEducPakista
BiB_GrowingUp,adult_survey,guadtPartEducPakista_other
BiB_GrowingUp,adult_survey,guadtPartEducIndia
BiB_GrowingUp,adult_survey,guadtPartEducIndia_other
BiB_GrowingUp,adult_survey,guadtPartEducBangl
BiB_GrowingUp,adult_survey,guadtPartEducBangl_other
BiB_GrowingUp,adult_survey,guadtPartEducPoland
BiB_GrowingUp,adult_survey,guadtPartEducPoland_other
BiB_GrowingUp,adult_survey,guadtPartEducSlovak
BiB_GrowingUp,adult_survey,guadtPartEducHunga
BiB_GrowingUp,adult_survey,gaudtPartEducOtherCountry
BiB_GrowingUp,adult_survey,guadtPartEducElseOtherPlace
BiB_GrowingUp,adult_survey,guadtPartEducElseOtherLevel
BiB_GrowingUp,adult_survey,guadtPartEducElseOtherCourse
BiB_GrowingUp,adult_survey,guadtEducFatherHighest
BiB_GrowingUp,adult_survey,guadtEmployedNow
BiB_GrowingUp,adult_survey,guadtEmployedPrev
BiB_GrowingUp,adult_survey,guadtEmpSelfEmploy
BiB_GrowingUp,adult_survey,guadtNumberEmploy
BiB_GrowingUp,adult_survey,guadtNumberEmployee
BiB_GrowingUp,adult_survey,guadtSuperviseEmploy
BiB_GrowingUp,adult_survey,guadtHoursPerWeek
BiB_GrowingUp,adult_survey,guadtJobTitle
BiB_GrowingUp,adult_survey,guadtTypeWork
BiB_GrowingUp,adult_survey,guadtTypeWork_other
BiB_GrowingUp,adult_survey,guadtNS_SEC
BiB_GrowingUp,adult_survey,guadtWorkTravel
BiB_GrowingUp,adult_survey,guadtWorkTravel_other
BiB_GrowingUp,adult_survey,guadtPartnerEmployed
BiB_GrowingUp,adult_survey,guadtPartPrevEmploy
BiB_GrowingUp,adult_survey,guadtPartEmplSelfEmp
BiB_GrowingUp,adult_survey,guadtPartNoEmploy
BiB_GrowingUp,adult_survey,guadtPartnerEmployee
BiB_GrowingUp,adult_survey,guadtPartSupervise
BiB_GrowingUp,adult_survey,guadtPartnerHours
BiB_GrowingUp,adult_survey,guadtPartJobTitle
BiB_GrowingUp,adult_survey,guadtPartnerTypeWork
