project,table,variable
BiB_GrowingUp,child_survey_adult_comp,BiBPersonID
BiB_GrowingUp,child_survey_adult_comp,Date
BiB_GrowingUp,child_survey_adult_comp,AgeMonths
BiB_GrowingUp,child_survey_adult_comp,AgeYears
BiB_GrowingUp,child_survey_adult_comp,SurveyYear
BiB_GrowingUp,child_survey_adult_comp,SurveyMonth
BiB_GrowingUp,child_survey_adult_comp,lsid
BiB_GrowingUp,child_survey_adult_comp,survey_version
BiB_GrowingUp,child_survey_adult_comp,survey_mode
BiB_GrowingUp,child_survey_adult_comp,survey_language
BiB_GrowingUp,child_survey_adult_comp,guadtBaseline
BiB_GrowingUp,child_survey_adult_comp,guadtBiB1000
BiB_GrowingUp,child_survey_adult_comp,guadtAllIn
BiB_GrowingUp,child_survey_adult_comp,guadtMeDALL
BiB_GrowingUp,child_survey_adult_comp,guadtMother
BiB_GrowingUp,child_survey_adult_comp,guadtLiveSameHouse
BiB_GrowingUp,child_survey_adult_comp,guadtSameHouseholdNo
BiB_GrowingUp,child_survey_adult_comp,guadtNoPeopleHouse
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge_SQ001_SQ001
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge_SQ001_SQ002
BiB_GrowingUp,child_survey_adult_comp,guadtHouseMF
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild_other
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild2
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild2_other
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild3
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild3_other
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild4
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild4_other
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild5
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild5_other
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild6
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild6_other
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild7
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild7_other
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild8
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild8_other
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild9
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild9_other
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild10
BiB_GrowingUp,child_survey_adult_comp,guadtHouseRelatChild10_other
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge2_SQ001_SQ001
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge2_SQ001_SQ002
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge3_SQ001_SQ001
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge3_SQ001_SQ002
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge4_SQ001_SQ001
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge4_SQ001_SQ002
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge5_SQ001_SQ001
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge5_SQ001_SQ002
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge6_SQ001_SQ001
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge6_SQ001_SQ002
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge7_SQ001_SQ001
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge7_SQ001_SQ002
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge8_SQ001_SQ001
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge8_SQ001_SQ002
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge9_SQ001_SQ001
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge9_SQ001_SQ002
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge10_SQ001_SQ001
BiB_GrowingUp,child_survey_adult_comp,guadtHouseholdAge10_SQ001_SQ002
BiB_GrowingUp,child_survey_adult_comp,guadtHouseMF2
BiB_GrowingUp,child_survey_adult_comp,guadtHouseMF3
BiB_GrowingUp,child_survey_adult_comp,guadtHouseMF4
BiB_GrowingUp,child_survey_adult_comp,guadtHouseMF5
BiB_GrowingUp,child_survey_adult_comp,guadtHouseMF7
BiB_GrowingUp,child_survey_adult_comp,guadtHouseMF8
BiB_GrowingUp,child_survey_adult_comp,guadtHouseMF9
BiB_GrowingUp,child_survey_adult_comp,guadtHouseMF10
BiB_GrowingUp,child_survey_adult_comp,guadtHouseMF6
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSis
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisRela
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisRel2
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisRel3
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisRel4
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisRel5
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisAge_SQ001_SQ001
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisAge_SQ001_SQ002
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisAge2_SQ001_S101
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisAge2_SQ001_S102
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisAge3_SQ001_S103
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisAge3_SQ001_S104
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisAge4_SQ001_S105
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisAge4_SQ001_S106
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisAge5_SQ001_S107
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisAge5_SQ001_S108
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisMF
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisMF2
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisMF3
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisMF4
BiB_GrowingUp,child_survey_adult_comp,guadtOtherBroSisMF5
BiB_GrowingUp,child_survey_adult_comp,guadtOthBroSisNumber
BiB_GrowingUp,child_survey_adult_comp,guadtChildGenHealth
BiB_GrowingUp,child_survey_adult_comp,guadtChildChronic
BiB_GrowingUp,child_survey_adult_comp,guadtChildWhatChron_1
BiB_GrowingUp,child_survey_adult_comp,guadtChildWhatChron_2
