variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_GrowingUp.child_survey_child_comp.BiBPersonID,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,BiBPersonID,,text,,,4668,4668
BiB_GrowingUp.child_survey_child_comp.Date,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,Date,Date survey completed,date,,administration,4668,4668
BiB_GrowingUp.child_survey_child_comp.AgeMonths,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,AgeMonths,Age in months at survey completion,integer,,age,4668,4668
BiB_GrowingUp.child_survey_child_comp.AgeYears,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,AgeYears,Age in years at survey completion,integer,,age,4668,4668
BiB_GrowingUp.child_survey_child_comp.SurveyYear,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,SurveyYear,Calendar year at survey completion,integer,,administration,4668,4668
BiB_GrowingUp.child_survey_child_comp.SurveyMonth,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,SurveyMonth,Calendar month at survey completion,integer,,administration,4668,4668
BiB_GrowingUp.child_survey_child_comp.lsid,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,lsid,Survey version identifier,integer,,administration,4668,4668
BiB_GrowingUp.child_survey_child_comp.survey_version,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,survey_version,Survey version,categorical,[1 community version 1] [2 community version 2] [3 community version 3] [4 school version 1] [5 school version 2],administration,4668,4668
BiB_GrowingUp.child_survey_child_comp.survey_mode,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,survey_mode,Survey completion mode,categorical,[1 screen] [2 paper],administration,4668,4668
BiB_GrowingUp.child_survey_child_comp.guchdQinTermTime,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdQinTermTime,Is the questionnaire completed during school term time?,categorical,[1 No] [2 Yes],administration,4667,4667
BiB_GrowingUp.child_survey_child_comp.guchdDayWeekQ,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdDayWeekQ,What day was the questionnaire completed?,categorical,[1 Monday] [2 Tuesday] [3 Wednesday] [4 Thursday] [5 Friday] [6 Saturday] [7 Sunday],administration,4668,4668
BiB_GrowingUp.child_survey_child_comp.guchdWhereQComp,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdWhereQComp,Where was this questionnaire completed?,categorical,[1 Participant's home] [2 Bus] [3 Other],administration,3834,3834
BiB_GrowingUp.child_survey_child_comp.guchdWhereQComp_other,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdWhereQComp_other,Where was this questionnaire completed?: Other,text,,administration,4668,4668
BiB_GrowingUp.child_survey_child_comp.guchdOnSchlDays2_1,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdOnSchlDays2_1,Go to a sports clubs/lessons after school â€“ if yes what is the club or lesson?,categorical,[1 Never/rarely] [2 Some days (1-3 days a week)] [3 Most/all days],leisure_activities,3839,3839
BiB_GrowingUp.child_survey_child_comp.guchdSportsClubsYes,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdSportsClubsYes,What is the club or lesson you go to?,text,,leisure_activities,4668,4668
BiB_GrowingUp.child_survey_child_comp.guchdOnSchlDays2_2,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdOnSchlDays2_2,"Play out in the garden, yard, or streets around your home",categorical,[1 Never/rarely] [2 Some days (1-3 days a week)] [3 Most/all days],leisure_activities,3839,3839
BiB_GrowingUp.child_survey_child_comp.guchdOnSchlDays2_3,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdOnSchlDays2_3,Go to the park,categorical,[1 Never/rarely] [2 Some days (1-3 days a week)] [3 Most/all days],leisure_activities,3839,3839
BiB_GrowingUp.child_survey_child_comp.guchdOnSchlDays2_5,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdOnSchlDays2_5,Walk or run outdoors for exercise (including walking the dog),categorical,[1 Never/rarely] [2 Some days (1-3 days a week)] [3 Most/all days],leisure_activities,3836,3836
BiB_GrowingUp.child_survey_child_comp.guchdOnSchlDays2_6,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdOnSchlDays2_6,Watch TV/films,categorical,[1 Never/rarely] [2 Some days (1-3 days a week)] [3 Most/all days],leisure_activities,3835,3835
BiB_GrowingUp.child_survey_child_comp.guchdOnSchlDays2_7,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdOnSchlDays2_7,"Use a computer (including laptop/tablet) for games, the internet and homework, s",categorical,[1 Never/rarely] [2 Some days (1-3 days a week)] [3 Most/all days],leisure_activities,3834,3834
BiB_GrowingUp.child_survey_child_comp.guchdOnSchlDays2_8,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdOnSchlDays2_8,"Use a mobile phone for messaging, internet, social media, games, you tube",categorical,[1 Never/rarely] [2 Some days (1-3 days a week)] [3 Most/all days],leisure_activities,3832,3832
BiB_GrowingUp.child_survey_child_comp.guchdOnSchlDays2_4,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdOnSchlDays2_4,Go to indoor play areas,categorical,[1 Never/rarely] [2 Some days (1-3 days a week)] [3 Most/all days],leisure_activities,3836,3836
BiB_GrowingUp.child_survey_child_comp.guchdOnSchlHowLong2_1,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdOnSchlHowLong2_1,Watch TV/films,categorical,[1 Less than an hour] [2 1 - 2 hours] [3 2 - 3 hours] [4 3 or more hours],leisure_activities,3372,3372
BiB_GrowingUp.child_survey_child_comp.guchdOnSchlHowLong2_2,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdOnSchlHowLong2_2,"Use a computer (including laptop/tablet) for games, the internet and homework, s",categorical,[1 Less than an hour] [2 1 - 2 hours] [3 2 - 3 hours] [4 3 or more hours],leisure_activities,3046,3046
BiB_GrowingUp.child_survey_child_comp.guchdOnSchlHowLong2_3,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdOnSchlHowLong2_3,"Use a mobile phone for messaging, internet, social media, games, youtube",categorical,[1 Less than an hour] [2 1 - 2 hours] [3 2 - 3 hours] [4 3 or more hours],leisure_activities,1730,1730
BiB_GrowingUp.child_survey_child_comp.guchdWkendHowOften2_1,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdWkendHowOften2_1,Go to sports clubs/lessons,categorical,[1 Never/rarely] [2 Some weekends] [3 Most or all weekends],leisure_activities,3839,3839
BiB_GrowingUp.child_survey_child_comp.guchdWhatClubWkend,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdWhatClubWkend,What is the club or lesson you go to?,text,,leisure_activities,4668,4668
BiB_GrowingUp.child_survey_child_comp.guchdWkendHowOften2_2,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdWkendHowOften2_2,"Play out in the garden, yard, or streets around your home",categorical,[1 Never/rarely] [2 Some weekends] [3 Most or all weekends],leisure_activities,3837,3837
BiB_GrowingUp.child_survey_child_comp.guchdWkendHowOften2_3,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdWkendHowOften2_3,Go to the park,categorical,[1 Never/rarely] [2 Some weekends] [3 Most or all weekends],leisure_activities,3836,3836
BiB_GrowingUp.child_survey_child_comp.guchdWkendHowOften2_4,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdWkendHowOften2_4,Go to indoor play areas,categorical,[1 Never/rarely] [2 Some weekends] [3 Most or all weekends],leisure_activities,3834,3834
BiB_GrowingUp.child_survey_child_comp.guchdWkendHowOften2_5,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdWkendHowOften2_5,Walk or run outdoors for exercise (including walking the dog),categorical,[1 Never/rarely] [2 Some weekends] [3 Most or all weekends],leisure_activities,3836,3836
BiB_GrowingUp.child_survey_child_comp.guchdWkendHowOften2_6,BiB_GrowingUp.child_survey_child_comp,BiB_GrowingUp,child_survey_child_comp,guchdWkendHowOften2_6,Watch TV/films,categorical,[1 Never/rarely] [2 Some weekends] [3 Most or all weekends],leisure_activities,3832,3832
