project,table,variable
BiB_GrowingUp,child_survey_child_comp,BiBPersonID
BiB_GrowingUp,child_survey_child_comp,Date
BiB_GrowingUp,child_survey_child_comp,AgeMonths
BiB_GrowingUp,child_survey_child_comp,AgeYears
BiB_GrowingUp,child_survey_child_comp,SurveyYear
BiB_GrowingUp,child_survey_child_comp,SurveyMonth
BiB_GrowingUp,child_survey_child_comp,lsid
BiB_GrowingUp,child_survey_child_comp,survey_version
BiB_GrowingUp,child_survey_child_comp,survey_mode
BiB_GrowingUp,child_survey_child_comp,guchdQinTermTime
BiB_GrowingUp,child_survey_child_comp,guchdDayWeekQ
BiB_GrowingUp,child_survey_child_comp,guchdWhereQComp
BiB_GrowingUp,child_survey_child_comp,guchdWhereQComp_other
BiB_GrowingUp,child_survey_child_comp,guchdOnSchlDays2_1
BiB_GrowingUp,child_survey_child_comp,guchdSportsClubsYes
BiB_GrowingUp,child_survey_child_comp,guchdOnSchlDays2_2
BiB_GrowingUp,child_survey_child_comp,guchdOnSchlDays2_3
BiB_GrowingUp,child_survey_child_comp,guchdOnSchlDays2_5
BiB_GrowingUp,child_survey_child_comp,guchdOnSchlDays2_6
BiB_GrowingUp,child_survey_child_comp,guchdOnSchlDays2_7
BiB_GrowingUp,child_survey_child_comp,guchdOnSchlDays2_8
BiB_GrowingUp,child_survey_child_comp,guchdOnSchlDays2_4
BiB_GrowingUp,child_survey_child_comp,guchdOnSchlHowLong2_1
BiB_GrowingUp,child_survey_child_comp,guchdOnSchlHowLong2_2
BiB_GrowingUp,child_survey_child_comp,guchdOnSchlHowLong2_3
BiB_GrowingUp,child_survey_child_comp,guchdWkendHowOften2_1
BiB_GrowingUp,child_survey_child_comp,guchdWhatClubWkend
BiB_GrowingUp,child_survey_child_comp,guchdWkendHowOften2_2
BiB_GrowingUp,child_survey_child_comp,guchdWkendHowOften2_3
BiB_GrowingUp,child_survey_child_comp,guchdWkendHowOften2_4
BiB_GrowingUp,child_survey_child_comp,guchdWkendHowOften2_5
BiB_GrowingUp,child_survey_child_comp,guchdWkendHowOften2_6
BiB_GrowingUp,child_survey_child_comp,guchdWkendHowOften2_7
BiB_GrowingUp,child_survey_child_comp,guchdWkendHowOften2_8
BiB_GrowingUp,child_survey_child_comp,guchdWkendHowLong2_1
BiB_GrowingUp,child_survey_child_comp,guchdWkendHowLong2_2
BiB_GrowingUp,child_survey_child_comp,guchdWkendHowLong2_3
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_1
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_2
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_3
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_4
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_5
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_6
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_7
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_9
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_22
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_10
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_23
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_11
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_12
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_8
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_14
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_13
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_24
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_15
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_21
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_16
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_17
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_18
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_19
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_20
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_25
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_26
BiB_GrowingUp,child_survey_child_comp,guchdPhysicalActOth1_1
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive2_27
BiB_GrowingUp,child_survey_child_comp,guchdPhysicalActOth1_2
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive_SQ010
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive_SQ003
BiB_GrowingUp,child_survey_child_comp,guchdPhycialactive_SQ004
BiB_GrowingUp,child_survey_child_comp,guchdActBeforeSch
BiB_GrowingUp,child_survey_child_comp,guchdMrnActiveTravel
BiB_GrowingUp,child_survey_child_comp,guchdPEActive2
BiB_GrowingUp,child_survey_child_comp,guchd7DayBreak2
BiB_GrowingUp,child_survey_child_comp,guchd7Lunch2
BiB_GrowingUp,child_survey_child_comp,guchdAftActiveTravel
BiB_GrowingUp,child_survey_child_comp,guchd7RightAftSchl2
BiB_GrowingUp,child_survey_child_comp,guchd7DayEven2
BiB_GrowingUp,child_survey_child_comp,guchdHowMnySprts2
BiB_GrowingUp,child_survey_child_comp,guchdDescribeBest
BiB_GrowingUp,child_survey_child_comp,guchdHowoftenSport_1
BiB_GrowingUp,child_survey_child_comp,guchdHowoftenSport_2
BiB_GrowingUp,child_survey_child_comp,guchdHowoftenSport_3
BiB_GrowingUp,child_survey_child_comp,guchdHowoftenSport_4
BiB_GrowingUp,child_survey_child_comp,guchdHowoftenSport_5
BiB_GrowingUp,child_survey_child_comp,guchdHowoftenSport_6
BiB_GrowingUp,child_survey_child_comp,guchdHowoftenSport_7
BiB_GrowingUp,child_survey_child_comp,guchdSickStopPA
BiB_GrowingUp,child_survey_child_comp,guchdStopped
BiB_GrowingUp,child_survey_child_comp,guchdHowOftFriends_SQ001
BiB_GrowingUp,child_survey_child_comp,guchdHowOftFriends_SQ002
BiB_GrowingUp,child_survey_child_comp,guchdHowOftFriends_SQ003
BiB_GrowingUp,child_survey_child_comp,guchdFamilysports_1
BiB_GrowingUp,child_survey_child_comp,guchdFamilysports_2
BiB_GrowingUp,child_survey_child_comp,guchdFamilysports_3
BiB_GrowingUp,child_survey_child_comp,guchdFamilysports_4
BiB_GrowingUp,child_survey_child_comp,guchdTeachersports_1
BiB_GrowingUp,child_survey_child_comp,guchdTeachersports_2
BiB_GrowingUp,child_survey_child_comp,guchdTeachersports_3
BiB_GrowingUp,child_survey_child_comp,guchdTeachersports_4
BiB_GrowingUp,child_survey_child_comp,guchdHowGoodActivity_1
BiB_GrowingUp,child_survey_child_comp,guchdHowGoodActivity_2
BiB_GrowingUp,child_survey_child_comp,guchdHowGoodActivity_3
BiB_GrowingUp,child_survey_child_comp,guchdHowGoodActivity_4
BiB_GrowingUp,child_survey_child_comp,guchdHowGoodActivity_5
BiB_GrowingUp,child_survey_child_comp,guchdHowGoodActivity_6
BiB_GrowingUp,child_survey_child_comp,guchdHowGoodActivity_7
BiB_GrowingUp,child_survey_child_comp,guchdHowGoodActivity_8
BiB_GrowingUp,child_survey_child_comp,guchdHowGoodActivity_9
BiB_GrowingUp,child_survey_child_comp,guchdLikeActivity_1
BiB_GrowingUp,child_survey_child_comp,guchdLikeActivity_10
BiB_GrowingUp,child_survey_child_comp,guchdLikeActivity_11
BiB_GrowingUp,child_survey_child_comp,guchdLikeActivity_2
BiB_GrowingUp,child_survey_child_comp,guchdLikeActivity_3
BiB_GrowingUp,child_survey_child_comp,guchdLikeActivity_4
BiB_GrowingUp,child_survey_child_comp,guchdLikeActivity_5
BiB_GrowingUp,child_survey_child_comp,guchdLikeActivity_6
BiB_GrowingUp,child_survey_child_comp,guchdLikeActivity_7
BiB_GrowingUp,child_survey_child_comp,guchdLikeActivity_8
BiB_GrowingUp,child_survey_child_comp,guchdLikeActivity_9
BiB_GrowingUp,child_survey_child_comp,guchdAmountPAHealthy_1
BiB_GrowingUp,child_survey_child_comp,guchdAmountPAHealthy_2
BiB_GrowingUp,child_survey_child_comp,guchdHowHardPA
BiB_GrowingUp,child_survey_child_comp,guchdGetToSchool_SQ001
BiB_GrowingUp,child_survey_child_comp,guchdGetToSchool_SQ002
BiB_GrowingUp,child_survey_child_comp,guchdGetToSchool_SQ003
BiB_GrowingUp,child_survey_child_comp,guchdGetToSchool_SQ004
BiB_GrowingUp,child_survey_child_comp,guchdBeginningText
BiB_GrowingUp,child_survey_child_comp,guchdBrFastEat
BiB_GrowingUp,child_survey_child_comp,guchdbfasteat
BiB_GrowingUp,child_survey_child_comp,guchdBrfastDrink
BiB_GrowingUp,child_survey_child_comp,guchdbfastdrink
BiB_GrowingUp,child_survey_child_comp,guchdWayToSchool
BiB_GrowingUp,child_survey_child_comp,guchdTravellingToEat
BiB_GrowingUp,child_survey_child_comp,guchdDrinkWayToSchl
BiB_GrowingUp,child_survey_child_comp,guchdTravelToDrink
BiB_GrowingUp,child_survey_child_comp,guchdSchoolMrningEat
