project,table,variable
BiB_GrowingUp,dxa_scan_c,BiBPersonID
BiB_GrowingUp,dxa_scan_c,Date
BiB_GrowingUp,dxa_scan_c,AgeMonths
BiB_GrowingUp,dxa_scan_c,AgeYears
BiB_GrowingUp,dxa_scan_c,ScanYear
BiB_GrowingUp,dxa_scan_c,ScanMonth
BiB_GrowingUp,dxa_scan_c,status
BiB_GrowingUp,dxa_scan_c,height
BiB_GrowingUp,dxa_scan_c,weight
BiB_GrowingUp,dxa_scan_c,scantype
BiB_GrowingUp,dxa_scan_c,scanner_id
BiB_GrowingUp,dxa_scan_c,site
BiB_GrowingUp,dxa_scan_c,side
BiB_GrowingUp,dxa_scan_c,acquisition_version
BiB_GrowingUp,dxa_scan_c,analysis_version
BiB_GrowingUp,dxa_scan_c,avg_percent_fat
BiB_GrowingUp,dxa_scan_c,avg_tissue_thickness
BiB_GrowingUp,dxa_scan_c,scan_length
BiB_GrowingUp,dxa_scan_c,scan_width
BiB_GrowingUp,dxa_scan_c,object_plane
BiB_GrowingUp,dxa_scan_c,measured_item_length
BiB_GrowingUp,dxa_scan_c,smart_scanned
BiB_GrowingUp,dxa_scan_c,population
BiB_GrowingUp,dxa_scan_c,norm_version
BiB_GrowingUp,dxa_scan_c,method
BiB_GrowingUp,dxa_scan_c,head_bmd
BiB_GrowingUp,dxa_scan_c,arms_bmd
BiB_GrowingUp,dxa_scan_c,legs_bmd
BiB_GrowingUp,dxa_scan_c,trnk_bmd
BiB_GrowingUp,dxa_scan_c,ribs_bmd
BiB_GrowingUp,dxa_scan_c,pelv_bmd
BiB_GrowingUp,dxa_scan_c,spin_bmd
BiB_GrowingUp,dxa_scan_c,htot_bmd
BiB_GrowingUp,dxa_scan_c,totl_bmd
BiB_GrowingUp,dxa_scan_c,larm_bmd
BiB_GrowingUp,dxa_scan_c,lleg_bmd
BiB_GrowingUp,dxa_scan_c,ltrnk_bmd
BiB_GrowingUp,dxa_scan_c,ltot_bmd
BiB_GrowingUp,dxa_scan_c,rarm_bmd
BiB_GrowingUp,dxa_scan_c,rleg_bmd
BiB_GrowingUp,dxa_scan_c,rtrnk_bmd
BiB_GrowingUp,dxa_scan_c,rtot_bmd
BiB_GrowingUp,dxa_scan_c,head_bmc
BiB_GrowingUp,dxa_scan_c,arms_bmc
BiB_GrowingUp,dxa_scan_c,legs_bmc
BiB_GrowingUp,dxa_scan_c,trnk_bmc
BiB_GrowingUp,dxa_scan_c,ribs_bmc
BiB_GrowingUp,dxa_scan_c,pelv_bmc
BiB_GrowingUp,dxa_scan_c,spin_bmc
BiB_GrowingUp,dxa_scan_c,htot_bmc
BiB_GrowingUp,dxa_scan_c,totl_bmc
