variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_GrowingUp.dxa_scan_f.BiBPersonID,BiB_GrowingUp.dxa_scan_f,BiB_GrowingUp,dxa_scan_f,BiBPersonID,,text,,,58,58
BiB_GrowingUp.dxa_scan_f.Date,BiB_GrowingUp.dxa_scan_f,BiB_GrowingUp,dxa_scan_f,Date,Date image was acquired,date,,administration,58,58
BiB_GrowingUp.dxa_scan_f.AgeMonths,BiB_GrowingUp.dxa_scan_f,BiB_GrowingUp,dxa_scan_f,AgeMonths,Age in months at DXA scan,integer,,age,58,58
BiB_GrowingUp.dxa_scan_f.AgeYears,BiB_GrowingUp.dxa_scan_f,BiB_GrowingUp,dxa_scan_f,AgeYears,Age in years at DXA scan,integer,,age,58,58
BiB_GrowingUp.dxa_scan_f.ScanYear,BiB_GrowingUp.dxa_scan_f,BiB_GrowingUp,dxa_scan_f,ScanYear,Calendar year of DXA scan,integer,,administration,58,58
BiB_GrowingUp.dxa_scan_f.ScanMonth,BiB_GrowingUp.dxa_scan_f,BiB_GrowingUp,dxa_scan_f,ScanMonth,Calendar month of DXA scan,integer,,administration,58,58
BiB_GrowingUp.dxa_scan_f.status,BiB_GrowingUp.dxa_scan_f,BiB_GrowingUp,dxa_scan_f,status,Current state of this exam,categorical,[0 Not reviewed],administration,58,58
BiB_GrowingUp.dxa_scan_f.height,BiB_GrowingUp.dxa_scan_f,BiB_GrowingUp,dxa_scan_f,height,Height (cm),float,,anthropometry,58,58
BiB_GrowingUp.dxa_scan_f.weight,BiB_GrowingUp.dxa_scan_f,BiB_GrowingUp,dxa_scan_f,weight,Weight (kg),float,,anthropometry,58,58
BiB_GrowingUp.dxa_scan_f.scantype,BiB_GrowingUp.dxa_scan_f,BiB_GrowingUp,dxa_scan_f,scantype,Scan type,categorical,[10 Whole body scan],administration,58,58
BiB_GrowingUp.dxa_scan_f.scanner_id,BiB_GrowingUp.dxa_scan_f,BiB_GrowingUp,dxa_scan_f,scanner_id,Serial number of scanner,integer,,administration,58,58
BiB_GrowingUp.dxa_scan_f.site,BiB_GrowingUp.dxa_scan_f,BiB_GrowingUp,dxa_scan_f,site,Site of scan,categorical,[0 AP spine] [3 Total body] [13 Paediatric total body],administration,58,58
BiB_GrowingUp.dxa_scan_f.side,BiB_GrowingUp.dxa_scan_f,BiB_GrowingUp,dxa_scan_f,side,Side scanned,categorical,[0 NA],administration,58,58
BiB_GrowingUp.dxa_scan_f.acquisition_version,BiB_GrowingUp.dxa_scan_f,BiB_GrowingUp,dxa_scan_f,acquisition_version,Version of the aquisition techniques when image was aquired,text,,administration,58,58
