project,table,variable
BiB_GrowingUp,dxa_scan_m,BiBPersonID
BiB_GrowingUp,dxa_scan_m,Date
BiB_GrowingUp,dxa_scan_m,AgeMonths
BiB_GrowingUp,dxa_scan_m,AgeYears
BiB_GrowingUp,dxa_scan_m,ScanYear
BiB_GrowingUp,dxa_scan_m,ScanMonth
BiB_GrowingUp,dxa_scan_m,status
BiB_GrowingUp,dxa_scan_m,height
BiB_GrowingUp,dxa_scan_m,weight
BiB_GrowingUp,dxa_scan_m,scantype
BiB_GrowingUp,dxa_scan_m,scanner_id
BiB_GrowingUp,dxa_scan_m,site
BiB_GrowingUp,dxa_scan_m,side
BiB_GrowingUp,dxa_scan_m,acquisition_version
BiB_GrowingUp,dxa_scan_m,analysis_version
BiB_GrowingUp,dxa_scan_m,avg_percent_fat
BiB_GrowingUp,dxa_scan_m,avg_tissue_thickness
BiB_GrowingUp,dxa_scan_m,unread_notes_exist
BiB_GrowingUp,dxa_scan_m,scan_length
BiB_GrowingUp,dxa_scan_m,scan_width
BiB_GrowingUp,dxa_scan_m,object_plane
BiB_GrowingUp,dxa_scan_m,measured_item_length
BiB_GrowingUp,dxa_scan_m,smart_scanned
BiB_GrowingUp,dxa_scan_m,population
BiB_GrowingUp,dxa_scan_m,norm_version
BiB_GrowingUp,dxa_scan_m,method
BiB_GrowingUp,dxa_scan_m,head_bmd
BiB_GrowingUp,dxa_scan_m,arms_bmd
BiB_GrowingUp,dxa_scan_m,legs_bmd
BiB_GrowingUp,dxa_scan_m,trnk_bmd
BiB_GrowingUp,dxa_scan_m,ribs_bmd
BiB_GrowingUp,dxa_scan_m,pelv_bmd
BiB_GrowingUp,dxa_scan_m,spin_bmd
BiB_GrowingUp,dxa_scan_m,totl_bmd
BiB_GrowingUp,dxa_scan_m,larm_bmd
BiB_GrowingUp,dxa_scan_m,lleg_bmd
BiB_GrowingUp,dxa_scan_m,ltrnk_bmd
BiB_GrowingUp,dxa_scan_m,ltot_bmd
BiB_GrowingUp,dxa_scan_m,rarm_bmd
BiB_GrowingUp,dxa_scan_m,rleg_bmd
BiB_GrowingUp,dxa_scan_m,rtrnk_bmd
BiB_GrowingUp,dxa_scan_m,rtot_bmd
BiB_GrowingUp,dxa_scan_m,head_bmc
BiB_GrowingUp,dxa_scan_m,arms_bmc
BiB_GrowingUp,dxa_scan_m,legs_bmc
BiB_GrowingUp,dxa_scan_m,trnk_bmc
BiB_GrowingUp,dxa_scan_m,ribs_bmc
BiB_GrowingUp,dxa_scan_m,pelv_bmc
BiB_GrowingUp,dxa_scan_m,spin_bmc
BiB_GrowingUp,dxa_scan_m,totl_bmc
BiB_GrowingUp,dxa_scan_m,and_bmc
BiB_GrowingUp,dxa_scan_m,gyn_bmc
BiB_GrowingUp,dxa_scan_m,anvis_bmc
BiB_GrowingUp,dxa_scan_m,larm_bmc
BiB_GrowingUp,dxa_scan_m,lleg_bmc
BiB_GrowingUp,dxa_scan_m,ltrnk_bmc
BiB_GrowingUp,dxa_scan_m,ltot_bmc
BiB_GrowingUp,dxa_scan_m,rarm_bmc
BiB_GrowingUp,dxa_scan_m,rleg_bmc
BiB_GrowingUp,dxa_scan_m,rtrnk_bmc
BiB_GrowingUp,dxa_scan_m,rtot_bmc
BiB_GrowingUp,dxa_scan_m,armdiff_bmc
BiB_GrowingUp,dxa_scan_m,legdiff_bmc
BiB_GrowingUp,dxa_scan_m,trnkdiff_bmc
BiB_GrowingUp,dxa_scan_m,boddiff_bmc
BiB_GrowingUp,dxa_scan_m,head_area
BiB_GrowingUp,dxa_scan_m,arms_area
BiB_GrowingUp,dxa_scan_m,legs_area
BiB_GrowingUp,dxa_scan_m,trnk_area
BiB_GrowingUp,dxa_scan_m,ribs_area
BiB_GrowingUp,dxa_scan_m,pelv_area
BiB_GrowingUp,dxa_scan_m,spin_area
BiB_GrowingUp,dxa_scan_m,totl_area
BiB_GrowingUp,dxa_scan_m,larm_area
BiB_GrowingUp,dxa_scan_m,lleg_area
BiB_GrowingUp,dxa_scan_m,ltrnk_area
BiB_GrowingUp,dxa_scan_m,ltot_area
BiB_GrowingUp,dxa_scan_m,rarm_area
BiB_GrowingUp,dxa_scan_m,rleg_area
BiB_GrowingUp,dxa_scan_m,rtrnk_area
BiB_GrowingUp,dxa_scan_m,rtot_area
BiB_GrowingUp,dxa_scan_m,arms_leanmass
BiB_GrowingUp,dxa_scan_m,legs_leanmass
BiB_GrowingUp,dxa_scan_m,trnk_leanmass
BiB_GrowingUp,dxa_scan_m,tot_leanmass
