project,table,variable
BiB_GrowingUp,mother_blood_pressures,BiBPersonID
BiB_GrowingUp,mother_blood_pressures,Date
BiB_GrowingUp,mother_blood_pressures,agemths
BiB_GrowingUp,mother_blood_pressures,ageyrs
BiB_GrowingUp,mother_blood_pressures,CuffSize
BiB_GrowingUp,mother_blood_pressures,BPSystolic1
BiB_GrowingUp,mother_blood_pressures,BPDiastolic1
BiB_GrowingUp,mother_blood_pressures,Pulse1
BiB_GrowingUp,mother_blood_pressures,BPSystolic2
BiB_GrowingUp,mother_blood_pressures,BPDiastolic2
BiB_GrowingUp,mother_blood_pressures,Pulse2
BiB_GrowingUp,mother_blood_pressures,BPSystolic3
BiB_GrowingUp,mother_blood_pressures,BPDiastolic3
BiB_GrowingUp,mother_blood_pressures,Pulse3
BiB_GrowingUp,mother_blood_pressures,BPSystolic4
BiB_GrowingUp,mother_blood_pressures,BPDiastolic4
BiB_GrowingUp,mother_blood_pressures,Pulse4
BiB_GrowingUp,mother_blood_pressures,systolic
BiB_GrowingUp,mother_blood_pressures,diastolic
BiB_GrowingUp,mother_blood_pressures,pulse
