variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_GrowingUp.participant_pathway.BiBPersonID,BiB_GrowingUp.participant_pathway,BiB_GrowingUp,participant_pathway,BiBPersonID,,text,,,30134,30134
BiB_GrowingUp.participant_pathway.participant_type,BiB_GrowingUp.participant_pathway,BiB_GrowingUp,participant_pathway,participant_type,Participant type,categorical,[1 Mother] [2 Child] [3 Father] [4 GUPartner],administration,30134,30134
BiB_GrowingUp.participant_pathway.invited_gu,BiB_GrowingUp.participant_pathway,BiB_GrowingUp,participant_pathway,invited_gu,Growing Up invitation letter sent,categorical,[0 No] [1 Yes],administration,30134,30134
BiB_GrowingUp.participant_pathway.invited_online,BiB_GrowingUp.participant_pathway,BiB_GrowingUp,participant_pathway,invited_online,Growing Up web survey invitation letter sent,categorical,[0 No] [1 Yes],administration,30134,30134
BiB_GrowingUp.participant_pathway.invited_school,BiB_GrowingUp.participant_pathway,BiB_GrowingUp,participant_pathway,invited_school,Growing Up in school invitation letter sent,categorical,[0 No] [1 Yes],administration,30134,30134
BiB_GrowingUp.participant_pathway.recruited,BiB_GrowingUp.participant_pathway,BiB_GrowingUp,participant_pathway,recruited,Recruited to Growing Up,categorical,[0 No] [1 Yes],administration,30134,30134
BiB_GrowingUp.participant_pathway.notrecruited,BiB_GrowingUp.participant_pathway,BiB_GrowingUp,participant_pathway,notrecruited,Not recruited to Growing Up,categorical,[0 No] [1 Yes],administration,30134,30134
BiB_GrowingUp.participant_pathway.consent_school_researcher,BiB_GrowingUp.participant_pathway,BiB_GrowingUp,participant_pathway,consent_school_researcher,Consent to be seen by research team in school for Growing Up,categorical,[0 No] [1 Yes],administration,30134,30134
BiB_GrowingUp.participant_pathway.decline_school_researcher,BiB_GrowingUp.participant_pathway,BiB_GrowingUp,participant_pathway,decline_school_researcher,Decline to be seen by research team in school for Growing Up,categorical,[0 No] [1 Yes],administration,30134,30134
BiB_GrowingUp.participant_pathway.contact_school_nurse,BiB_GrowingUp.participant_pathway,BiB_GrowingUp,participant_pathway,contact_school_nurse,Seen by school nurse team in school for Growing Up,categorical,[0 No] [1 Yes],administration,30134,30134
