variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_GrowingUp.renal_urines.BiBPersonID,BiB_GrowingUp.renal_urines,BiB_GrowingUp,renal_urines,BiBPersonID,,text,,,705,703
BiB_GrowingUp.renal_urines.age_in_months,BiB_GrowingUp.renal_urines,BiB_GrowingUp,renal_urines,age_in_months,GU renal: age at urine sample (months),integer,,age,705,703
BiB_GrowingUp.renal_urines.age_in_years,BiB_GrowingUp.renal_urines,BiB_GrowingUp,renal_urines,age_in_years,GU renal: age at urine sample (years),integer,,age,704,703
BiB_GrowingUp.renal_urines.urine_rbp,BiB_GrowingUp.renal_urines,BiB_GrowingUp,renal_urines,urine_rbp,Urine RBP result mg/L,categorical,[-2 missing] [-1 <12.8mg/L at 1 in 5 dilution. No result from undiluted sample due to turbidity.] [1 <2 mg/L] [3 3 mg/L],urogenital_system,704,703
BiB_GrowingUp.renal_urines.urine_creat,BiB_GrowingUp.renal_urines,BiB_GrowingUp,renal_urines,urine_creat,GU renal: urine creatinine,float,,urogenital_system,677,677
BiB_GrowingUp.renal_urines.urine_creat_low,BiB_GrowingUp.renal_urines,BiB_GrowingUp,renal_urines,urine_creat_low,Indicates urine creatinine below 1.00,integer,,urogenital_system,678,678
BiB_GrowingUp.renal_urines.urine_album,BiB_GrowingUp.renal_urines,BiB_GrowingUp,renal_urines,urine_album,GU renal: urine albumin,float,,urogenital_system,328,328
BiB_GrowingUp.renal_urines.urine_album_low,BiB_GrowingUp.renal_urines,BiB_GrowingUp,renal_urines,urine_album_low,Indicates urine albumin below 3.00,integer,,urogenital_system,678,678
BiB_GrowingUp.renal_urines.urine_prot,BiB_GrowingUp.renal_urines,BiB_GrowingUp,renal_urines,urine_prot,GU renal: urine protein,float,,urogenital_system,626,626
BiB_GrowingUp.renal_urines.urine_prot_low,BiB_GrowingUp.renal_urines,BiB_GrowingUp,renal_urines,urine_prot_low,Indicates urine protein below 0.06,integer,,urogenital_system,677,677
BiB_GrowingUp.renal_urines.alb_creat_rat,BiB_GrowingUp.renal_urines,BiB_GrowingUp,renal_urines,alb_creat_rat,GU renal: albumin creatinine ratio,float,,urogenital_system,329,329
BiB_GrowingUp.renal_urines.prot_creat_rat,BiB_GrowingUp.renal_urines,BiB_GrowingUp,renal_urines,prot_creat_rat,GU renal: protein creatinine ratio,float,,urogenital_system,626,626
