project,table,variable
BiB_LifeCycle,chemicals_ath_trimester_rep,BiBPersonID
BiB_LifeCycle,chemicals_ath_trimester_rep,age_trimester
BiB_LifeCycle,chemicals_ath_trimester_rep,m_mep_raw_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_mep_lod_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_mibp_raw_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_mibp_lod_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_mnbp_raw_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_mnbp_lod_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_mbzp_raw_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_mbzp_lod_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_mehp_raw_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_mehp_lod_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_mehhp_raw_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_mehhp_lod_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_meohp_raw_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_meohp_lod_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_mecpp_raw_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_mecpp_lod_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_ohminp_raw_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_ohminp_lod_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_oxominp_raw_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_oxominp_lod_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_bpa_raw_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_bpa_lod_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_mepa_raw_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_mepa_lod_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_etpa_raw_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_etpa_lod_t
BiB_LifeCycle,chemicals_ath_trimester_rep,m_prpa_raw_t
