project,table,variable
BiB_LifeCycle,core_non_rep,BiBPersonID
BiB_LifeCycle,core_non_rep,mother_id
BiB_LifeCycle,core_non_rep,abroad_child
BiB_LifeCycle,core_non_rep,abroad_fa
BiB_LifeCycle,core_non_rep,abroad_mo
BiB_LifeCycle,core_non_rep,agebirth_m_d
BiB_LifeCycle,core_non_rep,agebirth_m_y
BiB_LifeCycle,core_non_rep,agebirth_p_d
BiB_LifeCycle,core_non_rep,agebirth_p_fath
BiB_LifeCycle,core_non_rep,agebirth_p_y
BiB_LifeCycle,core_non_rep,apgar
BiB_LifeCycle,core_non_rep,asthma_bf
BiB_LifeCycle,core_non_rep,asthma_m
BiB_LifeCycle,core_non_rep,birth_head_circum
BiB_LifeCycle,core_non_rep,birth_month
BiB_LifeCycle,core_non_rep,birth_weight
BiB_LifeCycle,core_non_rep,birth_year
BiB_LifeCycle,core_non_rep,breastfed_any
BiB_LifeCycle,core_non_rep,breastfed_ever
BiB_LifeCycle,core_non_rep,breastfed_excl
BiB_LifeCycle,core_non_rep,cer_palsy
BiB_LifeCycle,core_non_rep,child_no
BiB_LifeCycle,core_non_rep,childcare_intro
BiB_LifeCycle,core_non_rep,cob_m
BiB_LifeCycle,core_non_rep,cob_p
BiB_LifeCycle,core_non_rep,cob_p_fath
BiB_LifeCycle,core_non_rep,coh_country
BiB_LifeCycle,core_non_rep,con_anomalies
BiB_LifeCycle,core_non_rep,dairy_psc
BiB_LifeCycle,core_non_rep,death_child
BiB_LifeCycle,core_non_rep,death_child_age
BiB_LifeCycle,core_non_rep,death_m
BiB_LifeCycle,core_non_rep,death_m_age
BiB_LifeCycle,core_non_rep,death_p
BiB_LifeCycle,core_non_rep,death_p_age
BiB_LifeCycle,core_non_rep,dietage_psc
BiB_LifeCycle,core_non_rep,dietass_pgn
BiB_LifeCycle,core_non_rep,dietass_psc
BiB_LifeCycle,core_non_rep,dietga_pgn
BiB_LifeCycle,core_non_rep,egg_psc
BiB_LifeCycle,core_non_rep,ethn1_m
BiB_LifeCycle,core_non_rep,ethn1_p
BiB_LifeCycle,core_non_rep,ethn2_m
BiB_LifeCycle,core_non_rep,ethn2_p
BiB_LifeCycle,core_non_rep,ethn3_m
BiB_LifeCycle,core_non_rep,ethn3_p
BiB_LifeCycle,core_non_rep,eusilc_income
BiB_LifeCycle,core_non_rep,eusilc_income_quintiles
BiB_LifeCycle,core_non_rep,ffish_psc
BiB_LifeCycle,core_non_rep,fish_psc
BiB_LifeCycle,core_non_rep,folic_post12
BiB_LifeCycle,core_non_rep,fruit_psc
BiB_LifeCycle,core_non_rep,ga_bj
BiB_LifeCycle,core_non_rep,ga_lmp
BiB_LifeCycle,core_non_rep,ga_us
BiB_LifeCycle,core_non_rep,grain_pgn
BiB_LifeCycle,core_non_rep,grain_psc
BiB_LifeCycle,core_non_rep,height_f1
BiB_LifeCycle,core_non_rep,height_f1_fath
BiB_LifeCycle,core_non_rep,height_m
BiB_LifeCycle,core_non_rep,height_mes_f1
BiB_LifeCycle,core_non_rep,height_mes_m
BiB_LifeCycle,core_non_rep,ivf
BiB_LifeCycle,core_non_rep,latepreg_weight
BiB_LifeCycle,core_non_rep,latepreg_weight_ga
BiB_LifeCycle,core_non_rep,latepreg_weight_mes
BiB_LifeCycle,core_non_rep,lfdairy_psc
BiB_LifeCycle,core_non_rep,major_con_anomalies
BiB_LifeCycle,core_non_rep,mar
BiB_LifeCycle,core_non_rep,meat_psc
BiB_LifeCycle,core_non_rep,miggen_child
BiB_LifeCycle,core_non_rep,mode_delivery
BiB_LifeCycle,core_non_rep,neo_unit
BiB_LifeCycle,core_non_rep,nffish_psc
BiB_LifeCycle,core_non_rep,cohort_id
BiB_LifeCycle,core_non_rep,urb_area_id
BiB_LifeCycle,core_non_rep,no2_preg
BiB_LifeCycle,core_non_rep,nox_preg
BiB_LifeCycle,core_non_rep,pm10_preg
BiB_LifeCycle,core_non_rep,pm25_preg
BiB_LifeCycle,core_non_rep,pm25abs_preg
BiB_LifeCycle,core_non_rep,pmcoarse_preg
BiB_LifeCycle,core_non_rep,pm10cu_preg
BiB_LifeCycle,core_non_rep,pm10fe_preg
BiB_LifeCycle,core_non_rep,pm10k_preg
BiB_LifeCycle,core_non_rep,pm10ni_preg
BiB_LifeCycle,core_non_rep,pm10s_preg
BiB_LifeCycle,core_non_rep,pm10si_preg
BiB_LifeCycle,core_non_rep,pm10v_preg
BiB_LifeCycle,core_non_rep,pm10zn_preg
BiB_LifeCycle,core_non_rep,pm25cu_preg
BiB_LifeCycle,core_non_rep,pm25fe_preg
BiB_LifeCycle,core_non_rep,pm25k_preg
BiB_LifeCycle,core_non_rep,pm25ni_preg
BiB_LifeCycle,core_non_rep,pm25s_preg
BiB_LifeCycle,core_non_rep,pm25si_preg
BiB_LifeCycle,core_non_rep,pm25v_preg
BiB_LifeCycle,core_non_rep,pm25zn_preg
BiB_LifeCycle,core_non_rep,bdens100_preg
BiB_LifeCycle,core_non_rep,bdens300_preg
BiB_LifeCycle,core_non_rep,connind100_preg
BiB_LifeCycle,core_non_rep,connind300_preg
BiB_LifeCycle,core_non_rep,fdensity300_preg
BiB_LifeCycle,core_non_rep,frichness300_preg
BiB_LifeCycle,core_non_rep,landuseshan300_preg
BiB_LifeCycle,core_non_rep,agrgr_preg
BiB_LifeCycle,core_non_rep,airpt_preg
BiB_LifeCycle,core_non_rep,hdres_preg
BiB_LifeCycle,core_non_rep,indtr_preg
BiB_LifeCycle,core_non_rep,ldres_preg
BiB_LifeCycle,core_non_rep,natgr_preg
BiB_LifeCycle,core_non_rep,other_preg
BiB_LifeCycle,core_non_rep,port_preg
BiB_LifeCycle,core_non_rep,trans_preg
BiB_LifeCycle,core_non_rep,urbgr_preg
BiB_LifeCycle,core_non_rep,vldres_preg
BiB_LifeCycle,core_non_rep,water_preg
BiB_LifeCycle,core_non_rep,popdens_preg
BiB_LifeCycle,core_non_rep,bus_lines_100_preg
BiB_LifeCycle,core_non_rep,bus_lines_300_preg
BiB_LifeCycle,core_non_rep,bus_lines_500_preg
BiB_LifeCycle,core_non_rep,bus_stops_100_preg
BiB_LifeCycle,core_non_rep,bus_stops_300_preg
BiB_LifeCycle,core_non_rep,bus_stops_500_preg
BiB_LifeCycle,core_non_rep,walkability_mean_preg
BiB_LifeCycle,core_non_rep,hum_preg
BiB_LifeCycle,core_non_rep,mdist_preg
BiB_LifeCycle,core_non_rep,tm_preg
BiB_LifeCycle,core_non_rep,tmax_preg
BiB_LifeCycle,core_non_rep,tmin_preg
BiB_LifeCycle,core_non_rep,uvddc_preg
BiB_LifeCycle,core_non_rep,uvdec_preg
BiB_LifeCycle,core_non_rep,uvdvc_preg
BiB_LifeCycle,core_non_rep,lst_preg
BiB_LifeCycle,core_non_rep,blue_dist_preg
BiB_LifeCycle,core_non_rep,blue_size_preg
BiB_LifeCycle,core_non_rep,blueyn300_preg
BiB_LifeCycle,core_non_rep,green_dist_preg
BiB_LifeCycle,core_non_rep,green_size_preg
BiB_LifeCycle,core_non_rep,greenyn300_preg
BiB_LifeCycle,core_non_rep,ndvi100_preg
BiB_LifeCycle,core_non_rep,ndvi300_preg
BiB_LifeCycle,core_non_rep,ndvi500_preg
BiB_LifeCycle,core_non_rep,lden_c_preg
BiB_LifeCycle,core_non_rep,ln_c_preg
BiB_LifeCycle,core_non_rep,areases_quint_preg
BiB_LifeCycle,core_non_rep,areases_tert_preg
BiB_LifeCycle,core_non_rep,distinvnear1_preg
BiB_LifeCycle,core_non_rep,trafload100_preg
BiB_LifeCycle,core_non_rep,trafmajorload100_preg
BiB_LifeCycle,core_non_rep,trafnear_preg
BiB_LifeCycle,core_non_rep,foodenvdens300_preg
BiB_LifeCycle,core_non_rep,outcome
BiB_LifeCycle,core_non_rep,parity_m
BiB_LifeCycle,core_non_rep,plurality
BiB_LifeCycle,core_non_rep,potat_psc
BiB_LifeCycle,core_non_rep,ppd
BiB_LifeCycle,core_non_rep,preeclam
BiB_LifeCycle,core_non_rep,preg_alc
BiB_LifeCycle,core_non_rep,preg_alc_unit
BiB_LifeCycle,core_non_rep,preg_an
BiB_LifeCycle,core_non_rep,preg_bn
BiB_LifeCycle,core_non_rep,preg_cig
BiB_LifeCycle,core_non_rep,preg_dep
BiB_LifeCycle,core_non_rep,preg_dia
BiB_LifeCycle,core_non_rep,preg_ed
BiB_LifeCycle,core_non_rep,preg_ht
BiB_LifeCycle,core_non_rep,preg_no
BiB_LifeCycle,core_non_rep,preg_smk
BiB_LifeCycle,core_non_rep,preg_thyroid
BiB_LifeCycle,core_non_rep,prepreg_alc
BiB_LifeCycle,core_non_rep,prepreg_alc_unit
BiB_LifeCycle,core_non_rep,prepreg_an
BiB_LifeCycle,core_non_rep,prepreg_anx
BiB_LifeCycle,core_non_rep,prepreg_bn
BiB_LifeCycle,core_non_rep,prepreg_cig
BiB_LifeCycle,core_non_rep,prepreg_dep
BiB_LifeCycle,core_non_rep,prepreg_dia
BiB_LifeCycle,core_non_rep,prepreg_ed
BiB_LifeCycle,core_non_rep,prepreg_psych
BiB_LifeCycle,core_non_rep,prepreg_smk
BiB_LifeCycle,core_non_rep,prepreg_weight
BiB_LifeCycle,core_non_rep,prepreg_weight_ga
BiB_LifeCycle,core_non_rep,prepreg_weight_mes
BiB_LifeCycle,core_non_rep,procmeat_psc
BiB_LifeCycle,core_non_rep,pulses_psc
BiB_LifeCycle,core_non_rep,recruit_age
BiB_LifeCycle,core_non_rep,redmeat_psc
BiB_LifeCycle,core_non_rep,region_fa
BiB_LifeCycle,core_non_rep,region_mo
BiB_LifeCycle,core_non_rep,reledu_fa
BiB_LifeCycle,core_non_rep,reledu_mo
BiB_LifeCycle,core_non_rep,sav_psc
