project,table,variable
BiB_LifeCycle,core_yearly_rep,BiBPersonID
BiB_LifeCycle,core_yearly_rep,age_years
BiB_LifeCycle,core_yearly_rep,cohab_
BiB_LifeCycle,core_yearly_rep,occup_m_
BiB_LifeCycle,core_yearly_rep,occupcode_m_
BiB_LifeCycle,core_yearly_rep,edu_m_
BiB_LifeCycle,core_yearly_rep,occup_f1_
BiB_LifeCycle,core_yearly_rep,occup_f1_fath
BiB_LifeCycle,core_yearly_rep,occupcode_f1_
BiB_LifeCycle,core_yearly_rep,occupcode_f1_fath
BiB_LifeCycle,core_yearly_rep,edu_f1_
BiB_LifeCycle,core_yearly_rep,edu_f1_fath
BiB_LifeCycle,core_yearly_rep,childcare_
BiB_LifeCycle,core_yearly_rep,childcarerel_
BiB_LifeCycle,core_yearly_rep,childcareprof_
BiB_LifeCycle,core_yearly_rep,childcarecentre_
BiB_LifeCycle,core_yearly_rep,smk_exp
BiB_LifeCycle,core_yearly_rep,pets_
BiB_LifeCycle,core_yearly_rep,cats_
BiB_LifeCycle,core_yearly_rep,dogs_
BiB_LifeCycle,core_yearly_rep,famsize_child
BiB_LifeCycle,core_yearly_rep,famsize_adult
BiB_LifeCycle,core_yearly_rep,no2_
BiB_LifeCycle,core_yearly_rep,nox_
BiB_LifeCycle,core_yearly_rep,pm10_
BiB_LifeCycle,core_yearly_rep,pm25_
BiB_LifeCycle,core_yearly_rep,pmcoarse_
BiB_LifeCycle,core_yearly_rep,pm25abs_
BiB_LifeCycle,core_yearly_rep,pm25cu_
BiB_LifeCycle,core_yearly_rep,pm25fe_
BiB_LifeCycle,core_yearly_rep,pm25k_
BiB_LifeCycle,core_yearly_rep,pm25ni_
BiB_LifeCycle,core_yearly_rep,pm25s_
BiB_LifeCycle,core_yearly_rep,pm25si_
BiB_LifeCycle,core_yearly_rep,pm25v_
BiB_LifeCycle,core_yearly_rep,pm25zn_
BiB_LifeCycle,core_yearly_rep,pm10cu_
BiB_LifeCycle,core_yearly_rep,pm10fe_
BiB_LifeCycle,core_yearly_rep,pm10k_
BiB_LifeCycle,core_yearly_rep,pm10ni_
BiB_LifeCycle,core_yearly_rep,pm10s_
BiB_LifeCycle,core_yearly_rep,pm10si_
BiB_LifeCycle,core_yearly_rep,pm10v_
BiB_LifeCycle,core_yearly_rep,pm10zn_
BiB_LifeCycle,core_yearly_rep,popdens_
BiB_LifeCycle,core_yearly_rep,bdens100_
BiB_LifeCycle,core_yearly_rep,bdens300_
BiB_LifeCycle,core_yearly_rep,connind100_
BiB_LifeCycle,core_yearly_rep,connind300_
BiB_LifeCycle,core_yearly_rep,bus_lines_100_
BiB_LifeCycle,core_yearly_rep,bus_lines_300_
BiB_LifeCycle,core_yearly_rep,bus_lines_500_
BiB_LifeCycle,core_yearly_rep,bus_stops_100_
BiB_LifeCycle,core_yearly_rep,bus_stops_300_
BiB_LifeCycle,core_yearly_rep,bus_stops_500_
BiB_LifeCycle,core_yearly_rep,fdensity300_
BiB_LifeCycle,core_yearly_rep,frichness300_
BiB_LifeCycle,core_yearly_rep,landuseshan300_
BiB_LifeCycle,core_yearly_rep,walkability_mean_
BiB_LifeCycle,core_yearly_rep,agrgr_
BiB_LifeCycle,core_yearly_rep,airpt_
BiB_LifeCycle,core_yearly_rep,hdres_
BiB_LifeCycle,core_yearly_rep,indtr_
BiB_LifeCycle,core_yearly_rep,ldres_
BiB_LifeCycle,core_yearly_rep,natgr_
BiB_LifeCycle,core_yearly_rep,other_
BiB_LifeCycle,core_yearly_rep,port_
BiB_LifeCycle,core_yearly_rep,trans_
BiB_LifeCycle,core_yearly_rep,urbgr_
BiB_LifeCycle,core_yearly_rep,vldres_
BiB_LifeCycle,core_yearly_rep,water_
BiB_LifeCycle,core_yearly_rep,blue_dist_
BiB_LifeCycle,core_yearly_rep,green_dist_
BiB_LifeCycle,core_yearly_rep,blue_size_
BiB_LifeCycle,core_yearly_rep,green_size_
BiB_LifeCycle,core_yearly_rep,blueyn300_
BiB_LifeCycle,core_yearly_rep,greenyn300_
BiB_LifeCycle,core_yearly_rep,ndvi100_
BiB_LifeCycle,core_yearly_rep,ndvi300_
BiB_LifeCycle,core_yearly_rep,ndvi500_
BiB_LifeCycle,core_yearly_rep,lden_c_
BiB_LifeCycle,core_yearly_rep,ln_c_
BiB_LifeCycle,core_yearly_rep,areases_tert_
BiB_LifeCycle,core_yearly_rep,areases_quint_
BiB_LifeCycle,core_yearly_rep,distinvnear1_
BiB_LifeCycle,core_yearly_rep,trafload100_
BiB_LifeCycle,core_yearly_rep,trafmajorload100_
BiB_LifeCycle,core_yearly_rep,trafnear_
BiB_LifeCycle,core_yearly_rep,foodenvdens300_
BiB_LifeCycle,core_yearly_rep,tm_
BiB_LifeCycle,core_yearly_rep,tmin_
BiB_LifeCycle,core_yearly_rep,tmax_
BiB_LifeCycle,core_yearly_rep,hum_
BiB_LifeCycle,core_yearly_rep,uvddc_
BiB_LifeCycle,core_yearly_rep,uvdec_
BiB_LifeCycle,core_yearly_rep,uvdvc_
BiB_LifeCycle,core_yearly_rep,lst_
BiB_LifeCycle,core_yearly_rep,mdist_
BiB_LifeCycle,core_yearly_rep,ed_m_
BiB_LifeCycle,core_yearly_rep,an_m_
BiB_LifeCycle,core_yearly_rep,bn_m_
