variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_LifeCycle.outcome_ath_trimester_rep.BiBPersonID,BiB_LifeCycle.outcome_ath_trimester_rep,BiB_LifeCycle,outcome_ath_trimester_rep,BiBPersonID,Unique identifier number for the index child,text,,administration,33788,13858
BiB_LifeCycle.outcome_ath_trimester_rep.age_trimester,BiB_LifeCycle.outcome_ath_trimester_rep,BiB_LifeCycle,outcome_ath_trimester_rep,age_trimester,Age of the child in trimesters,integer,,age,33788,13858
BiB_LifeCycle.outcome_ath_trimester_rep.mother_id,BiB_LifeCycle.outcome_ath_trimester_rep,BiB_LifeCycle,outcome_ath_trimester_rep,mother_id,Unique identifier number for the mother,text,,administration,33788,13858
BiB_LifeCycle.outcome_ath_trimester_rep.ga_us_t,BiB_LifeCycle.outcome_ath_trimester_rep,BiB_LifeCycle,outcome_ath_trimester_rep,ga_us_t,Gestational age when ultrasound in X trimester was performed,integer,,,30385,13232
BiB_LifeCycle.outcome_ath_trimester_rep.fetus_biparietal_diam_t,BiB_LifeCycle.outcome_ath_trimester_rep,BiB_LifeCycle,outcome_ath_trimester_rep,fetus_biparietal_diam_t,Biparietal diameter of the fetus in X trimester,float,,anthropometry,14654,11163
BiB_LifeCycle.outcome_ath_trimester_rep.fetus_head_circum_t,BiB_LifeCycle.outcome_ath_trimester_rep,BiB_LifeCycle,outcome_ath_trimester_rep,fetus_head_circum_t,Circumference of the head of the fetus in X trimester,float,,anthropometry,18772,13105
BiB_LifeCycle.outcome_ath_trimester_rep.fetus_abd_circum_t,BiB_LifeCycle.outcome_ath_trimester_rep,BiB_LifeCycle,outcome_ath_trimester_rep,fetus_abd_circum_t,Abdominal circumference of the fetus in X trimester,float,,anthropometry,16120,11183
BiB_LifeCycle.outcome_ath_trimester_rep.fetus_femur_length_t,BiB_LifeCycle.outcome_ath_trimester_rep,BiB_LifeCycle,outcome_ath_trimester_rep,fetus_femur_length_t,Femur length of the fetus in X trimester,float,,anthropometry,19192,13103
BiB_LifeCycle.outcome_ath_trimester_rep.fetus_weight_t,BiB_LifeCycle.outcome_ath_trimester_rep,BiB_LifeCycle,outcome_ath_trimester_rep,fetus_weight_t,Estimated weight of the fetus in X trimester,float,,anthropometry,13805,9824
BiB_LifeCycle.outcome_ath_trimester_rep.biparietal_diam_sdsWHO_t,BiB_LifeCycle.outcome_ath_trimester_rep,BiB_LifeCycle,outcome_ath_trimester_rep,biparietal_diam_sdsWHO_t,Gestational age-adjusted biparietal diameter SDS  in X trimester based on overall WHO-based reference growth curves,float,,anthropometry,12394,10046
BiB_LifeCycle.outcome_ath_trimester_rep.head_circum_sdsWHO_t,BiB_LifeCycle.outcome_ath_trimester_rep,BiB_LifeCycle,outcome_ath_trimester_rep,head_circum_sdsWHO_t,Gestational age-adjusted head circumference SDS  in X trimester based on overall WHO-based reference growth curves,float,,anthropometry,16997,11709
BiB_LifeCycle.outcome_ath_trimester_rep.abd_circum_sdsWHO_t,BiB_LifeCycle.outcome_ath_trimester_rep,BiB_LifeCycle,outcome_ath_trimester_rep,abd_circum_sdsWHO_t,Gestational age-adjusted abdominal circumference SDS  in X trimester based on overall WHO-based reference growth curves,float,,anthropometry,14372,10004
BiB_LifeCycle.outcome_ath_trimester_rep.femur_length_sdsWHO_t,BiB_LifeCycle.outcome_ath_trimester_rep,BiB_LifeCycle,outcome_ath_trimester_rep,femur_length_sdsWHO_t,Gestational age-adjusted femur length SDS  in X trimester based on overall WHO-based reference growth curves,float,,anthropometry,17348,11708
BiB_LifeCycle.outcome_ath_trimester_rep.weight_sdsWHO_t,BiB_LifeCycle.outcome_ath_trimester_rep,BiB_LifeCycle,outcome_ath_trimester_rep,weight_sdsWHO_t,Gestational age- and sex- adjusted estimated fetal weight SDS  in X trimester based on overall WHO-based reference growth curves,float,,anthropometry,13795,9821
BiB_LifeCycle.outcome_ath_trimester_rep.biparietal_diam_sdsWHOEUR_t,BiB_LifeCycle.outcome_ath_trimester_rep,BiB_LifeCycle,outcome_ath_trimester_rep,biparietal_diam_sdsWHOEUR_t,Gestational age- and sex-adjusted biparietal diameter SDS  in X trimester based on European WHO-based reference growth curves,float,,anthropometry,12394,10046
BiB_LifeCycle.outcome_ath_trimester_rep.head_circum_sdsWHOEUR_t,BiB_LifeCycle.outcome_ath_trimester_rep,BiB_LifeCycle,outcome_ath_trimester_rep,head_circum_sdsWHOEUR_t,Gestational age- and sex-adjusted head circumference SDS  in X trimester based on European WHO-based reference growth curves,float,,anthropometry,16997,11709
BiB_LifeCycle.outcome_ath_trimester_rep.abd_circum_sdsWHOEUR_t,BiB_LifeCycle.outcome_ath_trimester_rep,BiB_LifeCycle,outcome_ath_trimester_rep,abd_circum_sdsWHOEUR_t,Gestational age- and sex-adjusted abdominal circumference SDS  in X trimester based on European WHO-based reference growth curves,float,,anthropometry,14372,10004
BiB_LifeCycle.outcome_ath_trimester_rep.femur_length_sdsWHOEUR_t,BiB_LifeCycle.outcome_ath_trimester_rep,BiB_LifeCycle,outcome_ath_trimester_rep,femur_length_sdsWHOEUR_t,Gestational age- and sex-adjusted femur length SDS  in X trimester based on European WHO-based reference growth curves,float,,anthropometry,17348,11708
