project,table,variable
BiB_LifeCycle,outcome_ath_trimester_rep,BiBPersonID
BiB_LifeCycle,outcome_ath_trimester_rep,age_trimester
BiB_LifeCycle,outcome_ath_trimester_rep,mother_id
BiB_LifeCycle,outcome_ath_trimester_rep,ga_us_t
BiB_LifeCycle,outcome_ath_trimester_rep,fetus_biparietal_diam_t
BiB_LifeCycle,outcome_ath_trimester_rep,fetus_head_circum_t
BiB_LifeCycle,outcome_ath_trimester_rep,fetus_abd_circum_t
BiB_LifeCycle,outcome_ath_trimester_rep,fetus_femur_length_t
BiB_LifeCycle,outcome_ath_trimester_rep,fetus_weight_t
BiB_LifeCycle,outcome_ath_trimester_rep,biparietal_diam_sdsWHO_t
BiB_LifeCycle,outcome_ath_trimester_rep,head_circum_sdsWHO_t
BiB_LifeCycle,outcome_ath_trimester_rep,abd_circum_sdsWHO_t
BiB_LifeCycle,outcome_ath_trimester_rep,femur_length_sdsWHO_t
BiB_LifeCycle,outcome_ath_trimester_rep,weight_sdsWHO_t
BiB_LifeCycle,outcome_ath_trimester_rep,biparietal_diam_sdsWHOEUR_t
BiB_LifeCycle,outcome_ath_trimester_rep,head_circum_sdsWHOEUR_t
BiB_LifeCycle,outcome_ath_trimester_rep,abd_circum_sdsWHOEUR_t
BiB_LifeCycle,outcome_ath_trimester_rep,femur_length_sdsWHOEUR_t
BiB_LifeCycle,outcome_ath_trimester_rep,weight_sdsWHOEUR_t
BiB_LifeCycle,outcome_ath_trimester_rep,pi_uma_t
