project,table,variable
BiB_LifeCycle,outcome_monthly_rep,BiBPersonID
BiB_LifeCycle,outcome_monthly_rep,age_years
BiB_LifeCycle,outcome_monthly_rep,age_months
BiB_LifeCycle,outcome_monthly_rep,heightmes_
BiB_LifeCycle,outcome_monthly_rep,weightmes_
BiB_LifeCycle,outcome_monthly_rep,headcirc_
BiB_LifeCycle,outcome_monthly_rep,headcircage_
BiB_LifeCycle,outcome_monthly_rep,headcircmes_
BiB_LifeCycle,outcome_monthly_rep,waistcirc_
BiB_LifeCycle,outcome_monthly_rep,waistcircage_
BiB_LifeCycle,outcome_monthly_rep,waistcircmes_
BiB_LifeCycle,outcome_monthly_rep,armcirc_
BiB_LifeCycle,outcome_monthly_rep,armcircage_
BiB_LifeCycle,outcome_monthly_rep,armcircmes_
BiB_LifeCycle,outcome_monthly_rep,dxafm_
BiB_LifeCycle,outcome_monthly_rep,dxafmage_
BiB_LifeCycle,outcome_monthly_rep,dxafmmes_
BiB_LifeCycle,outcome_monthly_rep,dxalm_
BiB_LifeCycle,outcome_monthly_rep,dxalmage_
BiB_LifeCycle,outcome_monthly_rep,dxalmmes_
BiB_LifeCycle,outcome_monthly_rep,bio_
BiB_LifeCycle,outcome_monthly_rep,bioage_
BiB_LifeCycle,outcome_monthly_rep,biomes_
BiB_LifeCycle,outcome_monthly_rep,subscapsf_
BiB_LifeCycle,outcome_monthly_rep,subscapsfage_
BiB_LifeCycle,outcome_monthly_rep,subscapsfmes_
BiB_LifeCycle,outcome_monthly_rep,tricepsf_
BiB_LifeCycle,outcome_monthly_rep,tricepsfage_
BiB_LifeCycle,outcome_monthly_rep,tricepsfmes_
BiB_LifeCycle,outcome_monthly_rep,haem_
BiB_LifeCycle,outcome_monthly_rep,haemage_
BiB_LifeCycle,outcome_monthly_rep,haemmes_
BiB_LifeCycle,outcome_monthly_rep,hba1c_
BiB_LifeCycle,outcome_monthly_rep,hba1cage_
BiB_LifeCycle,outcome_monthly_rep,hba1cmes_
BiB_LifeCycle,outcome_monthly_rep,chol_
BiB_LifeCycle,outcome_monthly_rep,cholage_
BiB_LifeCycle,outcome_monthly_rep,cholmes_
BiB_LifeCycle,outcome_monthly_rep,hdlc_
BiB_LifeCycle,outcome_monthly_rep,hdlcage_
BiB_LifeCycle,outcome_monthly_rep,hdlcmes_
BiB_LifeCycle,outcome_monthly_rep,ldlc_
BiB_LifeCycle,outcome_monthly_rep,ldlcage_
BiB_LifeCycle,outcome_monthly_rep,ldlcmes_
BiB_LifeCycle,outcome_monthly_rep,triglycerides_
BiB_LifeCycle,outcome_monthly_rep,triglyceridesage_
BiB_LifeCycle,outcome_monthly_rep,triglyceridesmes_
BiB_LifeCycle,outcome_monthly_rep,sbpav_
BiB_LifeCycle,outcome_monthly_rep,dbpav_
BiB_LifeCycle,outcome_monthly_rep,bpage_
