project,table,variable
BiB_LifeCycle,outcome_non_rep,BiBPersonID
BiB_LifeCycle,outcome_non_rep,adipo_cord
BiB_LifeCycle,outcome_non_rep,all_ever
BiB_LifeCycle,outcome_non_rep,allergy_any_m
BiB_LifeCycle,outcome_non_rep,allergy_food_m
BiB_LifeCycle,outcome_non_rep,allergy_inh_m
BiB_LifeCycle,outcome_non_rep,asthma_current_ISAAC
BiB_LifeCycle,outcome_non_rep,asthma_current_MeDALL
BiB_LifeCycle,outcome_non_rep,asthma_ever_CHICOS
BiB_LifeCycle,outcome_non_rep,asthma_ever_MeDALL
BiB_LifeCycle,outcome_non_rep,chol_cord
BiB_LifeCycle,outcome_non_rep,crp_cord
BiB_LifeCycle,outcome_non_rep,eczema_ever
BiB_LifeCycle,outcome_non_rep,eczema_m
BiB_LifeCycle,outcome_non_rep,food_all_ever
BiB_LifeCycle,outcome_non_rep,hdlc_cord
BiB_LifeCycle,outcome_non_rep,inh_all_ever
BiB_LifeCycle,outcome_non_rep,insulin_cord
BiB_LifeCycle,outcome_non_rep,ldlc_cord
BiB_LifeCycle,outcome_non_rep,leptin_cord
BiB_LifeCycle,outcome_non_rep,triglycerides_cord
BiB_LifeCycle,outcome_non_rep,urticaria
BiB_LifeCycle,outcome_non_rep,vldlc_cord
BiB_LifeCycle,outcome_non_rep,whe_ever
BiB_LifeCycle,outcome_non_rep,whe_ever2
BiB_LifeCycle,outcome_non_rep,whe_ever4
BiB_LifeCycle,outcome_non_rep,whe_ever5_10
