project,table,variable
BiB_LifeCycle,outcome_yearly_rep,BiBPersonID
BiB_LifeCycle,outcome_yearly_rep,age_years
BiB_LifeCycle,outcome_yearly_rep,whe_
BiB_LifeCycle,outcome_yearly_rep,asthma_
BiB_LifeCycle,outcome_yearly_rep,asthma_med_
BiB_LifeCycle,outcome_yearly_rep,URTI_
BiB_LifeCycle,outcome_yearly_rep,LRTI_
BiB_LifeCycle,outcome_yearly_rep,food_all_
BiB_LifeCycle,outcome_yearly_rep,inh_all_
BiB_LifeCycle,outcome_yearly_rep,all_
BiB_LifeCycle,outcome_yearly_rep,inh_all_sens_SPT_
BiB_LifeCycle,outcome_yearly_rep,eczema_
BiB_LifeCycle,outcome_yearly_rep,rash_
BiB_LifeCycle,outcome_yearly_rep,rash_loc_
BiB_LifeCycle,outcome_yearly_rep,int_raw_
BiB_LifeCycle,outcome_yearly_rep,int_age_
BiB_LifeCycle,outcome_yearly_rep,int_instr_
BiB_LifeCycle,outcome_yearly_rep,int_eval_
BiB_LifeCycle,outcome_yearly_rep,int_pro_
BiB_LifeCycle,outcome_yearly_rep,int_avg_
BiB_LifeCycle,outcome_yearly_rep,int_pc_
BiB_LifeCycle,outcome_yearly_rep,ext_raw_
BiB_LifeCycle,outcome_yearly_rep,ext_age_
BiB_LifeCycle,outcome_yearly_rep,ext_instr_
BiB_LifeCycle,outcome_yearly_rep,ext_eval_
BiB_LifeCycle,outcome_yearly_rep,ext_pro_
BiB_LifeCycle,outcome_yearly_rep,ext_avg_
BiB_LifeCycle,outcome_yearly_rep,ext_pc_
BiB_LifeCycle,outcome_yearly_rep,adhd_raw_
BiB_LifeCycle,outcome_yearly_rep,adhd_age_
BiB_LifeCycle,outcome_yearly_rep,adhd_instr_
BiB_LifeCycle,outcome_yearly_rep,adhd_eval_
BiB_LifeCycle,outcome_yearly_rep,adhd_pro_
BiB_LifeCycle,outcome_yearly_rep,adhd_avg_
BiB_LifeCycle,outcome_yearly_rep,adhd_pc_
BiB_LifeCycle,outcome_yearly_rep,adhdR_
BiB_LifeCycle,outcome_yearly_rep,adhdR_age_
BiB_LifeCycle,outcome_yearly_rep,adhdR_eval_
BiB_LifeCycle,outcome_yearly_rep,asdR_
BiB_LifeCycle,outcome_yearly_rep,asdR_age_
BiB_LifeCycle,outcome_yearly_rep,asdR_eval_
BiB_LifeCycle,outcome_yearly_rep,fm_raw_
BiB_LifeCycle,outcome_yearly_rep,fm_age_
BiB_LifeCycle,outcome_yearly_rep,fm_instr_
BiB_LifeCycle,outcome_yearly_rep,fm_eval_
BiB_LifeCycle,outcome_yearly_rep,fm_pro_
BiB_LifeCycle,outcome_yearly_rep,fm_avg_
BiB_LifeCycle,outcome_yearly_rep,fm_pc_
BiB_LifeCycle,outcome_yearly_rep,fm_std_
BiB_LifeCycle,outcome_yearly_rep,wm_raw_
BiB_LifeCycle,outcome_yearly_rep,wm_age_
BiB_LifeCycle,outcome_yearly_rep,wm_eval_
BiB_LifeCycle,outcome_yearly_rep,wm_pro_
BiB_LifeCycle,outcome_yearly_rep,wm_avg_
BiB_LifeCycle,outcome_yearly_rep,wm_pc_
BiB_LifeCycle,outcome_yearly_rep,wm_std_
BiB_LifeCycle,outcome_yearly_rep,lan_raw_
BiB_LifeCycle,outcome_yearly_rep,lan_age_
BiB_LifeCycle,outcome_yearly_rep,lan_instr_
BiB_LifeCycle,outcome_yearly_rep,lan_pro_
BiB_LifeCycle,outcome_yearly_rep,lan_avg_
BiB_LifeCycle,outcome_yearly_rep,lan_pc_
BiB_LifeCycle,outcome_yearly_rep,lan_std_
BiB_LifeCycle,outcome_yearly_rep,inh_all_sens_SPT_GRASS_mix_
BiB_LifeCycle,outcome_yearly_rep,inh_all_sens_SPT_CAT_
BiB_LifeCycle,outcome_yearly_rep,inh_all_sens_SPT_DOG_
BiB_LifeCycle,outcome_yearly_rep,inh_all_sens_SPT_HDM_mix_
BiB_LifeCycle,outcome_yearly_rep,inh_all_sens_SPT_HDM_derf_
BiB_LifeCycle,outcome_yearly_rep,inh_all_sens_SPT_HDM_derp_
