project,table,variable
BiB_LifeCycle,urban_ath_non_rep,BiBPersonID
BiB_LifeCycle,urban_ath_non_rep,urb_area_id
BiB_LifeCycle,urban_ath_non_rep,cohort_id
BiB_LifeCycle,urban_ath_non_rep,ath_no2_preg
BiB_LifeCycle,urban_ath_non_rep,ath_no2elp_preg
BiB_LifeCycle,urban_ath_non_rep,ath_nox_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm10cu_0
BiB_LifeCycle,urban_ath_non_rep,ath_pm10cu_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm10fe_0
BiB_LifeCycle,urban_ath_non_rep,ath_pm10fe_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm10k_0
BiB_LifeCycle,urban_ath_non_rep,ath_pm10k_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm10ni_0
BiB_LifeCycle,urban_ath_non_rep,ath_pm10ni_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm10_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm10s_0
BiB_LifeCycle,urban_ath_non_rep,ath_pm10s_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm10si_0
BiB_LifeCycle,urban_ath_non_rep,ath_pm10si_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm10v_0
BiB_LifeCycle,urban_ath_non_rep,ath_pm10v_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm10zn_0
BiB_LifeCycle,urban_ath_non_rep,ath_pm10zn_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm25cu_0
BiB_LifeCycle,urban_ath_non_rep,ath_pm25cu_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm25fe_0
BiB_LifeCycle,urban_ath_non_rep,ath_pm25fe_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm25k_0
BiB_LifeCycle,urban_ath_non_rep,ath_pm25k_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm25ni_0
BiB_LifeCycle,urban_ath_non_rep,ath_pm25ni_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm25_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm25s_0
BiB_LifeCycle,urban_ath_non_rep,ath_pm25s_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm25si_0
BiB_LifeCycle,urban_ath_non_rep,ath_pm25si_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm25v_0
BiB_LifeCycle,urban_ath_non_rep,ath_pm25v_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm25zn_0
BiB_LifeCycle,urban_ath_non_rep,ath_pm25zn_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm25abs_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pm25elp_preg
BiB_LifeCycle,urban_ath_non_rep,ath_pmcoarse_preg
