project,table,variable
BiB_LifeCycle,urban_ath_yearly_rep,BiBPersonID
BiB_LifeCycle,urban_ath_yearly_rep,age_years
BiB_LifeCycle,urban_ath_yearly_rep,urb_area_id
BiB_LifeCycle,urban_ath_yearly_rep,cohort_id
BiB_LifeCycle,urban_ath_yearly_rep,urb_deg_
BiB_LifeCycle,urban_ath_yearly_rep,ath_no2_
BiB_LifeCycle,urban_ath_yearly_rep,ath_no2elp_
BiB_LifeCycle,urban_ath_yearly_rep,ath_nox_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm10_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm25_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm25elp_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pmcoarse_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm25abs_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm25cu_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm25fe_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm25k_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm25ni_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm25s_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm25si_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm25v_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm25zn_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm10cu_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm10fe_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm10k_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm10ni_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm10s_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm10si_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm10v_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pm10zn_
BiB_LifeCycle,urban_ath_yearly_rep,ath_blue_dist_
BiB_LifeCycle,urban_ath_yearly_rep,ath_green_dist_
BiB_LifeCycle,urban_ath_yearly_rep,ath_green_size_
BiB_LifeCycle,urban_ath_yearly_rep,ath_blueyn300_
BiB_LifeCycle,urban_ath_yearly_rep,ath_greenyn300_
BiB_LifeCycle,urban_ath_yearly_rep,ath_ndvi100_mean_
BiB_LifeCycle,urban_ath_yearly_rep,ath_ndvi300_mean_
BiB_LifeCycle,urban_ath_yearly_rep,ath_ndvi500_mean_
BiB_LifeCycle,urban_ath_yearly_rep,ath_ndvi100_std_
BiB_LifeCycle,urban_ath_yearly_rep,ath_ndvi300_std_
BiB_LifeCycle,urban_ath_yearly_rep,ath_ndvi500_std_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pntv_
BiB_LifeCycle,urban_ath_yearly_rep,ath_pnv_
BiB_LifeCycle,urban_ath_yearly_rep,ath_ptc_
BiB_LifeCycle,urban_ath_yearly_rep,ath_popdens_
BiB_LifeCycle,urban_ath_yearly_rep,ath_bdens100_
BiB_LifeCycle,urban_ath_yearly_rep,ath_bdens300_
BiB_LifeCycle,urban_ath_yearly_rep,ath_connind100_
BiB_LifeCycle,urban_ath_yearly_rep,ath_connind300_
BiB_LifeCycle,urban_ath_yearly_rep,ath_lines_100_
BiB_LifeCycle,urban_ath_yearly_rep,ath_lines_300_
BiB_LifeCycle,urban_ath_yearly_rep,ath_lines_500_
BiB_LifeCycle,urban_ath_yearly_rep,ath_stops_100_
BiB_LifeCycle,urban_ath_yearly_rep,ath_stops_300_
BiB_LifeCycle,urban_ath_yearly_rep,ath_stops_500_
BiB_LifeCycle,urban_ath_yearly_rep,ath_fdensity300_
BiB_LifeCycle,urban_ath_yearly_rep,ath_frichness300_
BiB_LifeCycle,urban_ath_yearly_rep,ath_landuseshan300_
BiB_LifeCycle,urban_ath_yearly_rep,ath_walkability_mean_
BiB_LifeCycle,urban_ath_yearly_rep,ath_agrgr_
BiB_LifeCycle,urban_ath_yearly_rep,ath_airpt_
BiB_LifeCycle,urban_ath_yearly_rep,ath_hdres_
BiB_LifeCycle,urban_ath_yearly_rep,ath_indtr_
BiB_LifeCycle,urban_ath_yearly_rep,ath_ldres_
BiB_LifeCycle,urban_ath_yearly_rep,ath_natgr_
BiB_LifeCycle,urban_ath_yearly_rep,ath_other_
BiB_LifeCycle,urban_ath_yearly_rep,ath_port_
BiB_LifeCycle,urban_ath_yearly_rep,ath_trans_
BiB_LifeCycle,urban_ath_yearly_rep,ath_urbgr_
BiB_LifeCycle,urban_ath_yearly_rep,ath_vldres_
BiB_LifeCycle,urban_ath_yearly_rep,ath_water_
BiB_LifeCycle,urban_ath_yearly_rep,ath_areases_tert_
BiB_LifeCycle,urban_ath_yearly_rep,ath_areases_quint_
BiB_LifeCycle,urban_ath_yearly_rep,ath_distinvnear1_
BiB_LifeCycle,urban_ath_yearly_rep,ath_trafload100_
BiB_LifeCycle,urban_ath_yearly_rep,ath_trafmajorload100_
BiB_LifeCycle,urban_ath_yearly_rep,ath_trafnear_
BiB_LifeCycle,urban_ath_yearly_rep,ath_lden_c_
BiB_LifeCycle,urban_ath_yearly_rep,ath_ln_c_
BiB_LifeCycle,urban_ath_yearly_rep,ath_fefoodenv300_
BiB_LifeCycle,urban_ath_yearly_rep,ath_fealcohol300_
BiB_LifeCycle,urban_ath_yearly_rep,ath_febar300_
BiB_LifeCycle,urban_ath_yearly_rep,ath_febeverages300_
BiB_LifeCycle,urban_ath_yearly_rep,ath_febiergarten300_
BiB_LifeCycle,urban_ath_yearly_rep,ath_fecafe300_
BiB_LifeCycle,urban_ath_yearly_rep,ath_feconvenience300_
BiB_LifeCycle,urban_ath_yearly_rep,ath_fefastfood300_
BiB_LifeCycle,urban_ath_yearly_rep,ath_fepub300_
BiB_LifeCycle,urban_ath_yearly_rep,ath_ferestaurant300_
BiB_LifeCycle,urban_ath_yearly_rep,ath_fefoodenv800_
BiB_LifeCycle,urban_ath_yearly_rep,ath_fealcohol800_
BiB_LifeCycle,urban_ath_yearly_rep,ath_febar800_
