project,table,variable
BiB_Maternal_Measurements,maternal_measurements_research_data,BiBPersonID
BiB_Maternal_Measurements,maternal_measurements_research_data,BiBPregNumber
BiB_Maternal_Measurements,maternal_measurements_research_data,age_mths
BiB_Maternal_Measurements,maternal_measurements_research_data,age_yrs
BiB_Maternal_Measurements,maternal_measurements_research_data,height
BiB_Maternal_Measurements,maternal_measurements_research_data,date_height
BiB_Maternal_Measurements,maternal_measurements_research_data,weight
BiB_Maternal_Measurements,maternal_measurements_research_data,date_weight
BiB_Maternal_Measurements,maternal_measurements_research_data,source_weight
BiB_Maternal_Measurements,maternal_measurements_research_data,bmi
BiB_Maternal_Measurements,maternal_measurements_research_data,bmi_3cat
BiB_Maternal_Measurements,maternal_measurements_research_data,bmi_4cat
BiB_Maternal_Measurements,maternal_measurements_research_data,gestage_days
BiB_Maternal_Measurements,maternal_measurements_research_data,gestage_wks
BiB_Maternal_Measurements,maternal_measurements_research_data,preg_trimester
