variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_MeDALL.medall_greenspace.BiBPersonID,BiB_MeDALL.medall_greenspace,BiB_MeDALL,medall_greenspace,BiBPersonID,,text,,,821,815
BiB_MeDALL.medall_greenspace.BiBPregNumber,BiB_MeDALL.medall_greenspace,BiB_MeDALL,medall_greenspace,BiBPregNumber,,integer,,administration,821,815
BiB_MeDALL.medall_greenspace.has_medall_greenspace,BiB_MeDALL.medall_greenspace,BiB_MeDALL,medall_greenspace,has_medall_greenspace,Has medall green space questionnaire,integer,,administration,821,815
BiB_MeDALL.medall_greenspace.grnsp_atnursery,BiB_MeDALL.medall_greenspace,BiB_MeDALL,medall_greenspace,grnsp_atnursery,Does child go to nursery or child-minder?,categorical,[1 No] [2 Yes],neighbourhood,731,726
BiB_MeDALL.medall_greenspace.grnsp_atschool,BiB_MeDALL.medall_greenspace,BiB_MeDALL,medall_greenspace,grnsp_atschool,Does child attend school?,categorical,[1 No] [2 Yes],neighbourhood,817,811
BiB_MeDALL.medall_greenspace.grnsp_daysnursery,BiB_MeDALL.medall_greenspace,BiB_MeDALL,medall_greenspace,grnsp_daysnursery,number days spent at nursery,float,,neighbourhood,375,373
BiB_MeDALL.medall_greenspace.grnsp_gardenhome,BiB_MeDALL.medall_greenspace,BiB_MeDALL,medall_greenspace,grnsp_gardenhome,is there a garden or yard at home,integer,,neighbourhood,810,804
BiB_MeDALL.medall_greenspace.grnsp_hrsnursery,BiB_MeDALL.medall_greenspace,BiB_MeDALL,medall_greenspace,grnsp_hrsnursery,number hours per day spent at nursery,float,,neighbourhood,376,374
BiB_MeDALL.medall_greenspace.grnsp_nurserygreen,BiB_MeDALL.medall_greenspace,BiB_MeDALL,medall_greenspace,grnsp_nurserygreen,is there a green garden or yard at nursery?,categorical,[1 No] [2 Yes],neighbourhood,376,374
BiB_MeDALL.medall_greenspace.grnsp_questnotes,BiB_MeDALL.medall_greenspace,BiB_MeDALL,medall_greenspace,grnsp_questnotes,NOTES,text,,neighbourhood,821,815
BiB_MeDALL.medall_greenspace.grnsp_schoolname,BiB_MeDALL.medall_greenspace,BiB_MeDALL,medall_greenspace,grnsp_schoolname,Name of school,text,,neighbourhood,821,815
BiB_MeDALL.medall_greenspace.grnsp_summdaysweek,BiB_MeDALL.medall_greenspace,BiB_MeDALL,medall_greenspace,grnsp_summdaysweek,average week days per week spent in park in summer,float,,neighbourhood,821,815
BiB_MeDALL.medall_greenspace.grnsp_summdayswend,BiB_MeDALL.medall_greenspace,BiB_MeDALL,medall_greenspace,grnsp_summdayswend,average weekend days per week spent in park in summer,float,,neighbourhood,821,815
BiB_MeDALL.medall_greenspace.grnsp_summerfreqdays,BiB_MeDALL.medall_greenspace,BiB_MeDALL,medall_greenspace,grnsp_summerfreqdays,"if less than once a week, number of days in green space per week in summer",float,,neighbourhood,62,62
BiB_MeDALL.medall_greenspace.grnsp_summerfreqmins,BiB_MeDALL.medall_greenspace,BiB_MeDALL,medall_greenspace,grnsp_summerfreqmins,"if less than once a week, number of minutes in green space per day in summer",integer,,neighbourhood,59,59
BiB_MeDALL.medall_greenspace.grnsp_summerpark1adrss,BiB_MeDALL.medall_greenspace,BiB_MeDALL,medall_greenspace,grnsp_summerpark1adrss,address of summer park 1,text,,neighbourhood,821,815
BiB_MeDALL.medall_greenspace.grnsp_summerpark1name,BiB_MeDALL.medall_greenspace,BiB_MeDALL,medall_greenspace,grnsp_summerpark1name,name of summer park 1,text,,neighbourhood,821,815
BiB_MeDALL.medall_greenspace.grnsp_summerpark1urbrur,BiB_MeDALL.medall_greenspace,BiB_MeDALL,medall_greenspace,grnsp_summerpark1urbrur,is summer park 1 urban or rural,integer,,neighbourhood,793,788
BiB_MeDALL.medall_greenspace.grnsp_summerpark1use,BiB_MeDALL.medall_greenspace,BiB_MeDALL,medall_greenspace,grnsp_summerpark1use,summer park 1 used mainly weekday or weekend,integer,,neighbourhood,780,774
