project,table,variable
BiB_MeDALL,medall_greenspace,BiBPersonID
BiB_MeDALL,medall_greenspace,BiBPregNumber
BiB_MeDALL,medall_greenspace,has_medall_greenspace
BiB_MeDALL,medall_greenspace,grnsp_atnursery
BiB_MeDALL,medall_greenspace,grnsp_atschool
BiB_MeDALL,medall_greenspace,grnsp_daysnursery
BiB_MeDALL,medall_greenspace,grnsp_gardenhome
BiB_MeDALL,medall_greenspace,grnsp_hrsnursery
BiB_MeDALL,medall_greenspace,grnsp_nurserygreen
BiB_MeDALL,medall_greenspace,grnsp_questnotes
BiB_MeDALL,medall_greenspace,grnsp_schoolname
BiB_MeDALL,medall_greenspace,grnsp_summdaysweek
BiB_MeDALL,medall_greenspace,grnsp_summdayswend
BiB_MeDALL,medall_greenspace,grnsp_summerfreqdays
BiB_MeDALL,medall_greenspace,grnsp_summerfreqmins
BiB_MeDALL,medall_greenspace,grnsp_summerpark1adrss
BiB_MeDALL,medall_greenspace,grnsp_summerpark1name
BiB_MeDALL,medall_greenspace,grnsp_summerpark1urbrur
BiB_MeDALL,medall_greenspace,grnsp_summerpark1use
BiB_MeDALL,medall_greenspace,grnsp_summerpark2adrss
BiB_MeDALL,medall_greenspace,grnsp_summerpark2name
BiB_MeDALL,medall_greenspace,grnsp_summerpark2urbrur
BiB_MeDALL,medall_greenspace,grnsp_summerpark2use
BiB_MeDALL,medall_greenspace,grnsp_summgardweekdays
BiB_MeDALL,medall_greenspace,grnsp_summgardweekmins
BiB_MeDALL,medall_greenspace,grnsp_summgardwenddays
BiB_MeDALL,medall_greenspace,grnsp_summgardwendmins
BiB_MeDALL,medall_greenspace,grnsp_summminsweek
BiB_MeDALL,medall_greenspace,grnsp_summminswend
BiB_MeDALL,medall_greenspace,grnsp_wintdardlessdays
BiB_MeDALL,medall_greenspace,grnsp_wintdaysweek
BiB_MeDALL,medall_greenspace,grnsp_wintdayswend
BiB_MeDALL,medall_greenspace,grnsp_winterfreqdays
BiB_MeDALL,medall_greenspace,grnsp_winterfreqmins
BiB_MeDALL,medall_greenspace,grnsp_winterpark1adrss
BiB_MeDALL,medall_greenspace,grnsp_winterpark1name
BiB_MeDALL,medall_greenspace,grnsp_winterpark1urbrur
BiB_MeDALL,medall_greenspace,grnsp_winterpark1use
BiB_MeDALL,medall_greenspace,grnsp_winterpark2adrss
BiB_MeDALL,medall_greenspace,grnsp_winterpark2name
BiB_MeDALL,medall_greenspace,grnsp_winterpark2urbrur
BiB_MeDALL,medall_greenspace,grnsp_winterpark2use
BiB_MeDALL,medall_greenspace,grnsp_wintgardlessmins
BiB_MeDALL,medall_greenspace,grnsp_wintgardweekdays
BiB_MeDALL,medall_greenspace,grnsp_wintgardweekmins
BiB_MeDALL,medall_greenspace,grnsp_wintgardwenddays
BiB_MeDALL,medall_greenspace,grnsp_wintgardwendmins
BiB_MeDALL,medall_greenspace,grnsp_wintminsweek
BiB_MeDALL,medall_greenspace,grnsp_wintminswend
BiB_MeDALL,medall_greenspace,has_mgrnsp
