variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_MeDALL.medall_ndvi.BiBPersonID,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,BiBPersonID,,text,,,2451,2365
BiB_MeDALL.medall_ndvi.BiBPregNumber,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,BiBPregNumber,,integer,,administration,2451,2365
BiB_MeDALL.medall_ndvi.has_medall_ndvi,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,has_medall_ndvi,Has medall residential ndvi and green space,integer,,administration,2451,2365
BiB_MeDALL.medall_ndvi.agemm_mdndvi,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,agemm_mdndvi,Mother age (months): MeDALL residential NDVI and green space,integer,,age,2451,2365
BiB_MeDALL.medall_ndvi.agemy_mdndvi,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,agemy_mdndvi,Mother age (years): MeDALL residential NDVI and green space,integer,,age,2451,2365
BiB_MeDALL.medall_ndvi.has_mdndvi,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,has_mdndvi,Has: MeDALL residential NDVI and green space,categorical,[1 has],administration,2451,2365
BiB_MeDALL.medall_ndvi.mndvicb1lndvi,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvicb1lndvi,MeDALL address: Mean NDVI 100m,float,,neighbourhood,2451,2365
BiB_MeDALL.medall_ndvi.mndvicb2lndvi,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvicb2lndvi,MeDALL address: Mean NDVI 300m,float,,neighbourhood,2451,2365
BiB_MeDALL.medall_ndvi.mndvicb3lndvi,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvicb3lndvi,MeDALL address: Mean NDVI 500m,float,,neighbourhood,2451,2365
BiB_MeDALL.medall_ndvi.mndvidistamty,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvidistamty,MeDALL address: Distance to nearest green space: Amenity green space (m),float,,neighbourhood,2451,2365
BiB_MeDALL.medall_ndvi.mndvidistgrn,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvidistgrn,MeDALL address: Distance to nearest green space (m) - all categories,float,,neighbourhood,2451,2365
BiB_MeDALL.medall_ndvi.mndvidistpkgdn,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvidistpkgdn,MeDALL address: Distance to nearest green space: Parks and Gardens (m),float,,neighbourhood,2451,2365
BiB_MeDALL.medall_ndvi.mndvidistplygd,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvidistplygd,MeDALL address: Distance to nearest green space: Playgrounds (m),float,,neighbourhood,2451,2365
BiB_MeDALL.medall_ndvi.mndvidistsprt,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvidistsprt,MeDALL address: Distance to nearest green space: Outdoor Sports (m),float,,neighbourhood,2451,2365
BiB_MeDALL.medall_ndvi.mndvilocamty,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvilocamty,MeDALL address: Location of nearest green space: Amenity green space,text,,neighbourhood,2451,2365
BiB_MeDALL.medall_ndvi.mndvilocpkgdn,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvilocpkgdn,MeDALL address: Location of nearest green space: Parks and Gardens,text,,neighbourhood,2451,2365
BiB_MeDALL.medall_ndvi.mndvilocplygd,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvilocplygd,MeDALL address: Location of nearest green space: Playgrounds,text,,neighbourhood,2451,2365
BiB_MeDALL.medall_ndvi.mndvilocsprt,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvilocsprt,MeDALL address: Location of nearest green space: Outdoor Sports,text,,neighbourhood,2451,2365
BiB_MeDALL.medall_ndvi.mndvinameamty,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvinameamty,MeDALL address: Name of nearest green space: Amenity green space,text,,neighbourhood,2451,2365
BiB_MeDALL.medall_ndvi.mndvinamepkgdn,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvinamepkgdn,MeDALL address: Name of nearest green space: Parks and Gardens,text,,neighbourhood,2451,2365
BiB_MeDALL.medall_ndvi.mndvinameplygd,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvinameplygd,MeDALL address: Name of nearest green space: Playgrounds,text,,neighbourhood,2451,2365
BiB_MeDALL.medall_ndvi.mndvinamesprt,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvinamesprt,MeDALL address: Name of nearest green space: Outdoor Sports,text,,neighbourhood,2451,2365
BiB_MeDALL.medall_ndvi.mndvisizeamty,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvisizeamty,MeDALL address: Size of nearest green space: Amenity green space (hectares),float,,neighbourhood,2451,2365
BiB_MeDALL.medall_ndvi.mndvisizepkgdn,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvisizepkgdn,MeDALL address: Size of nearest green space: Parks and Gardens (hectares),float,,neighbourhood,2451,2365
BiB_MeDALL.medall_ndvi.mndvisizeplygd,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvisizeplygd,MeDALL address: Size of nearest green space: Playgrounds (hectares),float,,neighbourhood,2451,2365
BiB_MeDALL.medall_ndvi.mndvisizesprt,BiB_MeDALL.medall_ndvi,BiB_MeDALL,medall_ndvi,mndvisizesprt,MeDALL address: Size of nearest green space: Outdoor Sports (hectares),float,,neighbourhood,2451,2365
