project,table,variable
BiB_MeDALL,medall_ndvi,BiBPersonID
BiB_MeDALL,medall_ndvi,BiBPregNumber
BiB_MeDALL,medall_ndvi,has_medall_ndvi
BiB_MeDALL,medall_ndvi,agemm_mdndvi
BiB_MeDALL,medall_ndvi,agemy_mdndvi
BiB_MeDALL,medall_ndvi,has_mdndvi
BiB_MeDALL,medall_ndvi,mndvicb1lndvi
BiB_MeDALL,medall_ndvi,mndvicb2lndvi
BiB_MeDALL,medall_ndvi,mndvicb3lndvi
BiB_MeDALL,medall_ndvi,mndvidistamty
BiB_MeDALL,medall_ndvi,mndvidistgrn
BiB_MeDALL,medall_ndvi,mndvidistpkgdn
BiB_MeDALL,medall_ndvi,mndvidistplygd
BiB_MeDALL,medall_ndvi,mndvidistsprt
BiB_MeDALL,medall_ndvi,mndvilocamty
BiB_MeDALL,medall_ndvi,mndvilocpkgdn
BiB_MeDALL,medall_ndvi,mndvilocplygd
BiB_MeDALL,medall_ndvi,mndvilocsprt
BiB_MeDALL,medall_ndvi,mndvinameamty
BiB_MeDALL,medall_ndvi,mndvinamepkgdn
BiB_MeDALL,medall_ndvi,mndvinameplygd
BiB_MeDALL,medall_ndvi,mndvinamesprt
BiB_MeDALL,medall_ndvi,mndvisizeamty
BiB_MeDALL,medall_ndvi,mndvisizepkgdn
BiB_MeDALL,medall_ndvi,mndvisizeplygd
BiB_MeDALL,medall_ndvi,mndvisizesprt
