project,table,variable
BiB_MeDALL,medall_ngst,BiBPersonID
BiB_MeDALL,medall_ngst,has_medall_ngst
BiB_MeDALL,medall_ngst,PregnancyID
BiB_MeDALL,medall_ngst,FatherID
BiB_MeDALL,medall_ngst,agemm_mdngst
BiB_MeDALL,medall_ngst,agemy_mdngst
BiB_MeDALL,medall_ngst,has_mdngst
BiB_MeDALL,medall_ngst,ngst_alcoholIN2a
BiB_MeDALL,medall_ngst,ngst_alcohollevelIN2b
BiB_MeDALL,medall_ngst,ngst_attractNN4
BiB_MeDALL,medall_ngst,ngst_bbqAM8a
BiB_MeDALL,medall_ngst,ngst_binsAM2a
BiB_MeDALL,medall_ngst,ngst_binsqualAM2b
BiB_MeDALL,medall_ngst,ngst_cafeAM5a
BiB_MeDALL,medall_ngst,ngst_cafequalAM5b
BiB_MeDALL,medall_ngst,ngst_canalNA2d
BiB_MeDALL,medall_ngst,ngst_childUS4a
BiB_MeDALL,medall_ngst,ngst_childUS4b
BiB_MeDALL,medall_ngst,ngst_conseUS5a
BiB_MeDALL,medall_ngst,ngst_conseUS5b
BiB_MeDALL,medall_ngst,ngst_courtqualR3b
BiB_MeDALL,medall_ngst,ngst_courtR3a
BiB_MeDALL,medall_ngst,ngst_flowerNA7a
BiB_MeDALL,medall_ngst,ngst_flowerqualNA7b
BiB_MeDALL,medall_ngst,ngst_fountainNN1
BiB_MeDALL,medall_ngst,ngst_glassIN5a
BiB_MeDALL,medall_ngst,ngst_glasslevelIN5b
BiB_MeDALL,medall_ngst,ngst_gpitchqualR2b
BiB_MeDALL,medall_ngst,ngst_gpitchR2a
BiB_MeDALL,medall_ngst,ngst_graffitiIN4a
BiB_MeDALL,medall_ngst,ngst_graffitilevelIN4b
BiB_MeDALL,medall_ngst,ngst_greenspace
BiB_MeDALL,medall_ngst,ngst_gsheltAM7a
BiB_MeDALL,medall_ngst,ngst_gsheltqualAM7b
BiB_MeDALL,medall_ngst,ngst_historyNN3
BiB_MeDALL,medall_ngst,ngst_housevisSA3
BiB_MeDALL,medall_ngst,ngst_inforUS2a
BiB_MeDALL,medall_ngst,ngst_inforUS2b
BiB_MeDALL,medall_ngst,ngst_lakeNA2a
BiB_MeDALL,medall_ngst,ngst_lightsqualSA1b
BiB_MeDALL,medall_ngst,ngst_lightsSA1a
BiB_MeDALL,medall_ngst,ngst_litterIN1a
BiB_MeDALL,medall_ngst,ngst_litterlevelIN1b
BiB_MeDALL,medall_ngst,ngst_mroadAC2
BiB_MeDALL,medall_ngst,ngst_noiseIN8a
BiB_MeDALL,medall_ngst,ngst_noiselevelIN8b
BiB_MeDALL,medall_ngst,ngst_opspacqualR7
BiB_MeDALL,medall_ngst,ngst_opspacquanR6b
BiB_MeDALL,medall_ngst,ngst_opspacR6a
BiB_MeDALL,medall_ngst,ngst_parkcode
BiB_MeDALL,medall_ngst,ngst_pathsAC5a
BiB_MeDALL,medall_ngst,ngst_pathsqualAC6
BiB_MeDALL,medall_ngst,ngst_pathsquanAC5b
BiB_MeDALL,medall_ngst,ngst_picnicAM9a
BiB_MeDALL,medall_ngst,ngst_picnicqualAM9b
BiB_MeDALL,medall_ngst,ngst_plantNA8a
BiB_MeDALL,medall_ngst,ngst_plantqualNA8b
BiB_MeDALL,medall_ngst,ngst_playeR1a
