project,table,variable
BiB_MeDALL,medall_qd1,BiBPersonID
BiB_MeDALL,medall_qd1,has_medall_qd1
BiB_MeDALL,medall_qd1,has_medqst
BiB_MeDALL,medall_qd1,medd1hbrt
BiB_MeDALL,medall_qd1,medd1hfac
BiB_MeDALL,medall_qd1,medd1hfds
BiB_MeDALL,medall_qd1,medd1hfnt
BiB_MeDALL,medall_qd1,medd1hlcn
BiB_MeDALL,medall_qd1,medd1hlip
BiB_MeDALL,medall_qd1,medd1hmn
BiB_MeDALL,medall_qd1,medd1hoth
BiB_MeDALL,medall_qd1,medd1hqun
BiB_MeDALL,medall_qd1,medd1hras
BiB_MeDALL,medall_qd1,medd1hrds
BiB_MeDALL,medall_qd1,medd1hsr
BiB_MeDALL,medall_qd1,medd1hvom
BiB_MeDALL,medall_qd1,medd1hyr
