project,table,variable
BiB_MeDALL,medall_skinprick_qc,BiBPersonID
BiB_MeDALL,medall_skinprick_qc,has_medall_skinprick_qc
BiB_MeDALL,medall_skinprick_qc,has_medspc
BiB_MeDALL,medall_skinprick_qc,medspdblassessor
BiB_MeDALL,medall_skinprick_qc,medspdblatopy2mm
BiB_MeDALL,medall_skinprick_qc,medspdblatopy3mm
BiB_MeDALL,medall_skinprick_qc,medspdblbadnegcont
BiB_MeDALL,medall_skinprick_qc,medspdblbadposcont
BiB_MeDALL,medall_skinprick_qc,medspdblcat
BiB_MeDALL,medall_skinprick_qc,medspdbldog
BiB_MeDALL,medall_skinprick_qc,medspdblgrassmix
BiB_MeDALL,medall_skinprick_qc,medspdblmitedfarim2
BiB_MeDALL,medall_skinprick_qc,medspdblmitedpterm1
BiB_MeDALL,medall_skinprick_qc,medspdblnegcont
BiB_MeDALL,medall_skinprick_qc,medspdblposcont
