project,table,variable
BiB_MeDALL,medall_skinprick,BiBPersonID
BiB_MeDALL,medall_skinprick,has_medall_skinprick
BiB_MeDALL,medall_skinprick,agecm_medskp
BiB_MeDALL,medall_skinprick,agecy_medskp
BiB_MeDALL,medall_skinprick,has_medskp
BiB_MeDALL,medall_skinprick,medspassessor
BiB_MeDALL,medall_skinprick,medspatopy2mm
BiB_MeDALL,medall_skinprick,medspatopy3mm
BiB_MeDALL,medall_skinprick,medspbadnegcont
BiB_MeDALL,medall_skinprick,medspbadposcont
BiB_MeDALL,medall_skinprick,medspcat
BiB_MeDALL,medall_skinprick,medspdblcode
BiB_MeDALL,medall_skinprick,medspdog
BiB_MeDALL,medall_skinprick,medspgrassmix
BiB_MeDALL,medall_skinprick,medspmitedfarim2
BiB_MeDALL,medall_skinprick,medspmitedpterm1
BiB_MeDALL,medall_skinprick,medspnegcont
BiB_MeDALL,medall_skinprick,medspposcont
