variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Metabolomics.metms_2k_r.metm2r46259,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r46259,X - 21258 [raw],float,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_r.metm2r46294,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r46294,X - 21285 [raw],float,,metabolomics,1957,1957
BiB_Metabolomics.metms_2k_r.metm2r46295,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r46295,X - 21286 [raw],float,,metabolomics,1995,1995
BiB_Metabolomics.metms_2k_r.metm2r46316,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r46316,X - 21295 [raw],float,,metabolomics,1529,1529
BiB_Metabolomics.metms_2k_r.metm2r46356,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r46356,X - 21312 [raw],float,,metabolomics,1281,1281
BiB_Metabolomics.metms_2k_r.metm2r46363,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r46363,X - 21319 [raw],float,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_r.metm2r46384,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r46384,X - 21339 [raw],float,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_r.metm2r46387,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r46387,X - 21342 [raw],integer,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_r.metm2r46398,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r46398,X - 21353 [raw],float,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_r.metm2r46409,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r46409,X - 21364 [raw],float,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_r.metm2r46428,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r46428,X - 21383 [raw],float,,metabolomics,1968,1968
BiB_Metabolomics.metms_2k_r.metm2r46455,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r46455,X - 21410 [raw],float,,metabolomics,1694,1694
BiB_Metabolomics.metms_2k_r.metm2r46486,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r46486,X - 21441 [raw],float,,metabolomics,1900,1900
BiB_Metabolomics.metms_2k_r.metm2r46493,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r46493,X - 21448 [raw],float,,metabolomics,1993,1993
BiB_Metabolomics.metms_2k_r.metm2r46512,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r46512,X - 21467 [raw],float,,metabolomics,1996,1996
BiB_Metabolomics.metms_2k_r.metm2r46515,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r46515,X - 21470 [raw],float,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_r.metm2r47772,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r47772,X - 22508 [raw],float,,metabolomics,1169,1169
BiB_Metabolomics.metms_2k_r.metm2r47773,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r47773,X - 22509 [raw],float,,metabolomics,912,912
BiB_Metabolomics.metms_2k_r.metm2r47783,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r47783,X - 22519 [raw],float,,metabolomics,1976,1976
BiB_Metabolomics.metms_2k_r.metm2r47784,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r47784,X - 22520 [raw],float,,metabolomics,1466,1466
BiB_Metabolomics.metms_2k_r.metm2r48076,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r48076,X - 22771 [raw],float,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_r.metm2r48080,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r48080,X - 22775 [raw],float,,metabolomics,1877,1877
BiB_Metabolomics.metms_2k_r.metm2r48081,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r48081,X - 22776 [raw],float,,metabolomics,1983,1983
BiB_Metabolomics.metms_2k_r.metm2r48972,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r48972,X - 23276 [raw],float,,metabolomics,1884,1884
BiB_Metabolomics.metms_2k_r.metm2r49704,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r49704,X - 23314 [raw],float,,metabolomics,1734,1734
BiB_Metabolomics.metms_2k_r.metm2r49459,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r49459,X - 23583 [raw],float,,metabolomics,1578,1578
BiB_Metabolomics.metms_2k_r.metm2r49463,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r49463,X - 23587 [raw],float,,metabolomics,955,955
BiB_Metabolomics.metms_2k_r.metm2r49466,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r49466,X - 23590 [raw],float,,metabolomics,1954,1954
BiB_Metabolomics.metms_2k_r.metm2r49469,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r49469,X - 23593 [raw],float,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_r.metm2r49512,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r49512,X - 23636 [raw],integer,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_r.metm2r49515,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r49515,X - 23639 [raw],float,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_r.metm2r49521,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r49521,X - 23644 [raw],float,,metabolomics,1901,1901
BiB_Metabolomics.metms_2k_r.metm2r49536,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r49536,X - 23659 [raw],float,,metabolomics,1935,1935
BiB_Metabolomics.metms_2k_r.metm2r49542,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r49542,X - 23665 [raw],float,,metabolomics,1476,1476
BiB_Metabolomics.metms_2k_r.metm2r49543,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r49543,X - 23666 [raw],float,,metabolomics,1902,1902
BiB_Metabolomics.metms_2k_r.metm2r49557,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r49557,X - 23680 [raw],float,,metabolomics,1903,1903
BiB_Metabolomics.metms_2k_r.metm2r49637,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r49637,X - 23739 [raw],float,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_r.metm2r49679,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r49679,X - 23780 [raw],float,,metabolomics,1510,1510
BiB_Metabolomics.metms_2k_r.metm2r49681,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r49681,X - 23782 [raw],float,,metabolomics,1999,1999
BiB_Metabolomics.metms_2k_r.metm2r49688,BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,metm2r49688,X - 23787 [raw],float,,metabolomics,1444,1444
