project,table,variable
BiB_Metabolomics,metms_2k_r,metm2r46259
BiB_Metabolomics,metms_2k_r,metm2r46294
BiB_Metabolomics,metms_2k_r,metm2r46295
BiB_Metabolomics,metms_2k_r,metm2r46316
BiB_Metabolomics,metms_2k_r,metm2r46356
BiB_Metabolomics,metms_2k_r,metm2r46363
BiB_Metabolomics,metms_2k_r,metm2r46384
BiB_Metabolomics,metms_2k_r,metm2r46387
BiB_Metabolomics,metms_2k_r,metm2r46398
BiB_Metabolomics,metms_2k_r,metm2r46409
BiB_Metabolomics,metms_2k_r,metm2r46428
BiB_Metabolomics,metms_2k_r,metm2r46455
BiB_Metabolomics,metms_2k_r,metm2r46486
BiB_Metabolomics,metms_2k_r,metm2r46493
BiB_Metabolomics,metms_2k_r,metm2r46512
BiB_Metabolomics,metms_2k_r,metm2r46515
BiB_Metabolomics,metms_2k_r,metm2r47772
BiB_Metabolomics,metms_2k_r,metm2r47773
BiB_Metabolomics,metms_2k_r,metm2r47783
BiB_Metabolomics,metms_2k_r,metm2r47784
BiB_Metabolomics,metms_2k_r,metm2r48076
BiB_Metabolomics,metms_2k_r,metm2r48080
BiB_Metabolomics,metms_2k_r,metm2r48081
BiB_Metabolomics,metms_2k_r,metm2r48972
BiB_Metabolomics,metms_2k_r,metm2r49704
BiB_Metabolomics,metms_2k_r,metm2r49459
BiB_Metabolomics,metms_2k_r,metm2r49463
BiB_Metabolomics,metms_2k_r,metm2r49466
BiB_Metabolomics,metms_2k_r,metm2r49469
BiB_Metabolomics,metms_2k_r,metm2r49512
BiB_Metabolomics,metms_2k_r,metm2r49515
BiB_Metabolomics,metms_2k_r,metm2r49521
BiB_Metabolomics,metms_2k_r,metm2r49536
BiB_Metabolomics,metms_2k_r,metm2r49542
BiB_Metabolomics,metms_2k_r,metm2r49543
BiB_Metabolomics,metms_2k_r,metm2r49557
BiB_Metabolomics,metms_2k_r,metm2r49637
BiB_Metabolomics,metms_2k_r,metm2r49679
BiB_Metabolomics,metms_2k_r,metm2r49681
BiB_Metabolomics,metms_2k_r,metm2r49688
BiB_Metabolomics,metms_2k_r,metm2r49883
BiB_Metabolomics,metms_2k_r,metm2r52025
BiB_Metabolomics,metms_2k_r,metm2r52280
BiB_Metabolomics,metms_2k_r,metm2r52286
BiB_Metabolomics,metms_2k_r,metm2r52483
BiB_Metabolomics,metms_2k_r,metm2r52501
BiB_Metabolomics,metms_2k_r,metm2r52502
BiB_Metabolomics,metms_2k_r,metm2r52504
BiB_Metabolomics,metms_2k_r,metm2r52524
BiB_Metabolomics,metms_2k_r,metm2r52530
BiB_Metabolomics,metms_2k_r,metm2r52533
BiB_Metabolomics,metms_2k_r,metm2r52640
BiB_Metabolomics,metms_2k_r,metm2r52647
BiB_Metabolomics,metms_2k_r,metm2r52636
BiB_Metabolomics,metms_2k_r,metm2r52661
BiB_Metabolomics,metms_2k_r,metm2r52662
BiB_Metabolomics,metms_2k_r,metm2r52790
BiB_Metabolomics,metms_2k_r,metm2r52792
BiB_Metabolomics,metms_2k_r,metm2r52813
BiB_Metabolomics,metms_2k_r,metm2r52839
BiB_Metabolomics,metms_2k_r,metm2r52862
BiB_Metabolomics,metms_2k_r,metm2r52865
BiB_Metabolomics,metms_2k_r,metm2r52866
BiB_Metabolomics,metms_2k_r,metm2r52867
BiB_Metabolomics,metms_2k_r,metm2r52870
BiB_Metabolomics,metms_2k_r,metm2r52877
BiB_Metabolomics,metms_2k_r,metm2r52906
BiB_Metabolomics,metms_2k_r,metm2r52909
BiB_Metabolomics,metms_2k_r,metm2r53065
BiB_Metabolomics,metms_2k_r,metm2r53097
BiB_Metabolomics,metms_2k_r,metm2r53114
BiB_Metabolomics,metms_2k_r,metm2r53127
BiB_Metabolomics,metms_2k_r,metm2r53157
BiB_Metabolomics,metms_2k_r,metm2r53266
BiB_Metabolomics,metms_2k_r,metm2r53267
BiB_Metabolomics,metms_2k_r,metm2r54695
BiB_Metabolomics,metms_2k_r,metm2r54700
BiB_Metabolomics,metms_2k_r,metm2r54841
BiB_Metabolomics,metms_2k_r,metm2r54877
BiB_Metabolomics,metms_2k_r,metm2r57714
BiB_Metabolomics,metms_2k_r,metm2r57716
BiB_Metabolomics,metms_2k_r,metm2r57718
BiB_Metabolomics,metms_2k_r,metm2r57754
BiB_Metabolomics,metms_2k_r,metm2r62151
BiB_Metabolomics,metms_2k_r,metm2r62494
BiB_Metabolomics,metms_2k_r,metm2r62496
BiB_Metabolomics,metms_2k_r,metm2r62500
BiB_Metabolomics,metms_2k_r,metm2r62636
BiB_Metabolomics,metms_2k_r,metm2r62664
BiB_Metabolomics,metms_2k_r,metm2r62716
BiB_Metabolomics,metms_2k_r,metm2r62717
BiB_Metabolomics,metms_2k_r,metm2r62719
BiB_Metabolomics,metms_2k_r,metm2r62749
BiB_Metabolomics,metms_2k_r,metm2r62937
BiB_Metabolomics,metms_2k_r,metm2r62964
BiB_Metabolomics,metms_2k_r,metm2r63237
BiB_Metabolomics,metms_2k_r,metm2r63560
BiB_Metabolomics,metms_2k_r,metm2r63567
BiB_Metabolomics,metms_2k_r,metm2r63577
BiB_Metabolomics,metms_2k_r,metm2r63634
BiB_Metabolomics,metms_2k_r,metm2r46639
BiB_Metabolomics,metms_2k_r,metm2r47955
BiB_Metabolomics,metms_2k_r,metm2r47203
BiB_Metabolomics,metms_2k_r,metm2r47788
BiB_Metabolomics,metms_2k_r,metm2r47439
BiB_Metabolomics,metms_2k_r,metm2r47959
BiB_Metabolomics,metms_2k_r,metm2r47664
BiB_Metabolomics,metms_2k_r,metm2r47790
BiB_Metabolomics,metms_2k_r,metm2r47774
BiB_Metabolomics,metms_2k_r,metm2r47962
BiB_Metabolomics,metms_2k_r,metm2r46645
BiB_Metabolomics,metms_2k_r,metm2r47971
BiB_Metabolomics,metms_2k_r,metm2r46646
BiB_Metabolomics,metms_2k_r,metm2r47977
BiB_Metabolomics,metms_2k_r,metm2r46417
BiB_Metabolomics,metms_2k_r,metm2r46632
BiB_Metabolomics,metms_2k_r,metm2r46657
BiB_Metabolomics,metms_2k_r,metm2r46661
BiB_Metabolomics,metms_2k_r,metm2r46283
BiB_Metabolomics,metms_2k_r,metm2r46640
BiB_Metabolomics,metms_2k_r,metm2r46266
BiB_Metabolomics,metms_2k_r,metm2r46662
BiB_Metabolomics,metms_2k_r,metm2r46977
BiB_Metabolomics,metms_2k_r,metm2r46664
BiB_Metabolomics,metms_2k_r,metm2r47800
BiB_Metabolomics,metms_2k_r,metm2r46665
BiB_Metabolomics,metms_2k_r,metm2r46666
BiB_Metabolomics,metms_2k_r,metm2r46461
BiB_Metabolomics,metms_2k_r,metm2r47802
BiB_Metabolomics,metms_2k_r,metm2r47013
BiB_Metabolomics,metms_2k_r,metm2r46673
BiB_Metabolomics,metms_2k_r,metm2r47804
BiB_Metabolomics,metms_2k_r,metm2r47992
BiB_Metabolomics,metms_2k_r,metm2r46681
