variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Metabolomics.metms_2k_s.BiBPersonID,BiB_Metabolomics.metms_2k_s,BiB_Metabolomics,metms_2k_s,BiBPersonID,,text,,,2000,2000
BiB_Metabolomics.metms_2k_s.BiBPregNumber,BiB_Metabolomics.metms_2k_s,BiB_Metabolomics,metms_2k_s,BiBPregNumber,,integer,,administration,2000,2000
BiB_Metabolomics.metms_2k_s.has_metms_2k_s,BiB_Metabolomics.metms_2k_s,BiB_Metabolomics,metms_2k_s,has_metms_2k_s,Has ms metabolomics 2000 mothers scaled,integer,,administration,2000,2000
BiB_Metabolomics.metms_2k_s.metm2s38768,BiB_Metabolomics.metms_2k_s,BiB_Metabolomics,metms_2k_s,metm2s38768,(14 or 15)-methylpalmitate (a17:0 or i17:0) [scaled],float,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_s.metm2s38296,BiB_Metabolomics.metms_2k_s,BiB_Metabolomics,metms_2k_s,metm2s38296,(16 or 17)-methylstearate (a19:0 or i19:0) [scaled],float,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_s.metm2s63436,BiB_Metabolomics.metms_2k_s,BiB_Metabolomics,metms_2k_s,metm2s63436,(2 or 3)-decenoate (10:1n7 or n8) [scaled],float,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_s.metm2s62533,BiB_Metabolomics.metms_2k_s,BiB_Metabolomics,metms_2k_s,metm2s62533,"(2,4 or 2,5)-dimethylphenol sulfate [scaled]",float,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_s.metm2s57814,BiB_Metabolomics.metms_2k_s,BiB_Metabolomics,metms_2k_s,metm2s57814,(N(1) + N(8))-acetylspermidine [scaled],float,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_s.metm2s43264,BiB_Metabolomics.metms_2k_s,BiB_Metabolomics,metms_2k_s,metm2s43264,(R)-3-hydroxybutyrylcarnitine [scaled],float,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_s.metm2s52984,BiB_Metabolomics.metms_2k_s,BiB_Metabolomics,metms_2k_s,metm2s52984,(S)-3-hydroxybutyrylcarnitine [scaled],float,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_s.metm2s44621,BiB_Metabolomics.metms_2k_s,BiB_Metabolomics,metms_2k_s,metm2s44621,1-(1-enyl-oleoyl)-GPE (P-18:1)* [scaled],float,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_s.metm2s52689,BiB_Metabolomics.metms_2k_s,BiB_Metabolomics,metms_2k_s,metm2s52689,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)* [scaled],float,,metabolomics,2000,2000
BiB_Metabolomics.metms_2k_s.metm2s52673,BiB_Metabolomics.metms_2k_s,BiB_Metabolomics,metms_2k_s,metm2s52673,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)* [scaled],float,,metabolomics,2000,2000
