variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Metabolomics.metms_pairc_c.CompoundID,BiB_Metabolomics.metms_pairc_c,BiB_Metabolomics,metms_pairc_c,CompoundID,,integer,,,1168,1168
BiB_Metabolomics.metms_pairc_c.VariableNameRaw,BiB_Metabolomics.metms_pairc_c,BiB_Metabolomics,metms_pairc_c,VariableNameRaw,,text,,administration,1168,1168
BiB_Metabolomics.metms_pairc_c.VariableNameScaled,BiB_Metabolomics.metms_pairc_c,BiB_Metabolomics,metms_pairc_c,VariableNameScaled,,text,,administration,1168,1168
BiB_Metabolomics.metms_pairc_c.chem_id,BiB_Metabolomics.metms_pairc_c,BiB_Metabolomics,metms_pairc_c,chem_id,,integer,,administration,1168,1168
BiB_Metabolomics.metms_pairc_c.lib_id,BiB_Metabolomics.metms_pairc_c,BiB_Metabolomics,metms_pairc_c,lib_id,,integer,,administration,1168,1168
BiB_Metabolomics.metms_pairc_c.chro_lib_entry_id,BiB_Metabolomics.metms_pairc_c,BiB_Metabolomics,metms_pairc_c,chro_lib_entry_id,,integer,,administration,1168,1168
BiB_Metabolomics.metms_pairc_c.super_pathway,BiB_Metabolomics.metms_pairc_c,BiB_Metabolomics,metms_pairc_c,super_pathway,1.000000,categorical,[1 Amino Acid] [2 Carbohydrate] [3 Cofactors and Vitamins] [4 Energy] [5 Lipid] [6 Nucleotide] [7 Partially Characterized Molecules] [8 Peptide] [9 Xenobiotics],administration,939,939
BiB_Metabolomics.metms_pairc_c.sub_pathway,BiB_Metabolomics.metms_pairc_c,BiB_Metabolomics,metms_pairc_c,sub_pathway,1.000000,categorical,"[1 Acetylated Peptides] [2 Advanced Glycation End-product] [3 Alanine and Aspartate Metabolism] [4 Aminosugar Metabolism] [5 Androgenic Steroids] [6 Ascorbate and Aldarate Metabolism] [7 Bacterial/Fungal] [8 Benzoate Metabolism] [9 Carnitine Metabolism] [10 Ceramide PEs] [11 Ceramides] [12 Chemical] [13 Corticosteroids] [14 Creatine Metabolism] [15 Diacylglycerol] [16 Dihydroceramides] [17 Dihydrosphingomyelins] [18 Dipeptide] [19 Disaccharides and Oligosaccharides] [20 Drug - Analgesics, Anesthetics] [21 Drug - Antibiotic] [22 Drug - Cardiovascular] [23 Drug - Gastrointestinal] [24 Drug - Neurological] [25 Drug - Other] [26 Drug - Psychoactive] [27 Drug - Topical Agents] [28 Endocannabinoid] [29 Estrogenic Steroids] [30 Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)] [31 Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)] [32 Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)] [33 Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)] [34 Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)] [35 Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)] [36 Fatty Acid Metabolism (Acyl Carnitine, Short Chain)] [37 Fatty Acid Metabolism (Acyl Choline)] [38 Fatty Acid Metabolism (Acyl Glutamine)] [39 Fatty Acid Metabolism (Acyl Glycine)] [40 Fatty Acid Metabolism (also BCAA Metabolism)] [41 Fatty Acid, Amide] [42 Fatty Acid, Amino] [43 Fatty Acid, Branched] [44 Fatty Acid, Dicarboxylate] [45 Fatty Acid, Dihydroxy] [46 Fatty Acid, Monohydroxy] [47 Fibrinogen Cleavage Peptide] [48 Food Component/Plant] [49 Fructose, Mannose and Galactose Metabolism] [50 Gamma-glutamyl Amino Acid] [51 Glutamate Metabolism] [52 Glutathione Metabolism] [53 Glycerolipid Metabolism] [54 Glycine, Serine and Threonine Metabolism] [55 Glycolysis, Gluconeogenesis, and Pyruvate Metabolism] [56 Guanidino and Acetamido Metabolism] [57 Hemoglobin and Porphyrin Metabolism] [58 Hexosylceramides (HCER)] [59 Histidine Metabolism] [60 Inositol Metabolism] [61 Ketone Bodies] [62 Lactosylceramides (LCER)] [63 Leucine, Isoleucine and Valine Metabolism] [64 Long Chain Monounsaturated Fatty Acid] [65 Long Chain Polyunsaturated Fatty Acid (n3 and n6)] [66 Long Chain Saturated Fatty Acid] [67 Lysine Metabolism] [68 Lysophospholipid] [69 Lysoplasmalogen] [70 Medium Chain Fatty Acid] [71 Methionine, Cysteine, SAM and Taurine Metabolism] [72 Mevalonate Metabolism] [73 Monoacylglycerol] [74 Nicotinate and Nicotinamide Metabolism] [75 Oxidative Phosphorylation] [76 Pantothenate and CoA Metabolism] [77 Partially Characterized Molecules] [78 Pentose Metabolism] [79 Phenylalanine Metabolism] [80 Phosphatidylcholine (PC)] [81 Phosphatidylethanolamine (PE)] [82 Phosphatidylinositol (PI)] [83 Phosphatidylserine (PS)] [84 Phospholipid Metabolism] [85 Plasmalogen] [86 Polyamine Metabolism] [87 Polypeptide] [88 Pregnenolone Steroids] [89 Primary Bile Acid Metabolism] [90 Progestin Steroids] [91 Purine Metabolism, (Hypo)Xanthine/Inosine containing] [92 Purine Metabolism, Adenine containing] [93 Purine Metabolism, Guanine containing] [94 Pyrimidine Metabolism, Cytidine containing] [95 Pyrimidine Metabolism, Orotate containing] [96 Pyrimidine Metabolism, Thymine containing] [97 Pyrimidine Metabolism, Uracil containing] [98 Riboflavin Metabolism] [99 Secondary Bile Acid Metabolism] [100 Short Chain Fatty Acid] [101 Sphingolipid Synthesis] [102 Sphingomyelins] [103 Sphingosines] [104 Sterol] [105 TCA Cycle] [106 Tobacco Metabolite] [107 Tocopherol Metabolism] [108 Tryptophan Metabolism] [109 Tyrosine Metabolism] [110 Urea cycle; Arginine and Proline Metabolism] [111 Vitamin A Metabolism] [112 Vitamin B6 Metabolism] [113 Xanthine Metabolism]",administration,939,939
BiB_Metabolomics.metms_pairc_c.pathway_sortorder,BiB_Metabolomics.metms_pairc_c,BiB_Metabolomics,metms_pairc_c,pathway_sortorder,,integer,,administration,939,939
BiB_Metabolomics.metms_pairc_c.type,BiB_Metabolomics.metms_pairc_c,BiB_Metabolomics,metms_pairc_c,type,,text,,administration,1168,1168
