project,table,variable
BiB_Metabolomics,metms_pairm_c,CompoundID
BiB_Metabolomics,metms_pairm_c,VariableNameRaw
BiB_Metabolomics,metms_pairm_c,VariableNameScaled
BiB_Metabolomics,metms_pairm_c,chem_id
BiB_Metabolomics,metms_pairm_c,lib_id
BiB_Metabolomics,metms_pairm_c,chro_lib_entry_id
BiB_Metabolomics,metms_pairm_c,super_pathway
BiB_Metabolomics,metms_pairm_c,sub_pathway
BiB_Metabolomics,metms_pairm_c,pathway_sortorder
BiB_Metabolomics,metms_pairm_c,type
BiB_Metabolomics,metms_pairm_c,inchikey
BiB_Metabolomics,metms_pairm_c,smiles
BiB_Metabolomics,metms_pairm_c,chemical_name
BiB_Metabolomics,metms_pairm_c,plot_name
BiB_Metabolomics,metms_pairm_c,cas
BiB_Metabolomics,metms_pairm_c,chemspider
BiB_Metabolomics,metms_pairm_c,hmdb
BiB_Metabolomics,metms_pairm_c,kegg
BiB_Metabolomics,metms_pairm_c,pubchem
BiB_Metabolomics,metms_pairm_c,platform
