variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Metabolomics.metms_pairm_r.BiBPersonID,BiB_Metabolomics.metms_pairm_r,BiB_Metabolomics,metms_pairm_r,BiBPersonID,,text,,,1000,999
BiB_Metabolomics.metms_pairm_r.BiBPregNumber,BiB_Metabolomics.metms_pairm_r,BiB_Metabolomics,metms_pairm_r,BiBPregNumber,,integer,,administration,1000,999
BiB_Metabolomics.metms_pairm_r.has_metms_pairm_r,BiB_Metabolomics.metms_pairm_r,BiB_Metabolomics,metms_pairm_r,has_metms_pairm_r,Has ms metabolomics paired mother samples raw,integer,,administration,1000,999
BiB_Metabolomics.metms_pairm_r.metmsr42370,BiB_Metabolomics.metms_pairm_r,BiB_Metabolomics,metms_pairm_r,metmsr42370,S-1-pyrroline-5-carboxylate [raw],float,,metabolomics,967,966
BiB_Metabolomics.metms_pairm_r.metmsr485,BiB_Metabolomics.metms_pairm_r,BiB_Metabolomics,metms_pairm_r,metmsr485,spermidine [raw],float,,metabolomics,903,902
BiB_Metabolomics.metms_pairm_r.metmsr27665,BiB_Metabolomics.metms_pairm_r,BiB_Metabolomics,metms_pairm_r,metmsr27665,1-methylnicotinamide [raw],float,,metabolomics,1000,999
BiB_Metabolomics.metms_pairm_r.metmsr528,BiB_Metabolomics.metms_pairm_r,BiB_Metabolomics,metms_pairm_r,metmsr528,alpha-ketoglutarate [raw],float,,metabolomics,1000,999
BiB_Metabolomics.metms_pairm_r.metmsr1417,BiB_Metabolomics.metms_pairm_r,BiB_Metabolomics,metms_pairm_r,metmsr1417,kynurenate [raw],float,,metabolomics,1000,999
BiB_Metabolomics.metms_pairm_r.metmsr1549,BiB_Metabolomics.metms_pairm_r,BiB_Metabolomics,metms_pairm_r,metmsr1549,3-hydroxyisobutyrate [raw],float,,metabolomics,999,998
BiB_Metabolomics.metms_pairm_r.metmsr531,BiB_Metabolomics.metms_pairm_r,BiB_Metabolomics,metms_pairm_r,metmsr531,3-hydroxy-3-methylglutarate [raw],float,,metabolomics,990,989
BiB_Metabolomics.metms_pairm_r.metmsr1101,BiB_Metabolomics.metms_pairm_r,BiB_Metabolomics,metms_pairm_r,metmsr1101,homovanillate (HVA) [raw],float,,metabolomics,456,456
BiB_Metabolomics.metms_pairm_r.metmsr1414,BiB_Metabolomics.metms_pairm_r,BiB_Metabolomics,metms_pairm_r,metmsr1414,3-phosphoglycerate [raw],float,,metabolomics,999,998
BiB_Metabolomics.metms_pairm_r.metmsr22842,BiB_Metabolomics.metms_pairm_r,BiB_Metabolomics,metms_pairm_r,metmsr22842,cholate [raw],float,,metabolomics,960,959
BiB_Metabolomics.metms_pairm_r.metmsr541,BiB_Metabolomics.metms_pairm_r,BiB_Metabolomics,metms_pairm_r,metmsr541,4-hydroxyphenylacetate [raw],float,,metabolomics,303,303
