variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Metabolomics.metnmr_baby_d.BiBPersonID,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,BiBPersonID,,text,,,7890,7890
BiB_Metabolomics.metnmr_baby_d.BiBMotherID,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,BiBMotherID,BiB person identifier of child's mother,text,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.BiBPregNumber,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,BiBPregNumber,Cohort recruited pregnancy number,text,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.has_metnmr_baby,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,has_metnmr_baby,Has NMR metabolomics (baby),integer,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.metabolbibsampleid,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,metabolbibsampleid,NMR metabolomics sample ID,integer,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.sample_type,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,sample_type,Sample type for NMR metabolomics,text,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.sample_excluded,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,sample_excluded,Sample excluded from baby cord NMR metabolomics,text,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.qc_notes,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,qc_notes,NMR metabolomics QC note,text,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.qc_edta,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,qc_edta,QC tag: EDTA plasma,integer,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.qc_citrate,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,qc_citrate,QC tag: Citrate plasma,integer,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.qc_ethanol,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,qc_ethanol,QC tag: Ethanol,integer,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.qc_isoprop,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,qc_isoprop,QC tag: Isopropyl alcohol,integer,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.qc_methyl,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,qc_methyl,QC tag: N methyl 2 pyrrolidone,integer,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.qc_polysac,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,qc_polysac,QC tag: Polysaccharides,integer,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.qc_aminoc,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,qc_aminoc,QC tag: Aminocaproic acid,integer,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.qc_lowgluc,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,qc_lowgluc,QC tag: Low glucose,integer,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.qc_hilact,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,qc_hilact,QC tag: High lactate,integer,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.qc_hipyruv,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,qc_hipyruv,QC tag: High pyruvate,integer,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.qc_loglu_higlu,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,qc_loglu_higlu,QC tag: Low glutamine or high glutamate,integer,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.qc_gluco,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,qc_gluco,QC tag: Gluconolactone,integer,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.qc_diluted,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,qc_diluted,QC tag: Diluted sample,integer,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.qc_amino_sig,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,qc_amino_sig,QC tag: Unexpected amino acid signals,integer,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.qc_macromol,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,qc_macromol,QC tag: Unidentified macromolecules,integer,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.qc_smallmola,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,qc_smallmola,QC tag: Unidentified small molecule a,integer,,administration,7890,7890
BiB_Metabolomics.metnmr_baby_d.qc_smallmolb,BiB_Metabolomics.metnmr_baby_d,BiB_Metabolomics,metnmr_baby_d,qc_smallmolb,QC tag: Unidentified small molecule b,integer,,administration,7890,7890
