project,table,variable
BiB_Metabolomics,metnmr_baby_d,BiBPersonID
BiB_Metabolomics,metnmr_baby_d,BiBMotherID
BiB_Metabolomics,metnmr_baby_d,BiBPregNumber
BiB_Metabolomics,metnmr_baby_d,has_metnmr_baby
BiB_Metabolomics,metnmr_baby_d,metabolbibsampleid
BiB_Metabolomics,metnmr_baby_d,sample_type
BiB_Metabolomics,metnmr_baby_d,sample_excluded
BiB_Metabolomics,metnmr_baby_d,qc_notes
BiB_Metabolomics,metnmr_baby_d,qc_edta
BiB_Metabolomics,metnmr_baby_d,qc_citrate
BiB_Metabolomics,metnmr_baby_d,qc_ethanol
BiB_Metabolomics,metnmr_baby_d,qc_isoprop
BiB_Metabolomics,metnmr_baby_d,qc_methyl
BiB_Metabolomics,metnmr_baby_d,qc_polysac
BiB_Metabolomics,metnmr_baby_d,qc_aminoc
BiB_Metabolomics,metnmr_baby_d,qc_lowgluc
BiB_Metabolomics,metnmr_baby_d,qc_hilact
BiB_Metabolomics,metnmr_baby_d,qc_hipyruv
BiB_Metabolomics,metnmr_baby_d,qc_loglu_higlu
BiB_Metabolomics,metnmr_baby_d,qc_gluco
BiB_Metabolomics,metnmr_baby_d,qc_diluted
BiB_Metabolomics,metnmr_baby_d,qc_amino_sig
BiB_Metabolomics,metnmr_baby_d,qc_macromol
BiB_Metabolomics,metnmr_baby_d,qc_smallmola
BiB_Metabolomics,metnmr_baby_d,qc_smallmolb
BiB_Metabolomics,metnmr_baby_d,qc_smallmolc
BiB_Metabolomics,metnmr_baby_d,Total_C
BiB_Metabolomics,metnmr_baby_d,VLDL_C
BiB_Metabolomics,metnmr_baby_d,Remnant_C
BiB_Metabolomics,metnmr_baby_d,LDL_C
BiB_Metabolomics,metnmr_baby_d,HDL_C
BiB_Metabolomics,metnmr_baby_d,HDL2_C
BiB_Metabolomics,metnmr_baby_d,HDL3_C
BiB_Metabolomics,metnmr_baby_d,Esterified_C
BiB_Metabolomics,metnmr_baby_d,Free_C
BiB_Metabolomics,metnmr_baby_d,Total_TG
BiB_Metabolomics,metnmr_baby_d,VLDL_TG
BiB_Metabolomics,metnmr_baby_d,LDL_TG
BiB_Metabolomics,metnmr_baby_d,HDL_TG
BiB_Metabolomics,metnmr_baby_d,Phosphoglyc
BiB_Metabolomics,metnmr_baby_d,TG_by_PG
BiB_Metabolomics,metnmr_baby_d,Cholines
BiB_Metabolomics,metnmr_baby_d,Phosphatidylc
BiB_Metabolomics,metnmr_baby_d,Sphingomyelins
BiB_Metabolomics,metnmr_baby_d,ApoB
BiB_Metabolomics,metnmr_baby_d,ApoA1
BiB_Metabolomics,metnmr_baby_d,ApoB_by_ApoA1
BiB_Metabolomics,metnmr_baby_d,Total_FA
BiB_Metabolomics,metnmr_baby_d,Unsaturation
BiB_Metabolomics,metnmr_baby_d,Omega_3
BiB_Metabolomics,metnmr_baby_d,Omega_6
BiB_Metabolomics,metnmr_baby_d,PUFA
BiB_Metabolomics,metnmr_baby_d,MUFA
BiB_Metabolomics,metnmr_baby_d,SFA
BiB_Metabolomics,metnmr_baby_d,LA
BiB_Metabolomics,metnmr_baby_d,DHA
BiB_Metabolomics,metnmr_baby_d,Omega_3_pct
BiB_Metabolomics,metnmr_baby_d,Omega_6_pct
BiB_Metabolomics,metnmr_baby_d,PUFA_pct
