variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Metabolomics.metnmr_gu_child_results.M_LDL_P,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,M_LDL_P,Concentration of medium LDL particles,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.M_LDL_L,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,M_LDL_L,Total lipids in medium LDL,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.M_LDL_PL,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,M_LDL_PL,Phospholipids in medium LDL,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.M_LDL_C,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,M_LDL_C,Cholesterol in medium LDL,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.M_LDL_CE,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,M_LDL_CE,Cholesteryl esters in medium LDL,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.M_LDL_FC,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,M_LDL_FC,Free cholesterol in medium LDL,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.M_LDL_TG,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,M_LDL_TG,Triglycerides in medium LDL,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.S_LDL_P,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,S_LDL_P,Concentration of small LDL particles,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.S_LDL_L,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,S_LDL_L,Total lipids in small LDL,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.S_LDL_PL,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,S_LDL_PL,Phospholipids in small LDL,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.S_LDL_C,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,S_LDL_C,Cholesterol in small LDL,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.S_LDL_CE,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,S_LDL_CE,Cholesteryl esters in small LDL,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.S_LDL_FC,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,S_LDL_FC,Free cholesterol in small LDL,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.S_LDL_TG,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,S_LDL_TG,Triglycerides in small LDL,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.XL_HDL_P,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,XL_HDL_P,Concentration of very large HDL particles,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.XL_HDL_L,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,XL_HDL_L,Total lipids in very large HDL,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.XL_HDL_PL,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,XL_HDL_PL,Phospholipids in very large HDL,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.XL_HDL_C,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,XL_HDL_C,Cholesterol in very large HDL,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.XL_HDL_CE,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,XL_HDL_CE,Cholesteryl esters in very large HDL,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.XL_HDL_FC,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,XL_HDL_FC,Free cholesterol in very large HDL,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.XL_HDL_TG,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,XL_HDL_TG,Triglycerides in very large HDL,float,,,2510,2510
BiB_Metabolomics.metnmr_gu_child_results.L_HDL_P,BiB_Metabolomics.metnmr_gu_child_results,BiB_Metabolomics,metnmr_gu_child_results,L_HDL_P,Concentration of large HDL particles,float,,,2510,2510
