project,table,variable
BiB_Metabolomics,metnmr_gu_father_results,BiBPersonID
BiB_Metabolomics,metnmr_gu_father_results,Barcode
BiB_Metabolomics,metnmr_gu_father_results,ParticipantType
BiB_Metabolomics,metnmr_gu_father_results,AgeYearsAtCollection
BiB_Metabolomics,metnmr_gu_father_results,Total_C
BiB_Metabolomics,metnmr_gu_father_results,non_HDL_C
BiB_Metabolomics,metnmr_gu_father_results,Remnant_C
BiB_Metabolomics,metnmr_gu_father_results,VLDL_C
BiB_Metabolomics,metnmr_gu_father_results,Clinical_LDL_C
BiB_Metabolomics,metnmr_gu_father_results,LDL_C
BiB_Metabolomics,metnmr_gu_father_results,HDL_C
BiB_Metabolomics,metnmr_gu_father_results,Total_TG
BiB_Metabolomics,metnmr_gu_father_results,VLDL_TG
BiB_Metabolomics,metnmr_gu_father_results,LDL_TG
BiB_Metabolomics,metnmr_gu_father_results,HDL_TG
BiB_Metabolomics,metnmr_gu_father_results,Total_PL
BiB_Metabolomics,metnmr_gu_father_results,VLDL_PL
BiB_Metabolomics,metnmr_gu_father_results,LDL_PL
BiB_Metabolomics,metnmr_gu_father_results,HDL_PL
BiB_Metabolomics,metnmr_gu_father_results,Total_CE
BiB_Metabolomics,metnmr_gu_father_results,VLDL_CE
BiB_Metabolomics,metnmr_gu_father_results,LDL_CE
BiB_Metabolomics,metnmr_gu_father_results,HDL_CE
BiB_Metabolomics,metnmr_gu_father_results,Total_FC
BiB_Metabolomics,metnmr_gu_father_results,VLDL_FC
BiB_Metabolomics,metnmr_gu_father_results,LDL_FC
BiB_Metabolomics,metnmr_gu_father_results,HDL_FC
BiB_Metabolomics,metnmr_gu_father_results,Total_L
BiB_Metabolomics,metnmr_gu_father_results,VLDL_L
BiB_Metabolomics,metnmr_gu_father_results,LDL_L
BiB_Metabolomics,metnmr_gu_father_results,HDL_L
BiB_Metabolomics,metnmr_gu_father_results,Total_P
BiB_Metabolomics,metnmr_gu_father_results,VLDL_P
BiB_Metabolomics,metnmr_gu_father_results,LDL_P
BiB_Metabolomics,metnmr_gu_father_results,HDL_P
BiB_Metabolomics,metnmr_gu_father_results,VLDL_size
BiB_Metabolomics,metnmr_gu_father_results,LDL_size
BiB_Metabolomics,metnmr_gu_father_results,HDL_size
BiB_Metabolomics,metnmr_gu_father_results,Phosphoglyc
BiB_Metabolomics,metnmr_gu_father_results,TG_by_PG
BiB_Metabolomics,metnmr_gu_father_results,Cholines
BiB_Metabolomics,metnmr_gu_father_results,Phosphatidylc
BiB_Metabolomics,metnmr_gu_father_results,Sphingomyelins
BiB_Metabolomics,metnmr_gu_father_results,ApoB
BiB_Metabolomics,metnmr_gu_father_results,ApoA1
BiB_Metabolomics,metnmr_gu_father_results,ApoB_by_ApoA1
BiB_Metabolomics,metnmr_gu_father_results,Total_FA
BiB_Metabolomics,metnmr_gu_father_results,Unsaturation
BiB_Metabolomics,metnmr_gu_father_results,Omega_3
BiB_Metabolomics,metnmr_gu_father_results,Omega_6
BiB_Metabolomics,metnmr_gu_father_results,PUFA
BiB_Metabolomics,metnmr_gu_father_results,MUFA
BiB_Metabolomics,metnmr_gu_father_results,SFA
BiB_Metabolomics,metnmr_gu_father_results,LA
BiB_Metabolomics,metnmr_gu_father_results,DHA
BiB_Metabolomics,metnmr_gu_father_results,Omega_3_pct
BiB_Metabolomics,metnmr_gu_father_results,Omega_6_pct
BiB_Metabolomics,metnmr_gu_father_results,PUFA_pct
BiB_Metabolomics,metnmr_gu_father_results,MUFA_pct
BiB_Metabolomics,metnmr_gu_father_results,SFA_pct
BiB_Metabolomics,metnmr_gu_father_results,LA_pct
BiB_Metabolomics,metnmr_gu_father_results,DHA_pct
BiB_Metabolomics,metnmr_gu_father_results,PUFA_by_MUFA
BiB_Metabolomics,metnmr_gu_father_results,Omega_6_by_Omega_3
BiB_Metabolomics,metnmr_gu_father_results,Ala
BiB_Metabolomics,metnmr_gu_father_results,Gln
BiB_Metabolomics,metnmr_gu_father_results,Gly
BiB_Metabolomics,metnmr_gu_father_results,His
BiB_Metabolomics,metnmr_gu_father_results,Total_BCAA
BiB_Metabolomics,metnmr_gu_father_results,Ile
BiB_Metabolomics,metnmr_gu_father_results,Leu
BiB_Metabolomics,metnmr_gu_father_results,Val
BiB_Metabolomics,metnmr_gu_father_results,Phe
BiB_Metabolomics,metnmr_gu_father_results,Tyr
BiB_Metabolomics,metnmr_gu_father_results,Glucose
BiB_Metabolomics,metnmr_gu_father_results,Lactate
BiB_Metabolomics,metnmr_gu_father_results,Pyruvate
BiB_Metabolomics,metnmr_gu_father_results,Citrate
BiB_Metabolomics,metnmr_gu_father_results,Glycerol
BiB_Metabolomics,metnmr_gu_father_results,bOHbutyrate
BiB_Metabolomics,metnmr_gu_father_results,Acetate
BiB_Metabolomics,metnmr_gu_father_results,Acetoacetate
BiB_Metabolomics,metnmr_gu_father_results,Acetone
BiB_Metabolomics,metnmr_gu_father_results,Creatinine
BiB_Metabolomics,metnmr_gu_father_results,Albumin
BiB_Metabolomics,metnmr_gu_father_results,GlycA
BiB_Metabolomics,metnmr_gu_father_results,XXL_VLDL_P
BiB_Metabolomics,metnmr_gu_father_results,XXL_VLDL_L
BiB_Metabolomics,metnmr_gu_father_results,XXL_VLDL_PL
BiB_Metabolomics,metnmr_gu_father_results,XXL_VLDL_C
BiB_Metabolomics,metnmr_gu_father_results,XXL_VLDL_CE
BiB_Metabolomics,metnmr_gu_father_results,XXL_VLDL_FC
BiB_Metabolomics,metnmr_gu_father_results,XXL_VLDL_TG
BiB_Metabolomics,metnmr_gu_father_results,XL_VLDL_P
BiB_Metabolomics,metnmr_gu_father_results,XL_VLDL_L
BiB_Metabolomics,metnmr_gu_father_results,XL_VLDL_PL
BiB_Metabolomics,metnmr_gu_father_results,XL_VLDL_C
BiB_Metabolomics,metnmr_gu_father_results,XL_VLDL_CE
BiB_Metabolomics,metnmr_gu_father_results,XL_VLDL_FC
BiB_Metabolomics,metnmr_gu_father_results,XL_VLDL_TG
BiB_Metabolomics,metnmr_gu_father_results,L_VLDL_P
BiB_Metabolomics,metnmr_gu_father_results,L_VLDL_L
BiB_Metabolomics,metnmr_gu_father_results,L_VLDL_PL
BiB_Metabolomics,metnmr_gu_father_results,L_VLDL_C
BiB_Metabolomics,metnmr_gu_father_results,L_VLDL_CE
BiB_Metabolomics,metnmr_gu_father_results,L_VLDL_FC
BiB_Metabolomics,metnmr_gu_father_results,L_VLDL_TG
BiB_Metabolomics,metnmr_gu_father_results,M_VLDL_P
BiB_Metabolomics,metnmr_gu_father_results,M_VLDL_L
