project,table,variable
BiB_Metabolomics,metnmr_infant12_d,BiBPersonID
BiB_Metabolomics,metnmr_infant12_d,BiBMotherID
BiB_Metabolomics,metnmr_infant12_d,BiBPregNumber
BiB_Metabolomics,metnmr_infant12_d,has_metnmr_infant_12m
BiB_Metabolomics,metnmr_infant12_d,metabolbibsampleid
BiB_Metabolomics,metnmr_infant12_d,n_samples
BiB_Metabolomics,metnmr_infant12_d,sample_number
BiB_Metabolomics,metnmr_infant12_d,wave
BiB_Metabolomics,metnmr_infant12_d,age_in_days
BiB_Metabolomics,metnmr_infant12_d,sample_type
BiB_Metabolomics,metnmr_infant12_d,sample_excluded
BiB_Metabolomics,metnmr_infant12_d,qc_notes
BiB_Metabolomics,metnmr_infant12_d,qc_edta
BiB_Metabolomics,metnmr_infant12_d,qc_citrate
BiB_Metabolomics,metnmr_infant12_d,qc_ethanol
BiB_Metabolomics,metnmr_infant12_d,qc_isoprop
BiB_Metabolomics,metnmr_infant12_d,qc_methyl
BiB_Metabolomics,metnmr_infant12_d,qc_polysac
BiB_Metabolomics,metnmr_infant12_d,qc_aminoc
BiB_Metabolomics,metnmr_infant12_d,qc_lowgluc
BiB_Metabolomics,metnmr_infant12_d,qc_hilact
BiB_Metabolomics,metnmr_infant12_d,qc_hipyruv
BiB_Metabolomics,metnmr_infant12_d,qc_loglu_higlu
BiB_Metabolomics,metnmr_infant12_d,qc_gluco
BiB_Metabolomics,metnmr_infant12_d,qc_diluted
BiB_Metabolomics,metnmr_infant12_d,qc_amino_sig
BiB_Metabolomics,metnmr_infant12_d,qc_macromol
BiB_Metabolomics,metnmr_infant12_d,qc_smallmola
BiB_Metabolomics,metnmr_infant12_d,qc_smallmolb
BiB_Metabolomics,metnmr_infant12_d,qc_smallmolc
BiB_Metabolomics,metnmr_infant12_d,Total_C
BiB_Metabolomics,metnmr_infant12_d,VLDL_C
BiB_Metabolomics,metnmr_infant12_d,Remnant_C
BiB_Metabolomics,metnmr_infant12_d,LDL_C
BiB_Metabolomics,metnmr_infant12_d,HDL_C
BiB_Metabolomics,metnmr_infant12_d,HDL2_C
BiB_Metabolomics,metnmr_infant12_d,HDL3_C
BiB_Metabolomics,metnmr_infant12_d,Esterified_C
BiB_Metabolomics,metnmr_infant12_d,Free_C
BiB_Metabolomics,metnmr_infant12_d,Total_TG
BiB_Metabolomics,metnmr_infant12_d,VLDL_TG
BiB_Metabolomics,metnmr_infant12_d,LDL_TG
BiB_Metabolomics,metnmr_infant12_d,HDL_TG
BiB_Metabolomics,metnmr_infant12_d,Phosphoglyc
BiB_Metabolomics,metnmr_infant12_d,TG_by_PG
BiB_Metabolomics,metnmr_infant12_d,Cholines
BiB_Metabolomics,metnmr_infant12_d,Phosphatidylc
BiB_Metabolomics,metnmr_infant12_d,Sphingomyelins
BiB_Metabolomics,metnmr_infant12_d,ApoB
BiB_Metabolomics,metnmr_infant12_d,ApoA1
BiB_Metabolomics,metnmr_infant12_d,ApoB_by_ApoA1
BiB_Metabolomics,metnmr_infant12_d,Total_FA
BiB_Metabolomics,metnmr_infant12_d,Unsaturation
BiB_Metabolomics,metnmr_infant12_d,Omega_3
BiB_Metabolomics,metnmr_infant12_d,Omega_6
BiB_Metabolomics,metnmr_infant12_d,PUFA
BiB_Metabolomics,metnmr_infant12_d,MUFA
BiB_Metabolomics,metnmr_infant12_d,SFA
