project,table,variable
BiB_Metabolomics,metnmr_mother_d,BiBPersonID
BiB_Metabolomics,metnmr_mother_d,BiBPregNumber
BiB_Metabolomics,metnmr_mother_d,has_metnmr_mother
BiB_Metabolomics,metnmr_mother_d,metabolsampgestage
BiB_Metabolomics,metnmr_mother_d,metabolbibsampleid
BiB_Metabolomics,metnmr_mother_d,box_id
BiB_Metabolomics,metnmr_mother_d,sample_type
BiB_Metabolomics,metnmr_mother_d,nmr_spectrometer
BiB_Metabolomics,metnmr_mother_d,sample_prep_date
BiB_Metabolomics,metnmr_mother_d,buffer_id
BiB_Metabolomics,metnmr_mother_d,lipo_lmwm_repeats
BiB_Metabolomics,metnmr_mother_d,linewidth
BiB_Metabolomics,metnmr_mother_d,qc_pass
BiB_Metabolomics,metnmr_mother_d,qc_comment
BiB_Metabolomics,metnmr_mother_d,tag_low_glucose
BiB_Metabolomics,metnmr_mother_d,tag_high_pyruvate
BiB_Metabolomics,metnmr_mother_d,tag_high_lactate
BiB_Metabolomics,metnmr_mother_d,tag_low_protein_content
BiB_Metabolomics,metnmr_mother_d,tag_plasma_sample
BiB_Metabolomics,metnmr_mother_d,XXL_VLDL_P
BiB_Metabolomics,metnmr_mother_d,XXL_VLDL_L
BiB_Metabolomics,metnmr_mother_d,XXL_VLDL_PL
BiB_Metabolomics,metnmr_mother_d,XXL_VLDL_C
BiB_Metabolomics,metnmr_mother_d,XXL_VLDL_CE
BiB_Metabolomics,metnmr_mother_d,XXL_VLDL_FC
BiB_Metabolomics,metnmr_mother_d,XXL_VLDL_TG
BiB_Metabolomics,metnmr_mother_d,XL_VLDL_P
BiB_Metabolomics,metnmr_mother_d,XL_VLDL_L
BiB_Metabolomics,metnmr_mother_d,XL_VLDL_PL
BiB_Metabolomics,metnmr_mother_d,XL_VLDL_C
BiB_Metabolomics,metnmr_mother_d,XL_VLDL_CE
BiB_Metabolomics,metnmr_mother_d,XL_VLDL_FC
BiB_Metabolomics,metnmr_mother_d,XL_VLDL_TG
BiB_Metabolomics,metnmr_mother_d,L_VLDL_P
