variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Pregnancy.eclipse_baby.BiBPersonID,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,BiBPersonID,,text,,,13525,13525
BiB_Pregnancy.eclipse_baby.has_eclipse_baby,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,has_eclipse_baby,Has eclipse neonatal record,integer,,administration,13525,13525
BiB_Pregnancy.eclipse_baby.eclabdcirc,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,eclabdcirc,Abdominal circumference (cm),float,,anthropometry,11686,11686
BiB_Pregnancy.eclipse_baby.eclapgar1m,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,eclapgar1m,APGAR at 1 minute,integer,,general_health,13285,13285
BiB_Pregnancy.eclipse_baby.eclapgar5m,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,eclapgar5m,APGAR at 5 minutes,integer,,general_health,13272,13272
BiB_Pregnancy.eclipse_baby.eclbabysex,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,eclbabysex,Sex of baby,categorical,[1 Male] [2 Female],gender,13525,13525
BiB_Pregnancy.eclipse_baby.eclbirthwt,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,eclbirthwt,Birth weight (g),integer,,anthropometry,13524,13524
BiB_Pregnancy.eclipse_baby.eclbrtasst,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,eclbrtasst,Assistance during birth,categorical,[1 None] [2 Forceps] [3 Ventouse] [4 Forceps and ventouse],childbirth,13515,13515
BiB_Pregnancy.eclipse_baby.eclbrthocm,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,eclbrthocm,Outcome of birth,categorical,[1 Livebirth] [2 Stillbirth],infant_mortality,13525,13525
BiB_Pregnancy.eclipse_baby.eclbrthord,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,eclbrthord,Birth order,integer,,childbirth,13525,13525
BiB_Pregnancy.eclipse_baby.eclbrtpres,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,eclbrtpres,Presentation at birth,categorical,[1 Cephalic] [2 Cephalic brow] [3 Cephalic face] [4 Cephalic vertex] [5 Breech] [6 Breech extended] [7 Breech flexed] [8 Breech footling] [9 Breech frank] [10 Breech dorso-anterior] [11 Breech complete] [12 Compound] [13 Oblique] [14 Transverse] [15 Unknown],childbirth,13525,13525
BiB_Pregnancy.eclipse_baby.eclheadcir,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,eclheadcir,Head circumference (cm),float,,anthropometry,12372,12372
BiB_Pregnancy.eclipse_baby.ecllgaukwho,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,ecllgaukwho,Large for gestational age (>90th centile),categorical,[1 No] [2 Yes],anthropometry,13194,13194
BiB_Pregnancy.eclipse_baby.eclmidarmc,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,eclmidarmc,Mid-arm circumference (cm),float,,anthropometry,11668,11668
BiB_Pregnancy.eclipse_baby.eclrtbirth,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,eclrtbirth,Route of birth,categorical,[1 Vaginal] [2 Caesarean],childbirth,13525,13525
BiB_Pregnancy.eclipse_baby.eclrupbrth,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,eclrupbrth,Time from membrane rupture to birth,text,,childbirth,13525,13525
BiB_Pregnancy.eclipse_baby.eclsdystoc,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,eclsdystoc,Shoulder dystocia,categorical,[1 No] [2 Yes],childbirth,12419,12419
BiB_Pregnancy.eclipse_baby.eclsgaukwho,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,eclsgaukwho,Small for gestational age (<10th centile),categorical,[1 No] [2 Yes],anthropometry,13194,13194
BiB_Pregnancy.eclipse_baby.eclsubscap,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,eclsubscap,Subscapular skinfold thickness (cm),float,,anthropometry,9230,9230
BiB_Pregnancy.eclipse_baby.ecltmpbrth,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,ecltmpbrth,Temperature at birth,float,,childbirth,11632,11632
BiB_Pregnancy.eclipse_baby.ecltriceps,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,ecltriceps,Triceps skinfold thickness (cm),float,,anthropometry,9257,9257
BiB_Pregnancy.eclipse_baby.eclvitk1st,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,eclvitk1st,Vitamin K first dose,text,,medications,13525,13525
BiB_Pregnancy.eclipse_baby.eclvitkcon,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,eclvitkcon,Vitamin K consent,categorical,[1 Not indicated] [2 Consent declined] [3 Consent obtained] [4 Given with consent] [5 Given without consent in an emergency] [6 Offer being considered],medications,13348,13348
BiB_Pregnancy.eclipse_baby.flgabdcirc,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,flgabdcirc,Abdominal circ. flag,categorical,[1 Value checked and is correct] [2 Value was incorrect and has been changed] [3 Value cannot be verified] [4 Value not checked],administration,11689,11689
BiB_Pregnancy.eclipse_baby.flgbirthwt,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,flgbirthwt,Birth weight flag,categorical,[1 Value checked and is correct] [2 Value was incorrect and has been changed] [3 Value cannot be verified] [4 Value not checked],administration,50,50
BiB_Pregnancy.eclipse_baby.flgheadcir,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,flgheadcir,Head circ. flag,categorical,[1 Value checked and is correct] [2 Value was incorrect and has been changed] [3 Value cannot be verified] [4 Value not checked],administration,129,129
BiB_Pregnancy.eclipse_baby.flgmidarmc,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,flgmidarmc,Midarm circ. flag,categorical,[1 Value checked and is correct] [2 Value was incorrect and has been changed] [3 Value cannot be verified] [4 Value not checked],administration,149,149
BiB_Pregnancy.eclipse_baby.flgsubscap,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,flgsubscap,Subscap. skinfold thickness flag,categorical,[1 Value checked and is correct] [2 Value was incorrect and has been changed] [3 Value cannot be verified] [4 Value not checked],administration,86,86
BiB_Pregnancy.eclipse_baby.flgtricep,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,flgtricep,Tricep skinfold thickness flag,categorical,[1 Value checked and is correct] [2 Value was incorrect and has been changed] [3 Value cannot be verified] [4 Value not checked],administration,67,67
BiB_Pregnancy.eclipse_baby.has_eclbby,BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,has_eclbby,Has eClipse baby data,categorical,[1 has],administration,13525,13525
