project,table,variable
BiB_Pregnancy,eclipse_baby,BiBPersonID
BiB_Pregnancy,eclipse_baby,has_eclipse_baby
BiB_Pregnancy,eclipse_baby,eclabdcirc
BiB_Pregnancy,eclipse_baby,eclapgar1m
BiB_Pregnancy,eclipse_baby,eclapgar5m
BiB_Pregnancy,eclipse_baby,eclbabysex
BiB_Pregnancy,eclipse_baby,eclbirthwt
BiB_Pregnancy,eclipse_baby,eclbrtasst
BiB_Pregnancy,eclipse_baby,eclbrthocm
BiB_Pregnancy,eclipse_baby,eclbrthord
BiB_Pregnancy,eclipse_baby,eclbrtpres
BiB_Pregnancy,eclipse_baby,eclheadcir
BiB_Pregnancy,eclipse_baby,ecllgaukwho
BiB_Pregnancy,eclipse_baby,eclmidarmc
BiB_Pregnancy,eclipse_baby,eclrtbirth
BiB_Pregnancy,eclipse_baby,eclrupbrth
BiB_Pregnancy,eclipse_baby,eclsdystoc
BiB_Pregnancy,eclipse_baby,eclsgaukwho
BiB_Pregnancy,eclipse_baby,eclsubscap
BiB_Pregnancy,eclipse_baby,ecltmpbrth
BiB_Pregnancy,eclipse_baby,ecltriceps
BiB_Pregnancy,eclipse_baby,eclvitk1st
BiB_Pregnancy,eclipse_baby,eclvitkcon
BiB_Pregnancy,eclipse_baby,flgabdcirc
BiB_Pregnancy,eclipse_baby,flgbirthwt
BiB_Pregnancy,eclipse_baby,flgheadcir
BiB_Pregnancy,eclipse_baby,flgmidarmc
BiB_Pregnancy,eclipse_baby,flgsubscap
BiB_Pregnancy,eclipse_baby,flgtricep
BiB_Pregnancy,eclipse_baby,has_eclbby
