project,table,variable
BiB_Pregnancy,eclipse_preg,BiBPersonID
BiB_Pregnancy,eclipse_preg,BiBPregNumber
BiB_Pregnancy,eclipse_preg,has_eclipse_preg
BiB_Pregnancy,eclipse_preg,bkfcomplet
BiB_Pregnancy,eclipse_preg,bkfdiabete
BiB_Pregnancy,eclipse_preg,bkfhyperex
BiB_Pregnancy,eclipse_preg,bkfhyperlb
BiB_Pregnancy,eclipse_preg,bkfhyperpi
BiB_Pregnancy,eclipse_preg,bkfmumbkwt
BiB_Pregnancy,eclipse_preg,bkfpreeclm
BiB_Pregnancy,eclipse_preg,drvgesbook
BiB_Pregnancy,eclipse_preg,drvgesdiab
BiB_Pregnancy,eclipse_preg,drvgesdind
BiB_Pregnancy,eclipse_preg,ecldbp28wk
BiB_Pregnancy,eclipse_preg,ecldbp36wk
BiB_Pregnancy,eclipse_preg,ecldbpbook
BiB_Pregnancy,eclipse_preg,eclgestday
BiB_Pregnancy,eclipse_preg,eclgestwds
BiB_Pregnancy,eclipse_preg,eclgestwks
BiB_Pregnancy,eclipse_preg,ecllgthlab
BiB_Pregnancy,eclipse_preg,eclnregbrt
BiB_Pregnancy,eclipse_preg,eclonstlab
BiB_Pregnancy,eclipse_preg,eclpertear
BiB_Pregnancy,eclipse_preg,eclregpart
BiB_Pregnancy,eclipse_preg,eclsbp28wk
BiB_Pregnancy,eclipse_preg,eclsbp36wk
BiB_Pregnancy,eclipse_preg,eclsbpbook
BiB_Pregnancy,eclipse_preg,flgdbp28wk
BiB_Pregnancy,eclipse_preg,flgdbp36wk
BiB_Pregnancy,eclipse_preg,flgdbpbook
BiB_Pregnancy,eclipse_preg,flggestage
BiB_Pregnancy,eclipse_preg,flgsbp28wk
BiB_Pregnancy,eclipse_preg,flgsbp36wk
BiB_Pregnancy,eclipse_preg,flgsbpbook
BiB_Pregnancy,eclipse_preg,gttcompind
BiB_Pregnancy,eclipse_preg,has_eclprg
