variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Pregnancy.fetal_renal.BiBPersonID,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,BiBPersonID,,text,,,1803,1781
BiB_Pregnancy.fetal_renal.BiBPregNumber,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,BiBPregNumber,,integer,,administration,1803,1781
BiB_Pregnancy.fetal_renal.has_fetal_renal,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,has_fetal_renal,Has fetal renal ultrasound,integer,,administration,1803,1781
BiB_Pregnancy.fetal_renal.has_renalu,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,has_renalu,Has: Fetal renal ultrasound study,categorical,[1 has],administration,1803,1781
BiB_Pregnancy.fetal_renal.renalabdocirc1,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalabdocirc1,Abdominal circ (1),float,,pregnancy,1802,1780
BiB_Pregnancy.fetal_renal.renalabdocirc2,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalabdocirc2,Abdominal circ (2),float,,pregnancy,298,297
BiB_Pregnancy.fetal_renal.renalabdocirc3,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalabdocirc3,Abdominal circ (3),float,,pregnancy,176,176
BiB_Pregnancy.fetal_renal.renalabdocircav,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalabdocircav,Abdominal circ (av of 3),float,,pregnancy,1802,1780
BiB_Pregnancy.fetal_renal.renalbpd1,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalbpd1,Biparietal diam (1),float,,pregnancy,1778,1757
BiB_Pregnancy.fetal_renal.renalbpd2,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalbpd2,Biparietal diam (2),float,,pregnancy,195,195
BiB_Pregnancy.fetal_renal.renalbpd3,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalbpd3,Biparietal diam (3),float,,pregnancy,162,162
BiB_Pregnancy.fetal_renal.renalbpdav,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalbpdav,Biparietal diam (av of 3),float,,pregnancy,1778,1757
BiB_Pregnancy.fetal_renal.renalfemurlgth1,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalfemurlgth1,Femur length (1),float,,pregnancy,1802,1780
BiB_Pregnancy.fetal_renal.renalfemurlgth2,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalfemurlgth2,Femur length (2),float,,pregnancy,229,229
BiB_Pregnancy.fetal_renal.renalfemurlgth3,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalfemurlgth3,Femur length (3),float,,pregnancy,149,149
BiB_Pregnancy.fetal_renal.renalfemurlgthav,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalfemurlgthav,Femur length (av of 3),float,,pregnancy,1802,1780
BiB_Pregnancy.fetal_renal.renalfetalwgt,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalfetalwgt,Est fetal weight at scan,float,,pregnancy,1788,1767
BiB_Pregnancy.fetal_renal.renalgestage,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalgestage,Gestational age at scan,integer,,age,1802,1780
BiB_Pregnancy.fetal_renal.renalheadcirc1,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalheadcirc1,Head circ (1),float,,pregnancy,1789,1768
BiB_Pregnancy.fetal_renal.renalheadcirc2,BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,renalheadcirc2,Head circ (2),float,,pregnancy,228,228
