project,table,variable
BiB_Pregnancy,fetal_renal,BiBPersonID
BiB_Pregnancy,fetal_renal,BiBPregNumber
BiB_Pregnancy,fetal_renal,has_fetal_renal
BiB_Pregnancy,fetal_renal,has_renalu
BiB_Pregnancy,fetal_renal,renalabdocirc1
BiB_Pregnancy,fetal_renal,renalabdocirc2
BiB_Pregnancy,fetal_renal,renalabdocirc3
BiB_Pregnancy,fetal_renal,renalabdocircav
BiB_Pregnancy,fetal_renal,renalbpd1
BiB_Pregnancy,fetal_renal,renalbpd2
BiB_Pregnancy,fetal_renal,renalbpd3
BiB_Pregnancy,fetal_renal,renalbpdav
BiB_Pregnancy,fetal_renal,renalfemurlgth1
BiB_Pregnancy,fetal_renal,renalfemurlgth2
BiB_Pregnancy,fetal_renal,renalfemurlgth3
BiB_Pregnancy,fetal_renal,renalfemurlgthav
BiB_Pregnancy,fetal_renal,renalfetalwgt
BiB_Pregnancy,fetal_renal,renalgestage
BiB_Pregnancy,fetal_renal,renalheadcirc1
BiB_Pregnancy,fetal_renal,renalheadcirc2
BiB_Pregnancy,fetal_renal,renalheadcirc3
BiB_Pregnancy,fetal_renal,renalheadcircav
BiB_Pregnancy,fetal_renal,renalliquor
BiB_Pregnancy,fetal_renal,renallkidapdiam1
BiB_Pregnancy,fetal_renal,renallkidapdiam2
BiB_Pregnancy,fetal_renal,renallkidapdiam3
BiB_Pregnancy,fetal_renal,renallkidapdiamav
BiB_Pregnancy,fetal_renal,renallkidcirc1
BiB_Pregnancy,fetal_renal,renallkidcirc2
BiB_Pregnancy,fetal_renal,renallkidcirc3
BiB_Pregnancy,fetal_renal,renallkidcircav
BiB_Pregnancy,fetal_renal,renallkidlgth1
BiB_Pregnancy,fetal_renal,renallkidlgth2
BiB_Pregnancy,fetal_renal,renallkidlgth3
BiB_Pregnancy,fetal_renal,renallkidlgthav
BiB_Pregnancy,fetal_renal,renallrvefw
BiB_Pregnancy,fetal_renal,renalltsdiam1
BiB_Pregnancy,fetal_renal,renalltsdiam2
BiB_Pregnancy,fetal_renal,renalltsdiam3
BiB_Pregnancy,fetal_renal,renalltsdiamav
BiB_Pregnancy,fetal_renal,renallvol
BiB_Pregnancy,fetal_renal,renalrecorder
BiB_Pregnancy,fetal_renal,renalrkidapdiam1
BiB_Pregnancy,fetal_renal,renalrkidapdiam2
BiB_Pregnancy,fetal_renal,renalrkidapdiam3
BiB_Pregnancy,fetal_renal,renalrkidapdiamav
BiB_Pregnancy,fetal_renal,renalrkidcirc1
BiB_Pregnancy,fetal_renal,renalrkidcirc2
BiB_Pregnancy,fetal_renal,renalrkidcirc3
BiB_Pregnancy,fetal_renal,renalrkidcircav
BiB_Pregnancy,fetal_renal,renalrkidlgth1
BiB_Pregnancy,fetal_renal,renalrkidlgth2
BiB_Pregnancy,fetal_renal,renalrkidlgth3
BiB_Pregnancy,fetal_renal,renalrkidlgthav
BiB_Pregnancy,fetal_renal,renalrrvefw
BiB_Pregnancy,fetal_renal,renalrtsdiam1
BiB_Pregnancy,fetal_renal,renalrtsdiam2
BiB_Pregnancy,fetal_renal,renalrtsdiam3
BiB_Pregnancy,fetal_renal,renalrtsdiamav
BiB_Pregnancy,fetal_renal,renalrvol
