project,table,variable
BiB_Pregnancy,matrecs_bib_oedema,BiBPersonID
BiB_Pregnancy,matrecs_bib_oedema,BiBPregNumber
BiB_Pregnancy,matrecs_bib_oedema,has_matrecs_bib_oedema
BiB_Pregnancy,matrecs_bib_oedema,has_prnoed
BiB_Pregnancy,matrecs_bib_oedema,prnoedemaankle
BiB_Pregnancy,matrecs_bib_oedema,prnoedemaeventtype
BiB_Pregnancy,matrecs_bib_oedema,prnoedemaface
BiB_Pregnancy,matrecs_bib_oedema,prnoedemafeet
BiB_Pregnancy,matrecs_bib_oedema,prnoedemageneral
BiB_Pregnancy,matrecs_bib_oedema,prnoedemagestaged
BiB_Pregnancy,matrecs_bib_oedema,prnoedemagestagew
BiB_Pregnancy,matrecs_bib_oedema,prnoedemahands
BiB_Pregnancy,matrecs_bib_oedema,prnoedemanotdoc
