variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Pregnancy.matrecs_bib_preg.BiBPersonID,BiB_Pregnancy.matrecs_bib_preg,BiB_Pregnancy,matrecs_bib_preg,BiBPersonID,,text,,,10939,10041
BiB_Pregnancy.matrecs_bib_preg.BiBPregNumber,BiB_Pregnancy.matrecs_bib_preg,BiB_Pregnancy,matrecs_bib_preg,BiBPregNumber,,integer,,administration,10939,10041
BiB_Pregnancy.matrecs_bib_preg.has_matrecs_bib_preg,BiB_Pregnancy.matrecs_bib_preg,BiB_Pregnancy,matrecs_bib_preg,has_matrecs_bib_preg,Has maternity records bib pregnancy,integer,,administration,10939,10041
BiB_Pregnancy.matrecs_bib_preg.has_prnprg,BiB_Pregnancy.matrecs_bib_preg,BiB_Pregnancy,matrecs_bib_preg,has_prnprg,Has: Pregnancy third trimester weight,categorical,[1 has],administration,10939,10041
BiB_Pregnancy.matrecs_bib_preg.prnbp3rdtriw,BiB_Pregnancy.matrecs_bib_preg,BiB_Pregnancy,matrecs_bib_preg,prnbp3rdtriw,3rd trimester weight,float,,anthropometry,6213,5893
BiB_Pregnancy.matrecs_bib_preg.prnbp3rdtriwdate,BiB_Pregnancy.matrecs_bib_preg,BiB_Pregnancy,matrecs_bib_preg,prnbp3rdtriwdate,Date of 3rd trimester weighing,date,,anthropometry,6160,5844
BiB_Pregnancy.matrecs_bib_preg.prnbp3rdtriwnotdoc,BiB_Pregnancy.matrecs_bib_preg,BiB_Pregnancy,matrecs_bib_preg,prnbp3rdtriwnotdoc,3rd trimester weight not documented,categorical,[1 Documented] [2 Not documented],anthropometry,10934,10038
BiB_Pregnancy.matrecs_bib_preg.prnbpamnionoted,BiB_Pregnancy.matrecs_bib_preg,BiB_Pregnancy,matrecs_bib_preg,prnbpamnionoted,Amniocentesis noted,categorical,[1 No] [2 Yes] [3 Not documented],congenital_and_malformations,10888,9996
BiB_Pregnancy.matrecs_bib_preg.prnbpamnioreasons,BiB_Pregnancy.matrecs_bib_preg,BiB_Pregnancy,matrecs_bib_preg,prnbpamnioreasons,Amniocentesis reasons,text,,congenital_and_malformations,10939,10041
BiB_Pregnancy.matrecs_bib_preg.prnbpanaemianoted,BiB_Pregnancy.matrecs_bib_preg,BiB_Pregnancy,matrecs_bib_preg,prnbpanaemianoted,Anaemia noted,categorical,[1 No] [2 Yes] [3 Not documented],hemic_and_immune_systems,10911,10023
