variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Pregnancy.matrecs_prebib_inf.BiBPersonID,BiB_Pregnancy.matrecs_prebib_inf,BiB_Pregnancy,matrecs_prebib_inf,BiBPersonID,,text,,,10660,5602
BiB_Pregnancy.matrecs_prebib_inf.has_matrecs_prebib_inf,BiB_Pregnancy.matrecs_prebib_inf,BiB_Pregnancy,matrecs_prebib_inf,has_matrecs_prebib_inf,Has,integer,,administration,10660,5602
BiB_Pregnancy.matrecs_prebib_inf.has_prnpbi,BiB_Pregnancy.matrecs_prebib_inf,BiB_Pregnancy,matrecs_prebib_inf,has_prnpbi,Has: Maternal records abstraction: Pre-BiB infant info,categorical,[1 has],administration,10660,5602
BiB_Pregnancy.matrecs_prebib_inf.prnprebinfbirthyr,BiB_Pregnancy.matrecs_prebib_inf,BiB_Pregnancy,matrecs_prebib_inf,prnprebinfbirthyr,Pre BiB infant birth year,integer,,administration,10098,5490
BiB_Pregnancy.matrecs_prebib_inf.prnprebinfboutcome,BiB_Pregnancy.matrecs_prebib_inf,BiB_Pregnancy,matrecs_prebib_inf,prnprebinfboutcome,Pre BiB infant birth outcome,categorical,[1 Live Birth] [2 Miscarriage] [3 Still birth] [4 TOP] [5 Ectopic pregnancy] [6 Not documented],infant_mortality,10656,5601
BiB_Pregnancy.matrecs_prebib_inf.prnprebinfbroute,BiB_Pregnancy.matrecs_prebib_inf,BiB_Pregnancy,matrecs_prebib_inf,prnprebinfbroute,Pre BiB infant birth route,categorical,[1 Normal] [2 Forceps] [3 Ventous] [4 Elective caesarian section] [5 Semi-elective caesarean section] [6 Emergency caesarean section] [7 Not documented],childbirth,10571,5580
BiB_Pregnancy.matrecs_prebib_inf.prnprebinfbweight,BiB_Pregnancy.matrecs_prebib_inf,BiB_Pregnancy,matrecs_prebib_inf,prnprebinfbweight,Pre BiB infant birth weight (grams),integer,,anthropometry,10277,5503
BiB_Pregnancy.matrecs_prebib_inf.prnprebinfbweightnd,BiB_Pregnancy.matrecs_prebib_inf,BiB_Pregnancy,matrecs_prebib_inf,prnprebinfbweightnd,Pre BiB infant birth weight not documented,categorical,[1 No] [2 Yes],administration,10660,5602
BiB_Pregnancy.matrecs_prebib_inf.prnprebinfdeath,BiB_Pregnancy.matrecs_prebib_inf,BiB_Pregnancy,matrecs_prebib_inf,prnprebinfdeath,Pre BiB infant death,categorical,[1 No] [2 Yes] [3 Not documented],infant_mortality,10276,5447
BiB_Pregnancy.matrecs_prebib_inf.prnprebinfmisdobnd,BiB_Pregnancy.matrecs_prebib_inf,BiB_Pregnancy,matrecs_prebib_inf,prnprebinfmisdobnd,Pre BiB infant dob/miscarriage not documented,categorical,[1 Documented] [2 Not documented],administration,10590,5564
BiB_Pregnancy.matrecs_prebib_inf.prnprebinfpregid,BiB_Pregnancy.matrecs_prebib_inf,BiB_Pregnancy,matrecs_prebib_inf,prnprebinfpregid,Pre BiB pregnancy ID,integer,,administration,10660,5602
