project,table,variable
BiB_Pregnancy,matrecs_prebib_inf,BiBPersonID
BiB_Pregnancy,matrecs_prebib_inf,has_matrecs_prebib_inf
BiB_Pregnancy,matrecs_prebib_inf,has_prnpbi
BiB_Pregnancy,matrecs_prebib_inf,prnprebinfbirthyr
BiB_Pregnancy,matrecs_prebib_inf,prnprebinfboutcome
BiB_Pregnancy,matrecs_prebib_inf,prnprebinfbroute
BiB_Pregnancy,matrecs_prebib_inf,prnprebinfbweight
BiB_Pregnancy,matrecs_prebib_inf,prnprebinfbweightnd
BiB_Pregnancy,matrecs_prebib_inf,prnprebinfdeath
BiB_Pregnancy,matrecs_prebib_inf,prnprebinfmisdobnd
BiB_Pregnancy,matrecs_prebib_inf,prnprebinfpregid
