variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Pregnancy.matrecs_prebib_preg.BiBPersonID,BiB_Pregnancy.matrecs_prebib_preg,BiB_Pregnancy,matrecs_prebib_preg,BiBPersonID,,text,,,10642,5611
BiB_Pregnancy.matrecs_prebib_preg.has_matrecs_prebib_preg,BiB_Pregnancy.matrecs_prebib_preg,BiB_Pregnancy,matrecs_prebib_preg,has_matrecs_prebib_preg,Has maternity records pre-bib pregnancy,integer,,administration,10642,5611
BiB_Pregnancy.matrecs_prebib_preg.prnprebprgbirthyr,BiB_Pregnancy.matrecs_prebib_preg,BiB_Pregnancy,matrecs_prebib_preg,prnprebprgbirthyr,Pre BiB preg birth year,integer,,administration,10037,5490
BiB_Pregnancy.matrecs_prebib_preg.prnprebprggdm,BiB_Pregnancy.matrecs_prebib_preg,BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdm,Pre BiB preg GDM diagnosis,categorical,[1 No] [2 Yes] [3 Not documented],endocrine_system,8711,4383
BiB_Pregnancy.matrecs_prebib_preg.prnprebprggdmt_diet,BiB_Pregnancy.matrecs_prebib_preg,BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdmt_diet,Pre BiB preg GDM trt: Diet,categorical,[1 No] [2 Yes] [3 Not documented],endocrine_system,84,79
BiB_Pregnancy.matrecs_prebib_preg.prnprebprggdmt_insulin,BiB_Pregnancy.matrecs_prebib_preg,BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdmt_insulin,Pre BiB preg GDM trt: Insulin,categorical,[1 No] [2 Yes] [3 Not documented],endocrine_system,60,54
BiB_Pregnancy.matrecs_prebib_preg.prnprebprggdmt_lifestyle,BiB_Pregnancy.matrecs_prebib_preg,BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdmt_lifestyle,Pre BiB preg GDM trt: Lifestyle,categorical,[1 No] [2 Yes] [3 Not documented],endocrine_system,58,57
BiB_Pregnancy.matrecs_prebib_preg.prnprebprggdmt_metaformin,BiB_Pregnancy.matrecs_prebib_preg,BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdmt_metaformin,Pre BiB preg GDM trt: Metaformin,categorical,[1 No] [2 Yes] [3 Not documented],endocrine_system,0,0
BiB_Pregnancy.matrecs_prebib_preg.prnprebprggdmt_none,BiB_Pregnancy.matrecs_prebib_preg,BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdmt_none,Pre BiB preg GDM trt: None,categorical,[1 No] [2 Yes] [3 Not documented],endocrine_system,2091,1221
BiB_Pregnancy.matrecs_prebib_preg.prnprebprggdmt_notdoc,BiB_Pregnancy.matrecs_prebib_preg,BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdmt_notdoc,Pre BiB preg GDM trt: not documented,categorical,[1 No] [2 Yes] [3 Not documented],administration,268,197
BiB_Pregnancy.matrecs_prebib_preg.prnprebprgmultipreg,BiB_Pregnancy.matrecs_prebib_preg,BiB_Pregnancy,matrecs_prebib_preg,prnprebprgmultipreg,Pre BiB preg number of births,integer,,childbirth,10586,5602
BiB_Pregnancy.matrecs_prebib_preg.prnprebprgogtt,BiB_Pregnancy.matrecs_prebib_preg,BiB_Pregnancy,matrecs_prebib_preg,prnprebprgogtt,Pre BiB preg OGTT done,categorical,[1 No] [2 Yes] [3 Not documented],administration,10574,5576
BiB_Pregnancy.matrecs_prebib_preg.prnprebprgperineal,BiB_Pregnancy.matrecs_prebib_preg,BiB_Pregnancy,matrecs_prebib_preg,prnprebprgperineal,Pre BiB preg perineal trauma,categorical,[1 None] [2 1st degree] [3 2nd degree] [4 3rd degree] [5 4th degree] [6 Episiotomy] [7 Laceration] [8 Tear] [9 Graze] [10 Not documented],childbirth,10570,5573
BiB_Pregnancy.matrecs_prebib_preg.prnprebprgpregid,BiB_Pregnancy.matrecs_prebib_preg,BiB_Pregnancy,matrecs_prebib_preg,prnprebprgpregid,Pre BiB preg ID - links to pre-BiB infant data,integer,,administration,10642,5611
