project,table,variable
BiB_Pregnancy,matrecs_prebib_preg,BiBPersonID
BiB_Pregnancy,matrecs_prebib_preg,has_matrecs_prebib_preg
BiB_Pregnancy,matrecs_prebib_preg,prnprebprgbirthyr
BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdm
BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdmt_diet
BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdmt_insulin
BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdmt_lifestyle
BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdmt_metaformin
BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdmt_none
BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdmt_notdoc
BiB_Pregnancy,matrecs_prebib_preg,prnprebprgmultipreg
BiB_Pregnancy,matrecs_prebib_preg,prnprebprgogtt
BiB_Pregnancy,matrecs_prebib_preg,prnprebprgperineal
BiB_Pregnancy,matrecs_prebib_preg,prnprebprgpregid
