project,table,variable
BiB_Pregnancy,pregnancy_ultrasound,BiBPersonID
BiB_Pregnancy,pregnancy_ultrasound,BiBPregNumber
BiB_Pregnancy,pregnancy_ultrasound,date_matuss
BiB_Pregnancy,pregnancy_ultrasound,gestaged_matuss
BiB_Pregnancy,pregnancy_ultrasound,gestagew_matuss
BiB_Pregnancy,pregnancy_ultrasound,has_matuss
BiB_Pregnancy,pregnancy_ultrasound,mussabdomcirc
BiB_Pregnancy,pregnancy_ultrasound,mussabdomwall
BiB_Pregnancy,pregnancy_ultrasound,mussamnioticflind
BiB_Pregnancy,pregnancy_ultrasound,mussamnioticflvol1
BiB_Pregnancy,pregnancy_ultrasound,mussamnioticflvol2
BiB_Pregnancy,pregnancy_ultrasound,mussamnioticflvol3
BiB_Pregnancy,pregnancy_ultrasound,mussamnioticflvol4
BiB_Pregnancy,pregnancy_ultrasound,mussamnioticflvolcl
BiB_Pregnancy,pregnancy_ultrasound,mussbipardiam
BiB_Pregnancy,pregnancy_ultrasound,mussbladder
BiB_Pregnancy,pregnancy_ultrasound,musscerebellum
BiB_Pregnancy,pregnancy_ultrasound,musscrownrumplen
BiB_Pregnancy,pregnancy_ultrasound,mussdiaphragm
BiB_Pregnancy,pregnancy_ultrasound,mussdiastolflow
BiB_Pregnancy,pregnancy_ultrasound,mussendomassess
BiB_Pregnancy,pregnancy_ultrasound,mussendomthick
BiB_Pregnancy,pregnancy_ultrasound,mussexamname
BiB_Pregnancy,pregnancy_ultrasound,mussface
BiB_Pregnancy,pregnancy_ultrasound,mussfemurlen
BiB_Pregnancy,pregnancy_ultrasound,mussfoetalno
BiB_Pregnancy,pregnancy_ultrasound,mussfoetalpole
BiB_Pregnancy,pregnancy_ultrasound,mussfoetalpos
BiB_Pregnancy,pregnancy_ultrasound,mussfoetalpres
BiB_Pregnancy,pregnancy_ultrasound,mussfoetalweight
BiB_Pregnancy,pregnancy_ultrasound,mussgestagedys
BiB_Pregnancy,pregnancy_ultrasound,mussgestagewks
BiB_Pregnancy,pregnancy_ultrasound,mussgestsacident
BiB_Pregnancy,pregnancy_ultrasound,mussgestsacidentloc
BiB_Pregnancy,pregnancy_ultrasound,musshead
BiB_Pregnancy,pregnancy_ultrasound,mussheadcirc
BiB_Pregnancy,pregnancy_ultrasound,mussheart
BiB_Pregnancy,pregnancy_ultrasound,mussheartbeat
BiB_Pregnancy,pregnancy_ultrasound,mussindication
BiB_Pregnancy,pregnancy_ultrasound,musskidney
BiB_Pregnancy,pregnancy_ultrasound,mussleftoutflow
BiB_Pregnancy,pregnancy_ultrasound,musslimb
BiB_Pregnancy,pregnancy_ultrasound,mussplacentalsite
BiB_Pregnancy,pregnancy_ultrasound,musssacdiam1
BiB_Pregnancy,pregnancy_ultrasound,musssacdiam2
BiB_Pregnancy,pregnancy_ultrasound,musssacdiam3
BiB_Pregnancy,pregnancy_ultrasound,musssacdiammean
BiB_Pregnancy,pregnancy_ultrasound,musssacoutline
BiB_Pregnancy,pregnancy_ultrasound,mussscanedd
BiB_Pregnancy,pregnancy_ultrasound,mussscanmethod
BiB_Pregnancy,pregnancy_ultrasound,mussscantype
BiB_Pregnancy,pregnancy_ultrasound,mussspine
BiB_Pregnancy,pregnancy_ultrasound,mussstomach
BiB_Pregnancy,pregnancy_ultrasound,mussthorax
BiB_Pregnancy,pregnancy_ultrasound,musstranscerdiam
BiB_Pregnancy,pregnancy_ultrasound,mussumbartrindex
BiB_Pregnancy,pregnancy_ultrasound,mussumbilicalcord
BiB_Pregnancy,pregnancy_ultrasound,mussumbpulsindex
BiB_Pregnancy,pregnancy_ultrasound,mussuterus
BiB_Pregnancy,pregnancy_ultrasound,mussyolksac
