variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Pregnancy.eclipse_preg.BiBPersonID,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,BiBPersonID,,text,,,13361,12075
BiB_Pregnancy.eclipse_preg.BiBPregNumber,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,BiBPregNumber,,integer,,administration,13361,12075
BiB_Pregnancy.eclipse_preg.has_eclipse_preg,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,has_eclipse_preg,Has eclipse pregnancy record,integer,,administration,13361,12075
BiB_Pregnancy.eclipse_preg.bkfcomplet,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,bkfcomplet,Backfill completed,categorical,[1 No] [2 Yes],administration,13361,12075
BiB_Pregnancy.eclipse_preg.bkfdiabete,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,bkfdiabete,Diabetes prior to pregnancy,categorical,[1 No] [2 Yes],endocrine_system,12775,11592
BiB_Pregnancy.eclipse_preg.bkfhyperex,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,bkfhyperex,Existing HT,categorical,[1 No] [2 Yes],cardiovascular_system,12764,11586
BiB_Pregnancy.eclipse_preg.bkfhyperlb,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,bkfhyperlb,HT during labour only,categorical,[1 No] [2 Yes],cardiovascular_system,12389,11274
BiB_Pregnancy.eclipse_preg.bkfhyperpi,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,bkfhyperpi,Pregnancy induced HT,categorical,"[1 No] [2 Mild to moderate] [3 Severe] [4 Yes, not classified]",cardiovascular_system,12764,11582
BiB_Pregnancy.eclipse_preg.bkfmumbkwt,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,bkfmumbkwt,Mother's booking weight,float,,anthropometry,12902,11691
BiB_Pregnancy.eclipse_preg.bkfpreeclm,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,bkfpreeclm,Pre-eclampsia,categorical,[1 No] [2 Yes],pregnancy,12745,11564
BiB_Pregnancy.eclipse_preg.drvgesbook,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,drvgesbook,Gestation (wks) at booking appt,float,,age,12315,11212
BiB_Pregnancy.eclipse_preg.drvgesdiab,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,drvgesdiab,Gestational diabetes - derived from GTT and backfill notes,categorical,[1 No] [2 Yes],endocrine_system,13271,12008
BiB_Pregnancy.eclipse_preg.drvgesdind,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,drvgesdind,Source of gestational diabetes coding,categorical,[1 Defined from GTT results] [2 Defined from backfill notes] [3 No gestational diabetes],administration,13271,12008
BiB_Pregnancy.eclipse_preg.ecldbp28wk,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,ecldbp28wk,Diastolic blood pressure at 28 wks,integer,,cardiovascular_system,12186,11091
BiB_Pregnancy.eclipse_preg.ecldbp36wk,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,ecldbp36wk,Diastolic blood pressure at 36 wks,integer,,cardiovascular_system,12041,10980
BiB_Pregnancy.eclipse_preg.ecldbpbook,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,ecldbpbook,Diastolic blood pressure at booking,integer,,cardiovascular_system,11874,10854
BiB_Pregnancy.eclipse_preg.eclgestday,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,eclgestday,Gestation in days,integer,,age,13361,12075
BiB_Pregnancy.eclipse_preg.eclgestwds,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,eclgestwds,Gestation in weeks and days,float,,age,13361,12075
BiB_Pregnancy.eclipse_preg.eclgestwks,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,eclgestwks,Gestation to last completed week,integer,,age,13361,12075
BiB_Pregnancy.eclipse_preg.ecllgthlab,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,ecllgthlab,Time from labour to delivery of last placenta,text,,childbirth,13361,12075
BiB_Pregnancy.eclipse_preg.eclnregbrt,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,eclnregbrt,Number of registerable births,categorical,[1 Singleton] [2 Twins] [3 Triplets],childbirth,13361,12075
BiB_Pregnancy.eclipse_preg.eclonstlab,BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,eclonstlab,Type of onset of labour,categorical,[1 Spontaneous] [2 No labour (caesarean section)] [3 No labour (elective caesarean section)] [4 Induction] [5 Medical induction] [6 Surgical induction] [7 Medical and surgical induction],childbirth,13349,12067
