project,table,variable
BiB_Pregnancy,eclipse_preg,BiBPersonID
BiB_Pregnancy,eclipse_preg,BiBPregNumber
BiB_Pregnancy,eclipse_preg,has_eclipse_preg
BiB_Pregnancy,eclipse_preg,bkfcomplet
BiB_Pregnancy,eclipse_preg,bkfdiabete
BiB_Pregnancy,eclipse_preg,bkfhyperex
BiB_Pregnancy,eclipse_preg,bkfhyperlb
BiB_Pregnancy,eclipse_preg,bkfhyperpi
BiB_Pregnancy,eclipse_preg,bkfmumbkwt
BiB_Pregnancy,eclipse_preg,bkfpreeclm
BiB_Pregnancy,eclipse_preg,drvgesbook
BiB_Pregnancy,eclipse_preg,drvgesdiab
BiB_Pregnancy,eclipse_preg,drvgesdind
BiB_Pregnancy,eclipse_preg,ecldbp28wk
BiB_Pregnancy,eclipse_preg,ecldbp36wk
BiB_Pregnancy,eclipse_preg,ecldbpbook
BiB_Pregnancy,eclipse_preg,eclgestday
BiB_Pregnancy,eclipse_preg,eclgestwds
BiB_Pregnancy,eclipse_preg,eclgestwks
BiB_Pregnancy,eclipse_preg,ecllgthlab
BiB_Pregnancy,eclipse_preg,eclnregbrt
BiB_Pregnancy,eclipse_preg,eclonstlab
BiB_Pregnancy,eclipse_preg,eclpertear
BiB_Pregnancy,eclipse_preg,eclregpart
BiB_Pregnancy,eclipse_preg,eclsbp28wk
BiB_Pregnancy,eclipse_preg,eclsbp36wk
BiB_Pregnancy,eclipse_preg,eclsbpbook
BiB_Pregnancy,eclipse_preg,flgdbp28wk
BiB_Pregnancy,eclipse_preg,flgdbp36wk
BiB_Pregnancy,eclipse_preg,flgdbpbook
BiB_Pregnancy,eclipse_preg,flggestage
BiB_Pregnancy,eclipse_preg,flgsbp28wk
BiB_Pregnancy,eclipse_preg,flgsbp36wk
BiB_Pregnancy,eclipse_preg,flgsbpbook
BiB_Pregnancy,eclipse_preg,gttcompind
BiB_Pregnancy,eclipse_preg,has_eclprg
BiB_Pregnancy,eclipse_baby,BiBPersonID
BiB_Pregnancy,eclipse_baby,has_eclipse_baby
BiB_Pregnancy,eclipse_baby,eclabdcirc
BiB_Pregnancy,eclipse_baby,eclapgar1m
BiB_Pregnancy,eclipse_baby,eclapgar5m
BiB_Pregnancy,eclipse_baby,eclbabysex
BiB_Pregnancy,eclipse_baby,eclbirthwt
BiB_Pregnancy,eclipse_baby,eclbrtasst
BiB_Pregnancy,eclipse_baby,eclbrthocm
BiB_Pregnancy,eclipse_baby,eclbrthord
BiB_Pregnancy,eclipse_baby,eclbrtpres
BiB_Pregnancy,eclipse_baby,eclheadcir
BiB_Pregnancy,eclipse_baby,ecllgaukwho
BiB_Pregnancy,eclipse_baby,eclmidarmc
BiB_Pregnancy,eclipse_baby,eclrtbirth
BiB_Pregnancy,eclipse_baby,eclrupbrth
BiB_Pregnancy,eclipse_baby,eclsdystoc
BiB_Pregnancy,eclipse_baby,eclsgaukwho
BiB_Pregnancy,eclipse_baby,eclsubscap
BiB_Pregnancy,eclipse_baby,ecltmpbrth
BiB_Pregnancy,eclipse_baby,ecltriceps
BiB_Pregnancy,eclipse_baby,eclvitk1st
BiB_Pregnancy,eclipse_baby,eclvitkcon
BiB_Pregnancy,eclipse_baby,flgabdcirc
BiB_Pregnancy,eclipse_baby,flgbirthwt
BiB_Pregnancy,eclipse_baby,flgheadcir
BiB_Pregnancy,eclipse_baby,flgmidarmc
BiB_Pregnancy,eclipse_baby,flgsubscap
BiB_Pregnancy,eclipse_baby,flgtricep
BiB_Pregnancy,eclipse_baby,has_eclbby
BiB_Pregnancy,matrecs_bib_mum,BiBPersonID
BiB_Pregnancy,matrecs_bib_mum,has_matrecs_bib_mum
BiB_Pregnancy,matrecs_bib_mum,has_prnmum
BiB_Pregnancy,matrecs_bib_mum,prnmum1stchmagem
BiB_Pregnancy,matrecs_bib_mum,prnmum1stchmagey
BiB_Pregnancy,matrecs_prebib_preg,BiBPersonID
BiB_Pregnancy,matrecs_prebib_preg,has_matrecs_prebib_preg
BiB_Pregnancy,matrecs_prebib_preg,prnprebprgbirthyr
BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdm
BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdmt_diet
BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdmt_insulin
BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdmt_lifestyle
BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdmt_metaformin
BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdmt_none
BiB_Pregnancy,matrecs_prebib_preg,prnprebprggdmt_notdoc
BiB_Pregnancy,matrecs_prebib_preg,prnprebprgmultipreg
BiB_Pregnancy,matrecs_prebib_preg,prnprebprgogtt
BiB_Pregnancy,matrecs_prebib_preg,prnprebprgperineal
BiB_Pregnancy,matrecs_prebib_preg,prnprebprgpregid
BiB_Pregnancy,matrecs_prebib_inf,BiBPersonID
BiB_Pregnancy,matrecs_prebib_inf,has_matrecs_prebib_inf
BiB_Pregnancy,matrecs_prebib_inf,has_prnpbi
BiB_Pregnancy,matrecs_prebib_inf,prnprebinfbirthyr
BiB_Pregnancy,matrecs_prebib_inf,prnprebinfboutcome
BiB_Pregnancy,matrecs_prebib_inf,prnprebinfbroute
BiB_Pregnancy,matrecs_prebib_inf,prnprebinfbweight
BiB_Pregnancy,matrecs_prebib_inf,prnprebinfbweightnd
BiB_Pregnancy,matrecs_prebib_inf,prnprebinfdeath
BiB_Pregnancy,matrecs_prebib_inf,prnprebinfmisdobnd
BiB_Pregnancy,matrecs_prebib_inf,prnprebinfpregid
BiB_Pregnancy,matrecs_bib_preg,BiBPersonID
BiB_Pregnancy,matrecs_bib_preg,BiBPregNumber
BiB_Pregnancy,matrecs_bib_preg,has_matrecs_bib_preg
BiB_Pregnancy,matrecs_bib_preg,has_prnprg
BiB_Pregnancy,matrecs_bib_preg,prnbp3rdtriw
BiB_Pregnancy,matrecs_bib_preg,prnbp3rdtriwdate
BiB_Pregnancy,matrecs_bib_preg,prnbp3rdtriwnotdoc
BiB_Pregnancy,matrecs_bib_preg,prnbpamnionoted
BiB_Pregnancy,matrecs_bib_preg,prnbpamnioreasons
BiB_Pregnancy,matrecs_bib_preg,prnbpanaemianoted
BiB_Pregnancy,matrecs_bib_preg,prnbpanaemiaresult
BiB_Pregnancy,matrecs_bib_preg,prnbpantibody
BiB_Pregnancy,matrecs_bib_preg,prnbpbplabn
BiB_Pregnancy,matrecs_bib_preg,prnbpbplabtaken
BiB_Pregnancy,matrecs_bib_preg,prnbpbppostn
BiB_Pregnancy,matrecs_bib_preg,prnbpbppostrec
BiB_Pregnancy,matrecs_bib_preg,prnbpbppregn
BiB_Pregnancy,matrecs_bib_preg,prnbpbppregrec
BiB_Pregnancy,matrecs_bib_preg,prnbpcervcerc
BiB_Pregnancy,matrecs_bib_preg,prnbpchrovillsamp
BiB_Pregnancy,matrecs_bib_preg,prnbpchrovsreasons
BiB_Pregnancy,matrecs_bib_preg,prnbpconfetmon
BiB_Pregnancy,matrecs_bib_preg,prnbpdesigpsutur
BiB_Pregnancy,matrecs_bib_preg,prnbpdischinf
BiB_Pregnancy,matrecs_bib_preg,prnbpdruglab1
BiB_Pregnancy,matrecs_bib_preg,prnbpdruglab2
BiB_Pregnancy,matrecs_bib_preg,prnbpdruglab3
BiB_Pregnancy,matrecs_bib_preg,prnbpdruglab4
BiB_Pregnancy,matrecs_bib_preg,prnbpdruglab5
BiB_Pregnancy,matrecs_bib_preg,prnbpdruglab6
BiB_Pregnancy,matrecs_bib_preg,prnbpdruglab7
BiB_Pregnancy,matrecs_bib_preg,prnbpdruglab8
BiB_Pregnancy,matrecs_bib_preg,prnbpeclampconv
BiB_Pregnancy,matrecs_bib_preg,prnbpelectcaes
BiB_Pregnancy,matrecs_bib_preg,prnbpexhyper
BiB_Pregnancy,matrecs_bib_preg,prnbpextceph
BiB_Pregnancy,matrecs_bib_preg,prnbpfolicacid
BiB_Pregnancy,matrecs_bib_preg,prnbpgdm
BiB_Pregnancy,matrecs_bib_preg,prnbpgdmt_diet
BiB_Pregnancy,matrecs_bib_preg,prnbpgdmt_insulin
BiB_Pregnancy,matrecs_bib_preg,prnbpgdmt_lifestyle
BiB_Pregnancy,matrecs_bib_preg,prnbpgdmt_metformin
BiB_Pregnancy,matrecs_bib_preg,prnbpgdmt_none
BiB_Pregnancy,matrecs_bib_preg,prnbpgdmt_notdoc
