variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_PrimarySchoolYears.child_info.PSYChildID,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,PSYChildID,,text,,,18149,18149
BiB_PrimarySchoolYears.child_info.BiBPersonID,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,BiBPersonID,,text,,administration,18149,18149
BiB_PrimarySchoolYears.child_info.PSYSchoolID,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,PSYSchoolID,Primary School Years: School pseudonym,integer,,administration,18149,18149
BiB_PrimarySchoolYears.child_info.PSYClassID,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,PSYClassID,Primary School Years: Class pseudonym,integer,,administration,18149,18149
BiB_PrimarySchoolYears.child_info.YearOfBirth,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,YearOfBirth,PSY child year of birth,integer,,age,18149,18149
BiB_PrimarySchoolYears.child_info.AcadTermBirth,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,AcadTermBirth,1.000000,categorical,[1 Autumn] [2 Spring] [3 Summer],administration,18149,18149
BiB_PrimarySchoolYears.child_info.MonthOfBirth,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,MonthOfBirth,PSY child month of birth,integer,,age,18149,18149
BiB_PrimarySchoolYears.child_info.Gender,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,Gender,PSY child gender,categorical,[1 Female] [2 Male],gender,18149,18149
BiB_PrimarySchoolYears.child_info.ethnicity_text,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,ethnicity_text,PSY child ethnicity: original text value,text,,ethnic_group,18149,18149
BiB_PrimarySchoolYears.child_info.ethnicity_5grp,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,ethnicity_5grp,PSY child ethnicity: coded to 5 groups,categorical,[1 white] [2 asian or asian british] [3 black or black british] [4 mixed or multiple groups] [5 other ethnic group] [6 unknown],ethnic_group,18149,18149
BiB_PrimarySchoolYears.child_info.ethnicity_census,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,ethnicity_census,PSY child ethnicity: coded to census groups,categorical,[1 white : british] [2 white : gypsy or irish traveller] [3 white : irish] [4 white : other] [5 asian or asian british : pakistani] [6 asian or asian british : bangladeshi] [7 asian or asian british : indian] [8 asian or asian british : chinese] [9 asian or asian british : other asian] [10 black or black british : african] [11 black or black british : caribbean] [12 black or black british : other black] [13 mixed : white and asian] [14 mixed : white and black african] [15 mixed : white and black caribbean] [16 mixed : other mixed] [17 other : arab] [18 other : any other ethnic group] [19 unknown],ethnic_group,18149,18149
BiB_PrimarySchoolYears.child_info.Handedness,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,Handedness,PSY child left or right handed,categorical,[1 Right] [2 Left],administration,15890,15890
BiB_PrimarySchoolYears.child_info.has_quiz,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,has_quiz,PSY child has quiz data,integer,,administration,15641,15641
BiB_PrimarySchoolYears.child_info.has_sdq,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,has_sdq,PSY child has SDQ data,integer,,administration,3234,3234
BiB_PrimarySchoolYears.child_info.has_ckat_all,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,has_ckat_all,PSY child has complete CKAT data,integer,,administration,15601,15601
BiB_PrimarySchoolYears.child_info.has_ckat_tracing,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,has_ckat_tracing,PSY child has CKAT tracing task data,integer,,administration,15752,15752
BiB_PrimarySchoolYears.child_info.has_ckat_tracking,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,has_ckat_tracking,PSY child has CKAT tracking task data,integer,,administration,15708,15708
BiB_PrimarySchoolYears.child_info.has_ckat_aiming,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,has_ckat_aiming,PSY child has CKAT aiming task data,integer,,administration,15757,15757
BiB_PrimarySchoolYears.child_info.has_ef_bdr,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,has_ef_bdr,PSY child has Executive Function BDR data,integer,,administration,15179,15179
BiB_PrimarySchoolYears.child_info.has_ef_fdr,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,has_ef_fdr,PSY child has Executive Function FDR data,integer,,administration,15519,15519
BiB_PrimarySchoolYears.child_info.has_ef_corsi,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,has_ef_corsi,PSY child has Executive Function Corsi data,integer,,administration,15388,15388
BiB_PrimarySchoolYears.child_info.has_ef_inhibition,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,has_ef_inhibition,PSY child has Executive Function Inhibition data,integer,,administration,14538,14538
BiB_PrimarySchoolYears.child_info.has_ef_ps,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,has_ef_ps,PSY child has Executive Function PS data,integer,,administration,15185,15185
BiB_PrimarySchoolYears.child_info.has_ef_all,BiB_PrimarySchoolYears.child_info,BiB_PrimarySchoolYears,child_info,has_ef_all,PSY child has all Executive Function tasks data,integer,,administration,14071,14071
