variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_PrimarySchoolYears.child_quiz_bib.BiBPersonID,BiB_PrimarySchoolYears.child_quiz_bib,BiB_PrimarySchoolYears,child_quiz_bib,BiBPersonID,,text,,administration,7006,7006
BiB_PrimarySchoolYears.child_quiz_bib.PSYChildID,BiB_PrimarySchoolYears.child_quiz_bib,BiB_PrimarySchoolYears,child_quiz_bib,PSYChildID,,text,,,7006,7006
BiB_PrimarySchoolYears.child_quiz_bib.PSYSchoolID,BiB_PrimarySchoolYears.child_quiz_bib,BiB_PrimarySchoolYears,child_quiz_bib,PSYSchoolID,Primary School Years: School pseudonym,integer,,administration,6147,6147
BiB_PrimarySchoolYears.child_quiz_bib.PSYClassID,BiB_PrimarySchoolYears.child_quiz_bib,BiB_PrimarySchoolYears,child_quiz_bib,PSYClassID,Primary School Years: Class pseudonym,integer,,administration,6147,6147
BiB_PrimarySchoolYears.child_quiz_bib.TestYearGroup,BiB_PrimarySchoolYears.child_quiz_bib,BiB_PrimarySchoolYears,child_quiz_bib,TestYearGroup,Year group of quiz completion,integer,,administration,6147,6147
BiB_PrimarySchoolYears.child_quiz_bib.TestAcadTerm,BiB_PrimarySchoolYears.child_quiz_bib,BiB_PrimarySchoolYears,child_quiz_bib,TestAcadTerm,Academic term of quiz completion,categorical,[1 Autumn] [2 Spring] [3 Summer],administration,6147,6147
BiB_PrimarySchoolYears.child_quiz_bib.TestYear,BiB_PrimarySchoolYears.child_quiz_bib,BiB_PrimarySchoolYears,child_quiz_bib,TestYear,Calendar year of quiz completion,integer,,administration,6147,6147
BiB_PrimarySchoolYears.child_quiz_bib.TestMonth,BiB_PrimarySchoolYears.child_quiz_bib,BiB_PrimarySchoolYears,child_quiz_bib,TestMonth,Calendar month of quiz completion,integer,,administration,6147,6147
BiB_PrimarySchoolYears.child_quiz_bib.PSYTestDay,BiB_PrimarySchoolYears.child_quiz_bib,BiB_PrimarySchoolYears,child_quiz_bib,PSYTestDay,Days elapsed since study start + 50000,integer,,administration,6147,6147
BiB_PrimarySchoolYears.child_quiz_bib.AgeYears,BiB_PrimarySchoolYears.child_quiz_bib,BiB_PrimarySchoolYears,child_quiz_bib,AgeYears,Child age in years at quiz completion,integer,,age,6147,6147
BiB_PrimarySchoolYears.child_quiz_bib.AgeMonths,BiB_PrimarySchoolYears.child_quiz_bib,BiB_PrimarySchoolYears,child_quiz_bib,AgeMonths,Child age in months at quiz completion,integer,,age,6147,6147
BiB_PrimarySchoolYears.child_quiz_bib.lsid,BiB_PrimarySchoolYears.child_quiz_bib,BiB_PrimarySchoolYears,child_quiz_bib,lsid,Survey version Id,integer,,administration,6147,6147
BiB_PrimarySchoolYears.child_quiz_bib.survey_version,BiB_PrimarySchoolYears.child_quiz_bib,BiB_PrimarySchoolYears,child_quiz_bib,survey_version,Survey version,categorical,[1 Pilot] [2 Main v1] [3 Main v3],administration,6147,6147
