project,table,variable
BiB_PrimarySchoolYears,child_quiz_bib,BiBPersonID
BiB_PrimarySchoolYears,child_quiz_bib,PSYChildID
BiB_PrimarySchoolYears,child_quiz_bib,PSYSchoolID
BiB_PrimarySchoolYears,child_quiz_bib,PSYClassID
BiB_PrimarySchoolYears,child_quiz_bib,TestYearGroup
BiB_PrimarySchoolYears,child_quiz_bib,TestAcadTerm
BiB_PrimarySchoolYears,child_quiz_bib,TestYear
BiB_PrimarySchoolYears,child_quiz_bib,TestMonth
BiB_PrimarySchoolYears,child_quiz_bib,PSYTestDay
BiB_PrimarySchoolYears,child_quiz_bib,AgeYears
BiB_PrimarySchoolYears,child_quiz_bib,AgeMonths
BiB_PrimarySchoolYears,child_quiz_bib,lsid
BiB_PrimarySchoolYears,child_quiz_bib,survey_version
BiB_PrimarySchoolYears,child_quiz_bib,survey_mode
BiB_PrimarySchoolYears,child_quiz_bib,psychdAfood
BiB_PrimarySchoolYears,child_quiz_bib,psychdCweekend
BiB_PrimarySchoolYears,child_quiz_bib,psychdCgetalong
BiB_PrimarySchoolYears,child_quiz_bib,psychdCsiblings
BiB_PrimarySchoolYears,child_quiz_bib,psychdClanguage_1
BiB_PrimarySchoolYears,child_quiz_bib,psychdClanguage_2
BiB_PrimarySchoolYears,child_quiz_bib,psychdClanguage_3
BiB_PrimarySchoolYears,child_quiz_bib,psychdClanguage_4
BiB_PrimarySchoolYears,child_quiz_bib,psychdClanguage_5
BiB_PrimarySchoolYears,child_quiz_bib,psychdClanguage_6
BiB_PrimarySchoolYears,child_quiz_bib,psychdClanguage_7
BiB_PrimarySchoolYears,child_quiz_bib,psychdClanguage_8
BiB_PrimarySchoolYears,child_quiz_bib,psychdClanguage_9
BiB_PrimarySchoolYears,child_quiz_bib,psychdBhouseorflat
BiB_PrimarySchoolYears,child_quiz_bib,psychdBplayinpark
BiB_PrimarySchoolYears,child_quiz_bib,psychdDthings_1
BiB_PrimarySchoolYears,child_quiz_bib,psychdDthings_2
BiB_PrimarySchoolYears,child_quiz_bib,psychdDthings_3
BiB_PrimarySchoolYears,child_quiz_bib,psychdDthings_4
BiB_PrimarySchoolYears,child_quiz_bib,psychdDthings_5
BiB_PrimarySchoolYears,child_quiz_bib,psychdDthings_6
BiB_PrimarySchoolYears,child_quiz_bib,psychdDthings_7
BiB_PrimarySchoolYears,child_quiz_bib,psychdDgarden
BiB_PrimarySchoolYears,child_quiz_bib,psychdDfamilycar
BiB_PrimarySchoolYears,child_quiz_bib,psychdDpark
BiB_PrimarySchoolYears,child_quiz_bib,psychdDmoney
BiB_PrimarySchoolYears,child_quiz_bib,psychdDthings2_1
BiB_PrimarySchoolYears,child_quiz_bib,psychdDthings2_2
BiB_PrimarySchoolYears,child_quiz_bib,psychdDthings2_3
BiB_PrimarySchoolYears,child_quiz_bib,psychdDthings2_4
BiB_PrimarySchoolYears,child_quiz_bib,psychdFhowmany
BiB_PrimarySchoolYears,child_quiz_bib,psychdFbestfriends
BiB_PrimarySchoolYears,child_quiz_bib,psychdFplaying
BiB_PrimarySchoolYears,child_quiz_bib,psychdFbully
BiB_PrimarySchoolYears,child_quiz_bib,psychdFmean
BiB_PrimarySchoolYears,child_quiz_bib,psychdFleftout
BiB_PrimarySchoolYears,child_quiz_bib,psychdEoftenhappy
BiB_PrimarySchoolYears,child_quiz_bib,psychdEoftensad
BiB_PrimarySchoolYears,child_quiz_bib,psychdEillorunwell
BiB_PrimarySchoolYears,child_quiz_bib,psychdEhealthy
BiB_PrimarySchoolYears,child_quiz_bib,psychdEworried_E
BiB_PrimarySchoolYears,child_quiz_bib,psychdEworried_A
BiB_PrimarySchoolYears,child_quiz_bib,psychdEworried_B
BiB_PrimarySchoolYears,child_quiz_bib,psychdEworried_C
BiB_PrimarySchoolYears,child_quiz_bib,psychdEworried_D
BiB_PrimarySchoolYears,child_quiz_bib,psychdEhard
BiB_PrimarySchoolYears,child_quiz_bib,psychdIgrowup_1
BiB_PrimarySchoolYears,child_quiz_bib,psychdIgrowup_2
BiB_PrimarySchoolYears,child_quiz_bib,psychdIgrowup_3
BiB_PrimarySchoolYears,child_quiz_bib,psychdIgrowup_4
BiB_PrimarySchoolYears,child_quiz_bib,psychdIgrowup_5
BiB_PrimarySchoolYears,child_quiz_bib,psychdIgrowup_6
BiB_PrimarySchoolYears,child_quiz_bib,psychdIgrowup_7
BiB_PrimarySchoolYears,child_quiz_bib,psychdIgrowup_8
BiB_PrimarySchoolYears,child_quiz_bib,psychdIgrowup_9
BiB_PrimarySchoolYears,child_quiz_bib,psychdGschool
BiB_PrimarySchoolYears,child_quiz_bib,psychdHclubs_A
BiB_PrimarySchoolYears,child_quiz_bib,psychdHclubs_B
BiB_PrimarySchoolYears,child_quiz_bib,psychdHclubs_C
BiB_PrimarySchoolYears,child_quiz_bib,psychdHclubs_D
BiB_PrimarySchoolYears,child_quiz_bib,psychdHclubs_E
BiB_PrimarySchoolYears,child_quiz_bib,psychdHother
BiB_PrimarySchoolYears,child_quiz_bib,psychdKaccul_1
BiB_PrimarySchoolYears,child_quiz_bib,psychdKaccul_2
BiB_PrimarySchoolYears,child_quiz_bib,psychdKaccul_3
BiB_PrimarySchoolYears,child_quiz_bib,psychdKaccul_4
BiB_PrimarySchoolYears,child_quiz_bib,psychdKholidays_1
BiB_PrimarySchoolYears,child_quiz_bib,psychdKholidays_2
BiB_PrimarySchoolYears,child_quiz_bib,psychdIreligion
BiB_PrimarySchoolYears,child_quiz_bib,psychdIHindu
BiB_PrimarySchoolYears,child_quiz_bib,psychdIOther
BiB_PrimarySchoolYears,child_quiz_bib,psychdIOftenMosque
BiB_PrimarySchoolYears,child_quiz_bib,psychdIOftenChurch
BiB_PrimarySchoolYears,child_quiz_bib,psychdIOftenHindu
BiB_PrimarySchoolYears,child_quiz_bib,psychdIOftenOther
BiB_PrimarySchoolYears,child_quiz_bib,psychdJGrowUpAny
BiB_PrimarySchoolYears,child_quiz_bib,psychdJGrowUpAny_new
BiB_PrimarySchoolYears,child_quiz_bib,psychdHother_new
