variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_PrimarySchoolYears.child_quiz.PSYChildID,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,PSYChildID,,text,,,15641,15641
BiB_PrimarySchoolYears.child_quiz.PSYSchoolID,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,PSYSchoolID,Primary School Years: School pseudonym,integer,,administration,15641,15641
BiB_PrimarySchoolYears.child_quiz.PSYClassID,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,PSYClassID,Primary School Years: Class pseudonym,integer,,administration,15641,15641
BiB_PrimarySchoolYears.child_quiz.TestYearGroup,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,TestYearGroup,Year group of quiz completion,integer,,administration,15641,15641
BiB_PrimarySchoolYears.child_quiz.TestAcadTerm,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,TestAcadTerm,Academic term of quiz completion,categorical,[1 Autumn] [2 Spring] [3 Summer],administration,15641,15641
BiB_PrimarySchoolYears.child_quiz.TestYear,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,TestYear,Calendar year of quiz completion,integer,,administration,15641,15641
BiB_PrimarySchoolYears.child_quiz.TestMonth,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,TestMonth,Calendar month of quiz completion,integer,,administration,15641,15641
BiB_PrimarySchoolYears.child_quiz.PSYTestDay,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,PSYTestDay,Days elapsed since study start + 50000,integer,,administration,15641,15641
BiB_PrimarySchoolYears.child_quiz.AgeYears,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,AgeYears,Child age in years at quiz completion,integer,,age,15641,15641
BiB_PrimarySchoolYears.child_quiz.AgeMonths,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,AgeMonths,Child age in months at quiz completion,integer,,age,15641,15641
BiB_PrimarySchoolYears.child_quiz.lsid,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,lsid,Survey version Id,integer,,administration,15641,15641
BiB_PrimarySchoolYears.child_quiz.survey_version,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,survey_version,Survey version,categorical,[1 Pilot] [2 Main v1] [3 Main v3],administration,15641,15641
BiB_PrimarySchoolYears.child_quiz.survey_mode,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,survey_mode,Survey mode of completion,categorical,[1 paper] [2 screen],administration,15641,15641
BiB_PrimarySchoolYears.child_quiz.psychdAfood,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdAfood,Which of these would you most like to eat today?,categorical,[1 Pizza] [2 Curry] [3 Pasta with sauce] [4 Sandwich],diet_and_nutrition,15473,15473
BiB_PrimarySchoolYears.child_quiz.psychdCweekend,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdCweekend,My family and the people I live with: How often do you have fun with your family,categorical,[1 Never] [2 Some of the time] [3 All of the time],family_members_and_relations,15528,15528
BiB_PrimarySchoolYears.child_quiz.psychdCgetalong,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdCgetalong,How often does your family get along well together?,categorical,[1 Never] [2 Some of the time] [3 All of the time],family_members_and_relations,15263,15263
BiB_PrimarySchoolYears.child_quiz.psychdCsiblings,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdCsiblings,How often do you get along with your brothers/sisters/other children you live wi,categorical,[1 Never] [2 Some of the time] [3 All of the time] [4 Don't live with other children],family_members_and_relations,15012,15012
BiB_PrimarySchoolYears.child_quiz.psychdClanguage_1,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdClanguage_1,What language do you usually speak with your family at home? - English,categorical,[1 Yes],languages_spoken,13588,13588
BiB_PrimarySchoolYears.child_quiz.psychdClanguage_2,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdClanguage_2,What language do you usually speak with your family at home? - Urdu,categorical,[1 Yes],languages_spoken,4562,4562
BiB_PrimarySchoolYears.child_quiz.psychdClanguage_3,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdClanguage_3,What language do you usually speak with your family at home? - Mirpuri/Punjabi,categorical,[1 Yes],languages_spoken,1514,1514
BiB_PrimarySchoolYears.child_quiz.psychdClanguage_4,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdClanguage_4,What language do you usually speak with your family at home? - Slovakian,categorical,[1 Yes],languages_spoken,447,447
BiB_PrimarySchoolYears.child_quiz.psychdClanguage_5,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdClanguage_5,What language do you usually speak with your family at home? - Arabic,categorical,[1 Yes],languages_spoken,1805,1805
BiB_PrimarySchoolYears.child_quiz.psychdClanguage_6,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdClanguage_6,What language do you usually speak with your family at home? - Bangla/Bengali,categorical,[1 Yes],languages_spoken,477,477
BiB_PrimarySchoolYears.child_quiz.psychdClanguage_7,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdClanguage_7,What language do you usually speak with your family at home? - Hindko,categorical,[1 Yes],languages_spoken,266,266
BiB_PrimarySchoolYears.child_quiz.psychdClanguage_8,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdClanguage_8,What language do you usually speak with your family at home? - Pushto,categorical,[1 Yes],languages_spoken,816,816
BiB_PrimarySchoolYears.child_quiz.psychdClanguage_9,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdClanguage_9,What language do you usually speak with your family at home? - Other,categorical,[1 Yes],languages_spoken,2463,2463
BiB_PrimarySchoolYears.child_quiz.psychdBhouseorflat,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdBhouseorflat,"Where I Live: How much do you like the home, house or flat where you live?",categorical,[1 I don't like it] [2 I like it a bit] [3 I like it a lot],housing,15488,15488
BiB_PrimarySchoolYears.child_quiz.psychdBplayinpark,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdBplayinpark,How often do you play in a park?,categorical,[1 Never] [2 Sometimes] [3 Very often],neighbourhood,15224,15224
BiB_PrimarySchoolYears.child_quiz.psychdDthings_1,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdDthings_1,Which of these things do you have?: Some money to spend on myself,categorical,[1 No I don't have it] [2 Yes I have it],finances,14687,14687
BiB_PrimarySchoolYears.child_quiz.psychdDthings_2,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdDthings_2,Which of these things do you have?: An iPod or mp3 player,categorical,[1 No I don't have it] [2 Yes I have it],finances,734,734
BiB_PrimarySchoolYears.child_quiz.psychdDthings_3,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdDthings_3,Which of these things do you have?: Clothes that you think your friends like,categorical,[1 No I don't have it] [2 Yes I have it],finances,13982,13982
BiB_PrimarySchoolYears.child_quiz.psychdDthings_4,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdDthings_4,Which of these things do you have?: A warm winter coat,categorical,[1 No I don't have it] [2 Yes I have it],finances,13996,13996
BiB_PrimarySchoolYears.child_quiz.psychdDthings_5,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdDthings_5,Which of these things do you have?: Your own mobile phone,categorical,[1 No I don't have it] [2 Yes I have it],finances,14323,14323
BiB_PrimarySchoolYears.child_quiz.psychdDthings_6,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdDthings_6,Which of these things do you have?: A computer/laptop/tablet with internet at ho,categorical,[1 No I don't have it] [2 Yes I have it],finances,14296,14296
BiB_PrimarySchoolYears.child_quiz.psychdDthings_7,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdDthings_7,Which of these things do you have?: Three meals every day,categorical,[1 No I don't have it] [2 Yes I have it],finances,14134,14134
BiB_PrimarySchoolYears.child_quiz.psychdDgarden,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdDgarden,Does your home have a garden where you can play?,categorical,[1 No] [2 Yes],finances,15393,15393
BiB_PrimarySchoolYears.child_quiz.psychdDfamilycar,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdDfamilycar,Does your family have a car so someone can take you where you want to go?,categorical,[1 No] [2 Yes],finances,15468,15468
BiB_PrimarySchoolYears.child_quiz.psychdDpark,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdDpark,Do you have a park near your home where you can play with your friends?,categorical,[1 No] [2 Yes],finances,15295,15295
BiB_PrimarySchoolYears.child_quiz.psychdDmoney,BiB_PrimarySchoolYears.child_quiz,BiB_PrimarySchoolYears,child_quiz,psychdDmoney,How often do you worry about how much money your family has?,categorical,[1 Never] [2 Some of the time] [3 All of the time],finances,15442,15442
