project,table,variable
BiB_PrimarySchoolYears,child_quiz,PSYChildID
BiB_PrimarySchoolYears,child_quiz,PSYSchoolID
BiB_PrimarySchoolYears,child_quiz,PSYClassID
BiB_PrimarySchoolYears,child_quiz,TestYearGroup
BiB_PrimarySchoolYears,child_quiz,TestAcadTerm
BiB_PrimarySchoolYears,child_quiz,TestYear
BiB_PrimarySchoolYears,child_quiz,TestMonth
BiB_PrimarySchoolYears,child_quiz,PSYTestDay
BiB_PrimarySchoolYears,child_quiz,AgeYears
BiB_PrimarySchoolYears,child_quiz,AgeMonths
BiB_PrimarySchoolYears,child_quiz,lsid
BiB_PrimarySchoolYears,child_quiz,survey_version
BiB_PrimarySchoolYears,child_quiz,survey_mode
BiB_PrimarySchoolYears,child_quiz,psychdAfood
BiB_PrimarySchoolYears,child_quiz,psychdCweekend
BiB_PrimarySchoolYears,child_quiz,psychdCgetalong
BiB_PrimarySchoolYears,child_quiz,psychdCsiblings
BiB_PrimarySchoolYears,child_quiz,psychdClanguage_1
BiB_PrimarySchoolYears,child_quiz,psychdClanguage_2
BiB_PrimarySchoolYears,child_quiz,psychdClanguage_3
BiB_PrimarySchoolYears,child_quiz,psychdClanguage_4
BiB_PrimarySchoolYears,child_quiz,psychdClanguage_5
BiB_PrimarySchoolYears,child_quiz,psychdClanguage_6
BiB_PrimarySchoolYears,child_quiz,psychdClanguage_7
BiB_PrimarySchoolYears,child_quiz,psychdClanguage_8
BiB_PrimarySchoolYears,child_quiz,psychdClanguage_9
BiB_PrimarySchoolYears,child_quiz,psychdBhouseorflat
BiB_PrimarySchoolYears,child_quiz,psychdBplayinpark
BiB_PrimarySchoolYears,child_quiz,psychdDthings_1
BiB_PrimarySchoolYears,child_quiz,psychdDthings_2
BiB_PrimarySchoolYears,child_quiz,psychdDthings_3
BiB_PrimarySchoolYears,child_quiz,psychdDthings_4
BiB_PrimarySchoolYears,child_quiz,psychdDthings_5
BiB_PrimarySchoolYears,child_quiz,psychdDthings_6
BiB_PrimarySchoolYears,child_quiz,psychdDthings_7
BiB_PrimarySchoolYears,child_quiz,psychdDgarden
BiB_PrimarySchoolYears,child_quiz,psychdDfamilycar
BiB_PrimarySchoolYears,child_quiz,psychdDpark
BiB_PrimarySchoolYears,child_quiz,psychdDmoney
BiB_PrimarySchoolYears,child_quiz,psychdDthings2_1
BiB_PrimarySchoolYears,child_quiz,psychdDthings2_2
BiB_PrimarySchoolYears,child_quiz,psychdDthings2_3
BiB_PrimarySchoolYears,child_quiz,psychdDthings2_4
BiB_PrimarySchoolYears,child_quiz,psychdFhowmany
BiB_PrimarySchoolYears,child_quiz,psychdFbestfriends
BiB_PrimarySchoolYears,child_quiz,psychdFplaying
BiB_PrimarySchoolYears,child_quiz,psychdFbully
BiB_PrimarySchoolYears,child_quiz,psychdFmean
BiB_PrimarySchoolYears,child_quiz,psychdFleftout
BiB_PrimarySchoolYears,child_quiz,psychdEoftenhappy
BiB_PrimarySchoolYears,child_quiz,psychdEoftensad
BiB_PrimarySchoolYears,child_quiz,psychdEillorunwell
BiB_PrimarySchoolYears,child_quiz,psychdEhealthy
BiB_PrimarySchoolYears,child_quiz,psychdEworried_E
BiB_PrimarySchoolYears,child_quiz,psychdEworried_A
BiB_PrimarySchoolYears,child_quiz,psychdEworried_B
BiB_PrimarySchoolYears,child_quiz,psychdEworried_C
BiB_PrimarySchoolYears,child_quiz,psychdEworried_D
BiB_PrimarySchoolYears,child_quiz,psychdEhard
BiB_PrimarySchoolYears,child_quiz,psychdIgrowup_1
BiB_PrimarySchoolYears,child_quiz,psychdIgrowup_2
BiB_PrimarySchoolYears,child_quiz,psychdIgrowup_3
BiB_PrimarySchoolYears,child_quiz,psychdIgrowup_4
BiB_PrimarySchoolYears,child_quiz,psychdIgrowup_5
BiB_PrimarySchoolYears,child_quiz,psychdIgrowup_6
BiB_PrimarySchoolYears,child_quiz,psychdIgrowup_7
BiB_PrimarySchoolYears,child_quiz,psychdIgrowup_8
BiB_PrimarySchoolYears,child_quiz,psychdIgrowup_9
BiB_PrimarySchoolYears,child_quiz,psychdGschool
BiB_PrimarySchoolYears,child_quiz,psychdHclubs_A
BiB_PrimarySchoolYears,child_quiz,psychdHclubs_B
BiB_PrimarySchoolYears,child_quiz,psychdHclubs_C
BiB_PrimarySchoolYears,child_quiz,psychdHclubs_D
BiB_PrimarySchoolYears,child_quiz,psychdHclubs_E
BiB_PrimarySchoolYears,child_quiz,psychdHother
BiB_PrimarySchoolYears,child_quiz,psychdKaccul_1
BiB_PrimarySchoolYears,child_quiz,psychdKaccul_2
BiB_PrimarySchoolYears,child_quiz,psychdKaccul_3
BiB_PrimarySchoolYears,child_quiz,psychdKaccul_4
BiB_PrimarySchoolYears,child_quiz,psychdKholidays_1
BiB_PrimarySchoolYears,child_quiz,psychdKholidays_2
BiB_PrimarySchoolYears,child_quiz,psychdIreligion
BiB_PrimarySchoolYears,child_quiz,psychdIHindu
BiB_PrimarySchoolYears,child_quiz,psychdIOther
BiB_PrimarySchoolYears,child_quiz,psychdIOftenMosque
BiB_PrimarySchoolYears,child_quiz,psychdIOftenChurch
BiB_PrimarySchoolYears,child_quiz,psychdIOftenHindu
BiB_PrimarySchoolYears,child_quiz,psychdIOftenOther
BiB_PrimarySchoolYears,child_quiz,psychdJGrowUpAny
BiB_PrimarySchoolYears,child_quiz,psychdJGrowUpAny_new
BiB_PrimarySchoolYears,child_quiz,psychdHother_new
