project,table,variable
BiB_PrimarySchoolYears,ckat_data_bib,BiBPersonID
BiB_PrimarySchoolYears,ckat_data_bib,PSYChildID
BiB_PrimarySchoolYears,ckat_data_bib,PSYSchoolID
BiB_PrimarySchoolYears,ckat_data_bib,PSYClassID
BiB_PrimarySchoolYears,ckat_data_bib,TestYearGroup
BiB_PrimarySchoolYears,ckat_data_bib,TestAcadTerm
BiB_PrimarySchoolYears,ckat_data_bib,TestYear
BiB_PrimarySchoolYears,ckat_data_bib,TestMonth
BiB_PrimarySchoolYears,ckat_data_bib,PSYTestDay
BiB_PrimarySchoolYears,ckat_data_bib,AgeYears
BiB_PrimarySchoolYears,ckat_data_bib,AgeMonths
BiB_PrimarySchoolYears,ckat_data_bib,PSYTabletID
BiB_PrimarySchoolYears,ckat_data_bib,CKATSessionID
BiB_PrimarySchoolYears,ckat_data_bib,exclude_reason
BiB_PrimarySchoolYears,ckat_data_bib,exclude_tracing
BiB_PrimarySchoolYears,ckat_data_bib,exclude_tracking
BiB_PrimarySchoolYears,ckat_data_bib,exclude_aiming
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGSlowPL1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGSlowPLT1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGSlowNJ1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGSlowPA1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGSlowFgainX1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGSlowFgainY1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGSlowFtrackerrorRMS1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGSlowFtrackerrorSTD1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGMedPL2
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGMedPLT2
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGMedNJ2
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGMedPA2
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGMedFgainX2
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGMedFgainY2
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGMedFtrackerrorRMS2
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGMedFtrackerrorSTD2
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGFstPL3
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGFstPLT3
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGFstNJ3
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGFstPA3
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGFstFgainX3
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGFstFgainY3
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGFstFtrackerrorRMS3
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTNGFstFtrackerrorSTD3
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTrackNGOvrllPL4
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTrackNGOvrllPLT4
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTrackNGOvrllNJ4
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTrackNGOvrllPA4
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGSlowPL1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGSlowPLT1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGSlowNJ1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGSlowPA1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGSlowFgainX1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGSlowFgainY1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGSlowFtrackerrorRMS1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGSlowFtrackerrorSTD1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGMedPL2
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGMedPLT2
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGMedNJ2
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGMedPA2
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGMedFgainX2
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGMedFgainY2
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGMedFtrackerrorRMS2
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGMedFtrackerrorSTD2
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGFstPL3
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGFstPLT3
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGFstNJ3
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGFstPA3
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGFstFgainX3
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGFstFgainY3
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGFstFtrackerrorRMS3
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTWGFstFtrackerrorSTD3
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTrackWGOvrllPL4
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTrackWGOvrllPLT4
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTrackWGOvrllNJ4
BiB_PrimarySchoolYears,ckat_data_bib,pyckatrTrackWGOvrllPA4
BiB_PrimarySchoolYears,ckat_data_bib,pyckatraim1scrapRT1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatraim1scrapMT1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatraim1scrapDT1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatraim1scrapPS1
BiB_PrimarySchoolYears,ckat_data_bib,pyckatraim1scrapTPS1
