variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_PrimarySchoolYears.ckat_data.PSYChildID,BiB_PrimarySchoolYears.ckat_data,BiB_PrimarySchoolYears,ckat_data,PSYChildID,,text,,,15820,15820
BiB_PrimarySchoolYears.ckat_data.PSYSchoolID,BiB_PrimarySchoolYears.ckat_data,BiB_PrimarySchoolYears,ckat_data,PSYSchoolID,,integer,,administration,15820,15820
BiB_PrimarySchoolYears.ckat_data.PSYClassID,BiB_PrimarySchoolYears.ckat_data,BiB_PrimarySchoolYears,ckat_data,PSYClassID,,integer,,administration,15820,15820
BiB_PrimarySchoolYears.ckat_data.TestYearGroup,BiB_PrimarySchoolYears.ckat_data,BiB_PrimarySchoolYears,ckat_data,TestYearGroup,,integer,,administration,15820,15820
BiB_PrimarySchoolYears.ckat_data.TestAcadTerm,BiB_PrimarySchoolYears.ckat_data,BiB_PrimarySchoolYears,ckat_data,TestAcadTerm,,text,,administration,15820,15820
BiB_PrimarySchoolYears.ckat_data.TestYear,BiB_PrimarySchoolYears.ckat_data,BiB_PrimarySchoolYears,ckat_data,TestYear,,integer,,administration,15820,15820
BiB_PrimarySchoolYears.ckat_data.TestMonth,BiB_PrimarySchoolYears.ckat_data,BiB_PrimarySchoolYears,ckat_data,TestMonth,,integer,,administration,15820,15820
BiB_PrimarySchoolYears.ckat_data.PSYTestDay,BiB_PrimarySchoolYears.ckat_data,BiB_PrimarySchoolYears,ckat_data,PSYTestDay,,integer,,administration,15820,15820
BiB_PrimarySchoolYears.ckat_data.AgeYears,BiB_PrimarySchoolYears.ckat_data,BiB_PrimarySchoolYears,ckat_data,AgeYears,,integer,,age,15820,15820
BiB_PrimarySchoolYears.ckat_data.AgeMonths,BiB_PrimarySchoolYears.ckat_data,BiB_PrimarySchoolYears,ckat_data,AgeMonths,,integer,,age,15820,15820
BiB_PrimarySchoolYears.ckat_data.PSYTabletID,BiB_PrimarySchoolYears.ckat_data,BiB_PrimarySchoolYears,ckat_data,PSYTabletID,,integer,,administration,15820,15820
BiB_PrimarySchoolYears.ckat_data.CKATSessionID,BiB_PrimarySchoolYears.ckat_data,BiB_PrimarySchoolYears,ckat_data,CKATSessionID,,integer,,administration,15820,15820
