variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_PrimarySchoolYears.ef_task_bdr_bib.BiBPersonID,BiB_PrimarySchoolYears.ef_task_bdr_bib,BiB_PrimarySchoolYears,ef_task_bdr_bib,BiBPersonID,,text,,administration,7006,7006
BiB_PrimarySchoolYears.ef_task_bdr_bib.PSYChildID,BiB_PrimarySchoolYears.ef_task_bdr_bib,BiB_PrimarySchoolYears,ef_task_bdr_bib,PSYChildID,,text,,,7006,7006
BiB_PrimarySchoolYears.ef_task_bdr_bib.PSYSchoolID,BiB_PrimarySchoolYears.ef_task_bdr_bib,BiB_PrimarySchoolYears,ef_task_bdr_bib,PSYSchoolID,Primary School Years: School pseudonym,integer,,administration,5986,5986
BiB_PrimarySchoolYears.ef_task_bdr_bib.PSYClassID,BiB_PrimarySchoolYears.ef_task_bdr_bib,BiB_PrimarySchoolYears,ef_task_bdr_bib,PSYClassID,Primary School Years: Class pseudonym,integer,,administration,5986,5986
BiB_PrimarySchoolYears.ef_task_bdr_bib.TestYearGroup,BiB_PrimarySchoolYears.ef_task_bdr_bib,BiB_PrimarySchoolYears,ef_task_bdr_bib,TestYearGroup,Year group of BDR completion,integer,,administration,5986,5986
BiB_PrimarySchoolYears.ef_task_bdr_bib.TestAcadTerm,BiB_PrimarySchoolYears.ef_task_bdr_bib,BiB_PrimarySchoolYears,ef_task_bdr_bib,TestAcadTerm,Academic term of BDR completion,categorical,[1 Autumn] [2 Spring] [3 Summer],administration,5986,5986
BiB_PrimarySchoolYears.ef_task_bdr_bib.TestYear,BiB_PrimarySchoolYears.ef_task_bdr_bib,BiB_PrimarySchoolYears,ef_task_bdr_bib,TestYear,Calendar year of BDR completion,integer,,administration,5986,5986
BiB_PrimarySchoolYears.ef_task_bdr_bib.TestMonth,BiB_PrimarySchoolYears.ef_task_bdr_bib,BiB_PrimarySchoolYears,ef_task_bdr_bib,TestMonth,Calendar month of BDR completion,integer,,administration,5986,5986
BiB_PrimarySchoolYears.ef_task_bdr_bib.PSYTestDay,BiB_PrimarySchoolYears.ef_task_bdr_bib,BiB_PrimarySchoolYears,ef_task_bdr_bib,PSYTestDay,Days elapsed since study start + 50000,integer,,administration,5986,5986
BiB_PrimarySchoolYears.ef_task_bdr_bib.AgeYears,BiB_PrimarySchoolYears.ef_task_bdr_bib,BiB_PrimarySchoolYears,ef_task_bdr_bib,AgeYears,Child age in years at BDR completion,integer,,age,5986,5986
BiB_PrimarySchoolYears.ef_task_bdr_bib.AgeMonths,BiB_PrimarySchoolYears.ef_task_bdr_bib,BiB_PrimarySchoolYears,ef_task_bdr_bib,AgeMonths,Child age in months at BDR completion,integer,,age,5986,5986
BiB_PrimarySchoolYears.ef_task_bdr_bib.PSYTabletID,BiB_PrimarySchoolYears.ef_task_bdr_bib,BiB_PrimarySchoolYears,ef_task_bdr_bib,PSYTabletID,Tablet computer used for testing,integer,,administration,5986,5986
BiB_PrimarySchoolYears.ef_task_bdr_bib.EFSessionID,BiB_PrimarySchoolYears.ef_task_bdr_bib,BiB_PrimarySchoolYears,ef_task_bdr_bib,EFSessionID,Testing software session ID,integer,,administration,5986,5986
BiB_PrimarySchoolYears.ef_task_bdr_bib.bdr_summary,BiB_PrimarySchoolYears.ef_task_bdr_bib,BiB_PrimarySchoolYears,ef_task_bdr_bib,bdr_summary,Summary test score for BDR,float,,cognitive_skills,5975,5975
BiB_PrimarySchoolYears.ef_task_bdr_bib.bdr_rowcount,BiB_PrimarySchoolYears.ef_task_bdr_bib,BiB_PrimarySchoolYears,ef_task_bdr_bib,bdr_rowcount,Number of rows in BDR trials raw data file for the session,integer,,cognitive_skills,5986,5986
